# [title=]
# [pilotleaderboard=1]
# [seriesleaderboard=1]
# [sortby=index]

# Arena collection
Boners Arena,Dynamic Weather
Boners Arena 2,Dynamic Weather
Boners Arena 3,Dynamic Weather
boners arena 4,Dynamic Weather

# Atom collection
Boners Atom,Empty Scene Night
Boners Atom 2,Empty Scene Night
Boners Atom 3,Empty Scene Night

# Bando collection
Boners Bando MGP 2,Dynamic Weather
Boners Bando MGP,Dynamic Weather
Boners Bando Towers,Empty Scene Day

# Bonsai collection
Bonsai FPV,Dynamic Weather
Bonsai FPV 2,Dynamic Weather
Bonsai fpv 3,Dynamic Weather
Bonsai FPV 4,Dynamic Weather

# Island collection
Boners Island,Dynamic Weather
Boners Island 2,Dynamic Weather
Boners Island 3,Dynamic Weather

# Jungle collection
jungle fever,Island
jungle fever 2,Island

# Toxic collection
Boners Toxic Track,Empty Scene Night
DDR Race Series - Track 2 by Toxic fpv jan,Empty Scene Day
Toxic 3,Dynamic Weather
Toxic 4,Dynamic Weather

# Woody collection
Boners Woody,Dynamic Weather
Boners Woody II,Dynamic Weather

# Hauted Forest collection
Haunted Forest,Dynamic Weather
Haunted Forest 2,Dynamic Weather
Haunted forest 3,Dynamic Weather
Haunted forest 4,Dynamic Weather

# Orphelin tracks
Boners Wellness Tour,Empty Scene Day
Boners Looper,Empty Scene Day
Boners Playground,Dynamic Weather

# The loooong track, might skip it force leaderboard because of time difference it would provides
# Boners Journey,Dynamic Weather

# NO RACE TRACKS
# Boners Bonsai FPV 4 Freestyle,Dynamic Weather
# Boners Freestyle Bando,Empty Scene Day
