# [pilotleaderboard=0]
# [seriesleaderboard=1]
# [sortby=index]

Week 1 TT - Levice by TheFPVdoctor,Empty Scene Day
Week 2 TT - Ruinous by NM Grower,Dynamic Weather
Week 5 TT - Cuernavaca LightPath by MorshaFPV,Empty Scene Night
Week 8 TT - DF1 by DragonFlyte,Dynamic Weather
Week 9 TT - CM17 by Chris M,Football Stadium
Week 10 TT - MCKPractice2,Football Stadium
Week 12 TT - GQ22 by Chris M,Football Stadium
Week 13 TT - VRL Team Championship Refresh - by lephro,Empty Scene Day
Week 14 TT - BFPV S7R6 by Batman FPV,Football Stadium
Week 15 TT - Reddings Sunsation by BonerFPV,Dynamic Weather
Week 16 TT - CM18 by Chris M,Football Stadium
ReddingFPVs DroneD,Dynamic Weather
Week 18 TT - FPVQE Winter Series Championship,Football Stadium
Week 20 TT - BDS by ChrisM,Football Stadium
Week 21 TT Up Down Up by SFPV,Dynamic Weather
DF5,Football Stadium
Week 23 TT - Sundial Bridge by Boner,River2
