2020 Canadian MultiGP Series,Football Stadium,999,999.999,4Ari,NO_DATA
2020 MultiGP Champs presented by RDQ,Football Stadium,999,999.999,4Ari,NO_DATA
2021 MultiGP Champs Track 1,Empty Scene Day,999,999.999,4Ari,NO_DATA
2021 MultiGP Champs Track 2,Empty Scene Day,999,999.999,4Ari,NO_DATA
MGP2018IOIntermediate,Empty Scene Day,999,999.999,4Ari,NO_DATA
MGP2018IORookie,Empty Scene Day,999,999.999,4Ari,NO_DATA
MGP2018IOTeam,Empty Scene Day,999,999.999,4Ari,NO_DATA
MGP2018IOWorldCup,Empty Scene Day,999,999.999,4Ari,NO_DATA
MultiGP 2016 RF,Football Stadium,999,999.999,4Ari,NO_DATA
MultiGP 2017 RF,Football Stadium,173,81.448,4Ari,Unknown,Five33Switchback,2022/01/01
MultiGP 2018 RF,Empty Scene Day,59,112.680,4Ari,Unknown,Five33Switchback,2022/01/27
MultiGP 2018 RQ,Football Stadium,165,75.672,4Ari,Unknown,Five33Switchback,2021/12/20
MultiGP_2019_Qualifier_Large,Dynamic Weather,75,49.722,4Ari,Unknown,Five33Switchback,2022/01/31
MultiGP_2019_Qualifier_Spec,Empty Scene Day,42,49.938,4Ari,Unknown,Five33Switchback,2022/01/30
MultiGP 2019 Sport Championships,Football Stadium,131,73.103,4Ari,Unknown,Five33Switchback,2022/02/01
MultiGP 2020 Global Qualifier,Empty Scene Day,999,999.999,4Ari,NO_DATA
MultiGP 2021 Global Qualifier,Football Stadium,999,999.999,4Ari,NO_DATA
MultiGP Bessel Run,Football Stadium,48,26.052,4Ari,Unknown,Five33Switchback,2022/01/28
MultiGP-Championships-2019,Empty Scene Day,112,86.997,4Ari,Unknown,Five33Switchback,2022/01/29
MultiGP High Voltage,Football Stadium,93,36.267,4Ari,Unknown,Five33Switchback,2022/02/02
MultiGP IO 2019 Team,Empty Scene Day,117,88.308,4Ari,Unknown,Five33Switchback,2021/12/14
MultiGP IO 2019 World Cup,Empty Scene Day,131,94.898,4Ari,Unknown,Five33Switchback,2022/01/31
MultiGPIOSpec2018,Empty Scene Day,80,110.572,4Ari,Unknown,Five33Switchback,2022/01/29
MultiGP Round 2 FNL,Sports Hall,95,72.577,4Ari,Unknown,Five33Switchback,2021/11/22
MultiGP Tsunami,Football Stadium,66,27.447,4Ari,Unknown,Five33Switchback,2022/01/31
MultiGP UTT 1,Football Stadium,115,41.381,4Ari,Unknown,Five33Switchback,2021/12/12
MultiGP UTT 5,Football Stadium,66,30.112,4Ari,Unknown,Five33Switchback,2021/12/12
MultiGP UTT 6,Football Stadium,70,42.520,4Ari,Unknown,Five33Switchback,2022/01/31
