
RCTech.de EU Spec Series 2 Final,Empty Scene Day,46,71.424,ALPIFPV,UnitedStates,TBSSpec,2020/07/01
RCTech.de EU Spec Series 2 Losers FInal,Empty Scene Day,999,999.999,ALPIFPV,NO_DATA
RCTech.de EU Spec Series 2 Race 1,Football Stadium,999,999.999,ALPIFPV,NO_DATA
RCTech.de EU Spec Series 2 Race 3,Empty Scene Day,999,999.999,ALPIFPV,NO_DATA
RCTech.de EU Spec Series 2 Race 4,Empty Scene Day,999,999.999,ALPIFPV,NO_DATA
RCTech.de EU Spec Series 2 Race 5,IndoorGoKart,999,999.999,ALPIFPV,NO_DATA
RCTech.de EU Spec Series 2 Race 6,Empty Scene Day,999,999.999,ALPIFPV,NO_DATA
RCTech_de EU Spec Series 3 Final,Empty Scene Day,999,999.999,ALPIFPV,NO_DATA
RCTech.de EU Spec Series 3 Race 1,NEC Birmingham,999,999.999,ALPIFPV,NO_DATA
RCTech.de EU Spec Series 3 Race 2,Empty Scene Day,999,999.999,ALPIFPV,NO_DATA
RCTech.de EU Spec Series 3 Race 3,Empty Scene Day,999,999.999,ALPIFPV,NO_DATA
RCTech.de EU Spec Series 3 Race 5,Empty Scene Day,999,999.999,ALPIFPV,NO_DATA
RCTech.de EU Spec Series 3 Race 6,NEC Birmingham,999,999.999,ALPIFPV,NO_DATA
TBS EU Spec Season 5 Race 1,Football Stadium,17,55.361,ALPIFPV,UnitedStates,Five33Switchback,2021/10/15
TBS EU Spec Series 10 Race 1,Football Stadium,46,62.775,ALPIFPV,UnitedStates,Five33Switchback,2021/12/07
TBS EU Spec Series 10 Race 2,Empty Scene Day,14,57.353,ALPIFPV,UnitedStates,Five33Switchback,2021/12/13
TBS EU Spec Series 10 Race 3,Night Factory 2,10,62.181,ALPIFPV,UnitedStates,Five33Switchback,2021/12/20
TBS EU Spec Series 10 Race 4,Dynamic Weather,999,999.999,ALPIFPV,NO_DATA
TBS EU Spec Series 10 Race 5 _2,IndoorGoKart,8,50.817,ALPIFPV,UnitedStates,Five33Switchback,2022/01/26
TBS EU Spec Series 10 Race 6,Large Carpark,107,72.196,ALPIFPV,UnitedStates,Five33Switchback,2022/02/02
TBS EU Spec Series 10 Race 7,Football Stadium,43,76.925,ALPIFPV,UnitedStates,Five33Switchback,2022/02/04
TBS EU Spec Series 4 FINAL,Dynamic Weather,55,86.572,ALPIFPV,UnitedStates,TBSSpec,2020/06/26
TBS EU Spec Series 4 Race 2,Empty Scene Day,999,999.999,ALPIFPV,NO_DATA
TBS EU Spec Series 4 Race 3,IndoorGoKart,55,108.292,ALPIFPV,UnitedStates,TBSSpec,2020/05/31
TBS EU Spec Series 4 Race 4,Empty Scene Day,56,82.810,ALPIFPV,UnitedStates,TBSSpec,2020/06/02
TBS EU Spec Series 4 Race 5,Dynamic Weather,95,97.387,ALPIFPV,UnitedStates,TBSSpec,2020/06/06
TBS EU Spec Series 4 Race 7,Football Stadium,11,64.363,ALPIFPV,UnitedStates,Five33Switchback,2021/10/18
TBS EU Spec Series 5 FINAL,Dynamic Weather,999,999.999,ALPIFPV,NO_DATA
TBS EU Spec Series 5 Losers Final,Dynamic Weather,26,74.921,ALPIFPV,UnitedStates,Five33Switchback,2020/09/04
TBS EU Spec Series 5 Race 3,Dynamic Weather,43,74.100,ALPIFPV,UnitedStates,Five33Switchback,2020/07/28
TBS EU Spec Series 5 Race 4,Football Stadium,34,78.294,ALPIFPV,UnitedStates,Five33Switchback,2020/08/04
TBS EU Spec Series 5 Race 5,NEC Birmingham,57,74.496,ALPIFPV,UnitedStates,Five33Switchback,2020/08/17
TBS EU Spec Series 5 Race 6,Dynamic Weather,19,63.634,ALPIFPV,UnitedStates,Five33Switchback,2020/08/31
TBS EU Spec Series 5 Race 7,IndoorGoKart,22,71.412,ALPIFPV,UnitedStates,Five33Switchback,2020/09/01
TBS EU Spec Series 6 Final,Empty Scene Day,37,82.055,ALPIFPV,UnitedStates,TBSSpec,2020/12/10
TBS EU Spec Series 6 Losers Final,Football Stadium,53,73.236,ALPIFPV,UnitedStates,TBSSpec,2020/12/07
TBS EU Spec Series 6 Race 1,Future Hangar Empty,33,68.806,ALPIFPV,UnitedStates,Five33Switchback,2020/09/29
TBS EU Spec Series 6 Race 2,Empty Scene Day,58,72.215,ALPIFPV,UnitedStates,Five33Switchback,2020/10/02
TBS EU Spec Series 6 Race 4,NEC Birmingham,36,66.144,ALPIFPV,UnitedStates,Five33Switchback,2020/11/01
TBS EU Spec Series 6 Race 5,Dynamic Weather,56,85.938,ALPIFPV,UnitedStates,TBSSpec,2020/11/17
TBS EU Spec Series 6 Race 6,Empty Scene Day,39,76.780,ALPIFPV,UnitedStates,TBSSpec,2020/11/24
TBS EU Spec Series 6 Race 7,Empty Scene Day,88,60.444,ALPIFPV,UnitedStates,TBSSpec,2020/11/25
TBS EU Spec Series 7 Final,Empty Scene Day,53,74.443,ALPIFPV,UnitedStates,TBSSpec,2021/03/10
TBS EU Spec Series 7 Race 1,Football Stadium,34,67.800,ALPIFPV,UnitedStates,Five33Switchback,2021/07/28
TBS EU Spec Series 7 Race 2,Empty Scene Day,68,71.720,ALPIFPV,UnitedStates,TBSSpec,2021/01/27
TBS EU Spec Series 7 Race 3,Empty Scene Day,77,75.464,ALPIFPV,UnitedStates,TBSSpec,2021/02/03
TBS EU Spec Series 7 Race 4,Empty Scene Day,71,72.296,ALPIFPV,UnitedStates,TBSSpec,2021/02/06
TBS EU Spec Series 7 Race 5,IndoorGoKart,58,73.409,ALPIFPV,UnitedStates,TBSSpec,2021/02/10
TBS EU Spec Series 7 Race 6,Future Hangar Empty,42,70.236,ALPIFPV,UnitedStates,TBSSpec,2021/02/16
TBS EU Spec Series 7 Race 7,Empty Scene Day,47,75.313,ALPIFPV,UnitedStates,TBSSpec,2021/03/02
TBS EU Spec Series 8 Final,Dynamic Weather,18,71.228,ALPIFPV,UnitedStates,Five33Switchback,2021/07/09
TBS EU Spec Series 8 Losers Final,Dynamic Weather,25,57.016,ALPIFPV,UnitedStates,Five33Switchback,2021/07/08
TBS EU Spec Series 8 Race 1,Dynamic Weather,16,70.953,ALPIFPV,UnitedStates,Five33Switchback,2021/06/22
TBS EU Spec Series 8 Race 2,Empty Scene Night,30,73.324,ALPIFPV,UnitedStates,Five33Switchback,2021/06/24
TBS EU Spec Series 8 Race 3,Football Stadium,999,999.999,ALPIFPV,NO_DATA
TBS EU Spec Series 8 Race 4,Empty Scene Day,67,79.583,ALPIFPV,UnitedStates,TBSSpec,2021/05/08
TBS EU Spec Series 8 Race 5,Future Hangar Empty,21,53.021,ALPIFPV,UnitedStates,Five33Switchback,2021/05/28
TBS EU Spec Series 8 Race 6,Football Stadium,31,61.282,ALPIFPV,UnitedStates,Five33Switchback,2021/06/10
