DEP Open Pop-Up 2,Dynamic Weather,999,999.999,AdamWu,NO_DATA
DEP Open Series 2 Race 1,Dynamic Weather,999,999.999,AdamWu,NO_DATA
DEP Open Series 2 Race 7,Football Stadium,999,999.999,AdamWu,NO_DATA
DEP Open Series 3 Race 1,Football Stadium,999,999.999,AdamWu,NO_DATA
DEP Open Series 3 Race 2,Football Stadium,170,121.067,AdamWu,China,Five33Switchback,2021/03/14
DEP Open Series 3 Race 3,Karting Track,999,999.999,AdamWu,NO_DATA
DEP Open Series 3 Race 4,Football Stadium,181,85.682,AdamWu,China,Five33Switchback,2021/03/07
DEP Open Series 3 Race 5,Football Stadium,166,105.461,AdamWu,China,Five33Switchback,2021/03/10
DEP Open Series 3 Race 6,Football Stadium,153,135.373,AdamWu,China,Five33Switchback,2021/03/11
DEP Open Series 3 Race 7,Football Stadium,160,118.895,AdamWu,China,Five33Switchback,2021/03/20
DEP Open Series 4 Race 1,Football Stadium,161,112.519,AdamWu,China,Five33Switchback,2021/04/11
DEP Open Series 4 Race 2,Football Stadium,172,137.426,AdamWu,China,Five33Switchback,2021/04/13
DEP Open Series 4 Race 3,Football Stadium,150,94.009,AdamWu,China,Five33Switchback,2021/04/18
DEP Open Series 4 Race 4,Football Stadium,999,999.999,AdamWu,NO_DATA
DEP Open Series 4 Race 5,Football Stadium,154,83.767,AdamWu,China,Five33Switchback,2021/05/13
DEP Open Series 4 Race 6,Football Stadium,121,84.513,AdamWu,China,Five33Switchback,2021/05/26
DEP Open Series 4 Race 7,Football Stadium,159,92.273,AdamWu,China,Five33Switchback,2021/05/30
DEP Open Series 5 Race 1,Football Stadium,88,71.633,AdamWu,China,Five33Switchback,2021/11/11
DEP Open Series 5 Race 2,Football Stadium,173,117.340,AdamWu,China,Five33Switchback,2021/11/04
DEP Open Series 5 Race 3,Football Stadium,90,95.745,AdamWu,China,Five33Switchback,2021/11/21
DEP Open Series 5 Race 4,Football Stadium,131,117.005,AdamWu,China,Five33Switchback,2021/12/01
DEP Open Series 5 Race 5,Football Stadium,999,999.999,AdamWu,NO_DATA
DEP Open Series 5 Race 6,Football Stadium,169,109.527,AdamWu,China,Five33Switchback,2022/02/19
DEP Open Series 5 Race 7,Football Stadium,74,110.077,AdamWu,China,Five33Switchback,2022/02/19
DEP Spec Series 1 Race 5,Football Stadium,999,999.999,AdamWu,NO_DATA
TBS EU Spec Series 8 Final,Dynamic Weather,999,999.999,AdamWu,NO_DATA
TBS EU Spec Series 8 Losers Final,Dynamic Weather,148,80.932,AdamWu,China,Five33Switchback,2021/06/30
TBS EU Spec Series 8 Race 1,Dynamic Weather,999,999.999,AdamWu,NO_DATA
TBS EU Spec Series 8 Race 2,Empty Scene Night,114,97.815,AdamWu,China,Five33Switchback,2021/03/28
TBS EU Spec Series 8 Race 3,Football Stadium,999,999.999,AdamWu,NO_DATA
TBS EU Spec Series 8 Race 4,Empty Scene Day,175,103.304,AdamWu,China,Five33Switchback,2021/05/13
TBS EU Spec Series 8 Race 5,Future Hangar Empty,146,80.883,AdamWu,China,Five33Switchback,2021/05/24
TBS EU Spec Series 8 Race 6,Football Stadium,200,90.430,AdamWu,China,Five33Switchback,2021/06/09
TBS EU Spec Series 8 Race 7,Empty Scene Day,168,93.422,AdamWu,China,Five33Switchback,2021/06/18
