DEP Open Pop-Up 2,Dynamic Weather,45,69.553,Barnyard,UnitedStates,Five33Switchback,2021/07/02
DEP Open Series 2 Race 1,Dynamic Weather,105,61.775,Barnyard,UnitedStates,Five33Switchback,2021/10/12
DEP Open Series 2 Race 7,Football Stadium,58,99.589,Barnyard,UnitedStates,Five33Switchback,2021/03/19
DEP Open Series 3 Race 1,Football Stadium,116,63.184,Barnyard,UnitedStates,Five33Switchback,2021/02/21
DEP Open Series 3 Race 2,Football Stadium,28,72.859,Barnyard,UnitedStates,Five33Switchback,2022/01/18
DEP Open Series 3 Race 3,Karting Track,64,91.317,Barnyard,UnitedStates,Five33Switchback,2021/05/24
DEP Open Series 3 Race 4,Football Stadium,57,62.629,Barnyard,UnitedStates,Five33Switchback,2021/12/29
DEP Open Series 3 Race 5,Football Stadium,86,85.804,Barnyard,UnitedStates,Five33Switchback,2021/03/16
DEP Open Series 3 Race 6,Football Stadium,95,111.484,Barnyard,UnitedStates,Five33Switchback,2021/12/05
DEP Open Series 3 Race 7,Football Stadium,76,93.011,Barnyard,UnitedStates,Five33Switchback,2021/04/11
DEP Open Series 4 Race 1,Football Stadium,129,104.303,Barnyard,UnitedStates,Five33Switchback,2021/04/09
DEP Open Series 4 Race 2,Football Stadium,104,117.723,Barnyard,UnitedStates,Five33Switchback,2021/04/08
DEP Open Series 4 Race 3,Football Stadium,53,69.861,Barnyard,UnitedStates,Five33Switchback,2021/08/06
DEP Open Series 4 Race 4,Football Stadium,63,89.715,Barnyard,UnitedStates,Five33Switchback,2021/04/24
DEP Open Series 4 Race 5,Football Stadium,39,63.492,Barnyard,UnitedStates,Five33Switchback,2021/05/07
DEP Open Series 4 Race 6,Football Stadium,84,75.479,Barnyard,UnitedStates,Five33Switchback,2021/05/24
DEP Open Series 4 Race 7,Football Stadium,53,68.324,Barnyard,UnitedStates,Five33Switchback,2022/02/02
DEP Open Series 5 Race 1,Football Stadium,32,58.453,Barnyard,UnitedStates,Five33Switchback,2021/11/11
DEP Open Series 5 Race 2,Football Stadium,42,72.733,Barnyard,UnitedStates,Five33Switchback,2021/10/30
DEP Open Series 5 Race 3,Football Stadium,47,78.908,Barnyard,UnitedStates,Five33Switchback,2021/12/14
DEP Open Series 5 Race 4,Football Stadium,51,85.536,Barnyard,UnitedStates,Five33Switchback,2021/11/30
DEP Open Series 5 Race 5,Football Stadium,33,83.535,Barnyard,UnitedStates,Five33Switchback,2022/01/18
