TBS EU Spec Series 10 FINAL --- ChrisM,Football Stadium,62,77.476,Baton,RussianFederation,TBSSpec,2022/02/17
TBS EU Spec Series 10 Losers Final,Football Stadium,999,999.999,Baton,NO_DATA
TBS EU Spec Series 10 Race 1,Football Stadium,999,999.999,Baton,NO_DATA
TBS EU Spec Series 10 Race 2,Empty Scene Day,82,69.675,Baton,RussianFederation,TBSSpec,2021/12/09
TBS EU Spec Series 10 Race 3,Night Factory 2,73,74.215,Baton,RussianFederation,TBSSpec,2021/12/16
TBS EU Spec Series 10 Race 4,Dynamic Weather,49,65.362,Baton,RussianFederation,TBSSpec,2022/01/06
TBS EU Spec Series 10 Race 5 _2,IndoorGoKart,106,68.815,Baton,RussianFederation,TBSSpec,2022/01/20
TBS EU Spec Series 10 Race 6,Large Carpark,43,44.189,Baton,RussianFederation,TBSSpec,2022/01/27
TBS EU Spec Series 10 Race 7,Football Stadium,102,78.488,Baton,RussianFederation,TBSSpec,2022/02/03
TBS EU Spec Series 12 Final,Dynamic Weather,999,999.999,Baton,NO_DATA
TBS EU Spec Series 12 Losers Final,Dynamic Weather,2,74.453,Baton,RussianFederation,Five33Switchback,2023/02/13
TBS EU Spec Series 12 Race 1,Dynamic Weather,37,77.333,Baton,RussianFederation,TBSSpec,2022/12/08
TBS EU Spec Series 12 Race 2,NEC Birmingham,22,76.554,Baton,RussianFederation,TBSSpec,2022/12/15
TBS EU Spec Series 12 Race 3,Dynamic Weather,23,67.295,Baton,RussianFederation,TBSSpec,2022/12/29
TBS EU Spec Series 12 Race 4,Night Factory 2,999,999.999,Baton,NO_DATA
TBS EU Spec Series 12 Race 5,Dynamic Weather,6,65.680,Baton,RussianFederation,Five33Switchback,2023/01/14
TBS EU Spec Series 12 Race 6,Dynamic Weather,4,53.237,Baton,RussianFederation,Five33Switchback,2023/01/21
TBS EU Spec Series 12 Race 7,Dynamic Weather,1,60.350,Baton,RussianFederation,Five33Switchback,2023/01/28
TBS EU Spec Series 7 Final,Empty Scene Day,165,88.071,Baton,RussianFederation,TBSSpec,2021/03/04
TBS EU Spec Series 7 Race 1,Football Stadium,127,76.890,Baton,RussianFederation,TBSSpec,2021/01/07
TBS EU Spec Series 7 Race 2,Empty Scene Day,999,999.999,Baton,NO_DATA
TBS EU Spec Series 7 Race 3,Empty Scene Day,159,82.634,Baton,RussianFederation,TBSSpec,2021/01/21
TBS EU Spec Series 7 Race 4,Empty Scene Day,999,999.999,Baton,NO_DATA
TBS EU Spec Series 7 Race 5,IndoorGoKart,127,79.279,Baton,RussianFederation,TBSSpec,2021/02/04
TBS EU Spec Series 7 Race 6,Future Hangar Empty,113,78.959,Baton,RussianFederation,TBSSpec,2021/02/11
TBS EU Spec Series 7 Race 7,Empty Scene Day,126,89.287,Baton,RussianFederation,TBSSpec,2021/02/18
TBS EU Spec Series 9 Final,Dynamic Weather,95,69.468,Baton,RussianFederation,TBSSpec,2021/11/11
TBS EU Spec Series 9 Losers Final,Dynamic Weather,64,67.566,Baton,RussianFederation,TBSSpec,2021/11/04
TBS EU Spec Series 9 Race 1,Football Stadium,999,999.999,Baton,NO_DATA
TBS EU Spec Series 9 Race 2,Dynamic Weather,98,62.125,Baton,RussianFederation,TBSSpec,2021/09/16
TBS EU Spec Series 9 Race 3,Empty Scene Day,999,999.999,Baton,NO_DATA
TBS EU Spec Series 9 Race 4,Football Stadium,77,71.849,Baton,RussianFederation,TBSSpec,2021/09/30
TBS EU Spec Series 9 Race 5,Empty Scene Day,145,75.786,Baton,RussianFederation,TBSSpec,2021/10/07
TBS EU Spec Series 9 Race 6,Empty Scene Day,59,70.377,Baton,RussianFederation,TBSSpec,2021/10/21
TBS EU Spec Series 9 Race 7,NEC Birmingham,70,73.001,Baton,RussianFederation,TBSSpec,2021/10/28
