DEP Open Pop-Up 2,Dynamic Weather,59,72.477,BearmanFPV,UnitedKingdom,TBSSpec,2021/06/30
DEP Open Series 2 Race 1,Dynamic Weather,73,56.482,BearmanFPV,UnitedKingdom,Ossa,2020/12/04
DEP Open Series 2 Race 7,Football Stadium,72,102.031,BearmanFPV,UnitedKingdom,Ossa,2021/06/06
DEP Open Series 3 Race 1,Football Stadium,999,999.999,BearmanFPV,NO_DATA
DEP Open Series 3 Race 2,Football Stadium,999,999.999,BearmanFPV,NO_DATA
DEP Open Series 3 Race 3,Karting Track,125,113.839,BearmanFPV,UnitedKingdom,Ossa,2021/03/03
DEP Open Series 3 Race 4,Football Stadium,90,67.926,BearmanFPV,UnitedKingdom,Ossa,2021/02/24
DEP Open Series 3 Race 5,Football Stadium,88,85.989,BearmanFPV,UnitedKingdom,TBSSpec,2021/03/03
DEP Open Series 3 Race 6,Football Stadium,76,102.842,BearmanFPV,UnitedKingdom,TBSSpec,2021/03/10
DEP Open Series 3 Race 7,Football Stadium,999,999.999,BearmanFPV,NO_DATA
DEP Open Series 4 Race 1,Football Stadium,92,94.813,BearmanFPV,UnitedKingdom,TBSSpec,2021/03/31
DEP Open Series 4 Race 2,Football Stadium,109,118.599,BearmanFPV,UnitedKingdom,TBSSpec,2021/04/21
DEP Open Series 4 Race 3,Football Stadium,43,66.950,BearmanFPV,UnitedKingdom,TBSSpec,2021/06/29
DEP Open Series 4 Race 4,Football Stadium,72,91.096,BearmanFPV,UnitedKingdom,Ossa,2021/04/21
DEP Open Series 4 Race 5,Football Stadium,80,68.947,BearmanFPV,UnitedKingdom,Ossa,2021/04/28
DEP Open Series 4 Race 6,Football Stadium,58,69.327,BearmanFPV,UnitedKingdom,Ossa,2021/05/12
DEP Open Series 4 Race 7,Football Stadium,56,69.341,BearmanFPV,UnitedKingdom,TBSSpec,2021/09/13
DEP Open Series 5 Race 1,Football Stadium,54,62.669,BearmanFPV,UnitedKingdom,TBSSpec,2021/11/03
DEP Open Series 5 Race 2,Football Stadium,53,76.156,BearmanFPV,UnitedKingdom,TBSSpec,2021/11/07
DEP Open Series 5 Race 3,Football Stadium,189,132.309,BearmanFPV,UnitedKingdom,Five33Switchback,2021/11/17
DEP Open Series 5 Race 4,Football Stadium,31,77.288,BearmanFPV,UnitedKingdom,TBSSpec,2021/11/29
DEP Open Series 5 Race 5,Football Stadium,999,999.999,BearmanFPV,NO_DATA
DEP Open Series 5 Race 6,Football Stadium,999,999.999,BearmanFPV,NO_DATA
DEP Open Series 5 Race 7,Football Stadium,999,999.999,BearmanFPV,NO_DATA
DEP Spec Series 1 Race 5,Football Stadium,999,999.999,BearmanFPV,NO_DATA
EU Spec Season 4 Race 1,Football Stadium,196,106.163,BearmanFPV,UnitedKingdom,TBSSpec,2020/05/11
RCTech.de EU Spec Series 2 Final,Empty Scene Day,70,73.694,BearmanFPV,UnitedKingdom,TBSSpec,2021/06/02
RCTech.de EU Spec Series 2 Losers FInal,Empty Scene Day,198,111.965,BearmanFPV,UnitedKingdom,TBSSpec,2020/06/10
RCTech.de EU Spec Series 2 Race 1,Football Stadium,180,74.590,BearmanFPV,UnitedKingdom,TBSSpec,2021/04/08
RCTech.de EU Spec Series 2 Race 3,Empty Scene Day,30,67.507,BearmanFPV,UnitedKingdom,TBSSpec,2021/01/11
RCTech.de EU Spec Series 2 Race 4,Empty Scene Day,999,999.999,BearmanFPV,NO_DATA
RCTech.de EU Spec Series 2 Race 5,IndoorGoKart,38,72.405,BearmanFPV,UnitedKingdom,TBSSpec,2022/01/01
RCTech.de EU Spec Series 2 Race 6,Empty Scene Day,59,84.689,BearmanFPV,UnitedKingdom,TBSSpec,2020/07/15
RCTech_de EU Spec Series 3 Final,Empty Scene Day,999,999.999,BearmanFPV,NO_DATA
RCTech.de EU Spec Series 3 Race 1,NEC Birmingham,114,79.716,BearmanFPV,UnitedKingdom,TBSSpec,2020/05/11
RCTech.de EU Spec Series 3 Race 2,Empty Scene Day,8,61.502,BearmanFPV,UnitedKingdom,Five33Switchback,2021/08/21
RCTech.de EU Spec Series 3 Race 3,Empty Scene Day,107,102.742,BearmanFPV,UnitedKingdom,TBSSpec,2020/05/11
RCTech.de EU Spec Series 3 Race 5,Empty Scene Day,999,999.999,BearmanFPV,NO_DATA
