DEP Open Series 5 Race 1,Football Stadium,160,89.051,Crashin2416,UnitedStates,DiatoneGTB339,2021/12/24
DEP Open Series 5 Race 2,Football Stadium,179,121.848,Crashin2416,UnitedStates,DiatoneGTB339,2021/12/24
DEP Open Series 5 Race 3,Football Stadium,999,999.999,Crashin2416,NO_DATA
DEP Open Series 5 Race 4,Football Stadium,164,140.404,Crashin2416,UnitedStates,DiatoneGTB339,2021/11/29
DEP Open Series 5 Race 5,Football Stadium,138,130.824,Crashin2416,UnitedStates,DiatoneGTB339,2021/12/10
DEP Open Series 5 Race 6,Football Stadium,186,120.569,Crashin2416,UnitedStates,DiatoneGTB339,2021/12/17
DEP Open Series 5 Race 7,Football Stadium,165,162.378,Crashin2416,UnitedStates,DiatoneGTB339,2022/01/04
TBS EU Spec Series 10 Losers Final,Football Stadium,107,90.213,Crashin2416,UnitedStates,Five33SwitchbackExp,2022/02/11
TBS EU Spec Series 10 Race 1,Football Stadium,999,999.999,Crashin2416,NO_DATA
TBS EU Spec Series 10 Race 2,Empty Scene Day,177,105.523,Crashin2416,UnitedStates,DiatoneGTB339,2021/12/18
TBS EU Spec Series 10 Race 3,Night Factory 2,146,108.232,Crashin2416,UnitedStates,DiatoneGTB339,2022/01/18
TBS EU Spec Series 10 Race 4,Dynamic Weather,168,97.629,Crashin2416,UnitedStates,DiatoneGTB339,2022/01/08
TBS EU Spec Series 10 Race 5 _2,IndoorGoKart,175,111.647,Crashin2416,UnitedStates,DiatoneGTB339,2022/01/21
TBS EU Spec Series 10 Race 6,Large Carpark,102,68.389,Crashin2416,UnitedStates,DiatoneGTB339,2022/01/28
TBS EU Spec Series 10 Race 7,Football Stadium,149,117.662,Crashin2416,UnitedStates,Five33SwitchbackExp,2022/02/07
Week 10 TT - MCKPractice2,Football Stadium,169,90.649,Crashin2416,UnitedStates,DiatoneGTB339,2022/01/03
Week 12 TT - GQ22 by Chris M,Football Stadium,999,999.999,Crashin2416,NO_DATA
Week 1 TT - Levice by TheFPVdoctor,Empty Scene Day,175,93.646,Crashin2416,UnitedStates,DiatoneGTB339,2021/11/18
Week 2 TT - Ruinous by NM Grower,Dynamic Weather,999,999.999,Crashin2416,NO_DATA
Week 5 TT - Cuernavaca LightPath by MorshaFPV,Empty Scene Night,136,118.817,Crashin2416,UnitedStates,DiatoneGTB339,2021/11/11
Week 8 TT - DF1 by DragonFlyte,Dynamic Weather,71,168.366,Crashin2416,UnitedStates,DiatoneGTB339,2021/12/19
Week 9 TT - CM17 by Chris M,Football Stadium,999,999.999,Crashin2416,NO_DATA
