DEP Open Series 6 Race 1,Football Stadium,163,128.280,CtrlAltFred,SouthAfrica,Five33Switchback,2022/03/16
DEP Open Series 6 Race 2,Football Stadium,100,144.936,CtrlAltFred,SouthAfrica,Five33Switchback,2022/03/18
Formula FLow I,Empty Scene Day,102,69.299,CtrlAltFred,SouthAfrica,Five33Switchback,2022/03/18
Formula Flow II,Empty Scene Day,112,137.191,CtrlAltFred,SouthAfrica,Five33Switchback,2022/03/16
Formula Flow III,Empty Scene Day,133,256.216,CtrlAltFred,SouthAfrica,Five33Switchback,2022/03/10
Formula Flow IV,Empty Scene Day,90,222.994,CtrlAltFred,SouthAfrica,Five33Switchback,2022/03/10
Quad Rivals 2021 Race 10 - 2021 is Dead,Empty Scene Day,101,128.279,CtrlAltFred,SouthAfrica,Five33Switchback,2022/03/20
Quad Rivals 2021 Race 1 - Season Warmup,Football Stadium,193,78.022,CtrlAltFred,SouthAfrica,Five33Switchback,2022/03/20
Quad Rivals 2021 Race 2 - Season Opener,Empty Scene Day,166,97.390,CtrlAltFred,SouthAfrica,Five33Switchback,2022/03/19
Quad Rivals 2021 Race 3 - Devils Ridge,Empty Scene Day,127,144.898,CtrlAltFred,SouthAfrica,Five33Switchback,2021/09/20
Quad Rivals 2021 Race 4 - Freedom Spec,Empty Scene Day,999,999.999,CtrlAltFred,NO_DATA
Quad Rivals 2021 Race 5 - Bring the Heat,Empty Scene Day,129,106.168,CtrlAltFred,SouthAfrica,Five33Switchback,2022/03/20
Quad Rivals 2021 Race 6 - Temperature Warning,Empty Scene Day,191,96.290,CtrlAltFred,SouthAfrica,Yakuza,2022/02/23
Quad Rivals 2021 Race 7 - Around the Trees in 20 Seconds,Empty Scene Day,146,133.513,CtrlAltFred,SouthAfrica,Yakuza,2022/02/23
Quad Rivals 2021 Race 8 - Rivalicious,Empty Scene Day,138,112.512,CtrlAltFred,SouthAfrica,SlamNasty,2022/01/25
Quad Rivals 2021 Race 9 - Holiday Hootenanny,Empty Scene Day,129,129.782,CtrlAltFred,SouthAfrica,Yakuza,2022/02/24
TBS EU Spec Series 10 FINAL --- ChrisM,Football Stadium,122,100.815,CtrlAltFred,SouthAfrica,Five33Switchback,2022/03/17
TBS EU Spec Series 10 Losers Final,Football Stadium,163,80.831,CtrlAltFred,SouthAfrica,Five33Switchback,2022/03/18
TBS EU Spec Series 10 Race 1,Football Stadium,180,94.323,CtrlAltFred,SouthAfrica,Five33Switchback,2022/04/29
TBS EU Spec Series 10 Race 2,Empty Scene Day,187,100.644,CtrlAltFred,SouthAfrica,Five33Switchback,2022/04/29
TBS EU Spec Series 10 Race 3,Night Factory 2,999,999.999,CtrlAltFred,NO_DATA
TBS EU Spec Series 10 Race 4,Dynamic Weather,999,999.999,CtrlAltFred,NO_DATA
TBS EU Spec Series 10 Race 5 _2,IndoorGoKart,94,74.432,CtrlAltFred,SouthAfrica,Five33Switchback,2022/04/29
TBS EU Spec Series 10 Race 6,Large Carpark,999,999.999,CtrlAltFred,NO_DATA
TBS EU Spec Series 10 Race 7,Football Stadium,112,87.413,CtrlAltFred,SouthAfrica,Five33Switchback,2022/03/16
Train insane - aircrasher powerloop - MaiOnHigh,Empty Scene Day,999,999.999,CtrlAltFred,NO_DATA
Train Insane - APEX Training Routine - MaiOnHigh,Empty Scene Day,77,34.179,CtrlAltFred,SouthAfrica,SniperX,2022/02/15
Train Insane - Corkscrews - MaiOnHigh,Empty Scene Day,999,999.999,CtrlAltFred,NO_DATA
Train Insane - Dive - MaiOnHigh,Empty Scene Day,132,64.015,CtrlAltFred,SouthAfrica,SlamNasty,2022/01/06
Train Insane - Dutch 8 - MaiOnHigh,Empty Scene Day,135,113.595,CtrlAltFred,SouthAfrica,SlamNasty,2022/02/11
Train insane - High jumps - MaiOnHigh,Empty Scene Day,99,64.897,CtrlAltFred,SouthAfrica,SlamNasty,2022/01/06
Train Insane - Ladder - MaiOnHigh,Empty Scene Day,125,88.432,CtrlAltFred,SouthAfrica,SlamNasty,2022/01/06
Train Insane - Long Dive - MaiOnHigh,Empty Scene Day,117,70.981,CtrlAltFred,SouthAfrica,SlamNasty,2022/01/06
Train Insane - powerloops - MaiOnHigh,Empty Scene Day,112,69.814,CtrlAltFred,SouthAfrica,SlamNasty,2022/01/06
Train insane - powerloop to sharp turn - MaiOnHigh,Empty Scene Day,999,999.999,CtrlAltFred,NO_DATA
Train Insane Race Track - MaiOnHigh,Empty Scene Day,119,116.363,CtrlAltFred,SouthAfrica,SlamNasty,2022/01/12
Train Insane - Reversed split-s - MaiOnhigh,Empty Scene Day,105,105.915,CtrlAltFred,SouthAfrica,SlamNasty,2022/01/06
Train insane - sharp turns - MaiOnHigh,Empty Scene Day,999,999.999,CtrlAltFred,NO_DATA
Train Insane - slalom - MaiOnHigh,Empty Scene Day,76,27.466,CtrlAltFred,SouthAfrica,SlamNasty,2022/01/06
Train insane - Split-S ladder - MaiOnHigh,Empty Scene Day,77,148.646,CtrlAltFred,SouthAfrica,SlamNasty,2022/01/06
Train insane - Split-S - MaiOnHigh,Empty Scene Day,75,28.966,CtrlAltFred,SouthAfrica,SlamNasty,2022/01/06
Train Insane- Test1 - MaiOnHigh,Empty Scene Day,170,91.564,CtrlAltFred,SouthAfrica,Five33Switchback,2022/01/24
Train Insane - Tunnels - MaiOnHigh,Empty Scene Day,71,69.016,CtrlAltFred,SouthAfrica,SlamNasty,2022/01/06
Train insane - wide slalom - MaiOnHigh,Empty Scene Day,999,999.999,CtrlAltFred,NO_DATA
