DEP Open Pop-Up 2,Dynamic Weather,62,68.932,DarksilverDotGFrames,Canada,Five33Switchback,2022/03/02
DEP Open Series 2 Race 1,Dynamic Weather,47,48.610,DarksilverDotGFrames,Canada,TBSSpec,2021/09/21
DEP Open Series 2 Race 7,Football Stadium,35,83.071,DarksilverDotGFrames,Canada,Five33Switchback,2022/02/03
DEP Open Series 3 Race 1,Football Stadium,88,57.337,DarksilverDotGFrames,Canada,Five33Switchback,2022/02/03
DEP Open Series 3 Race 2,Football Stadium,97,89.138,DarksilverDotGFrames,Canada,Five33Switchback,2021/02/15
DEP Open Series 3 Race 3,Karting Track,46,80.947,DarksilverDotGFrames,Canada,Five33Switchback,2021/12/26
DEP Open Series 3 Race 4,Football Stadium,81,63.729,DarksilverDotGFrames,Canada,Five33Switchback,2022/02/04
DEP Open Series 3 Race 5,Football Stadium,81,81.372,DarksilverDotGFrames,Canada,TBSSpec,2021/09/22
DEP Open Series 3 Race 6,Football Stadium,63,95.157,DarksilverDotGFrames,Canada,TBSSpec,2021/09/23
DEP Open Series 3 Race 7,Football Stadium,80,90.904,DarksilverDotGFrames,Canada,TBSSpec,2021/03/20
DEP Open Series 4 Race 1,Football Stadium,83,88.335,DarksilverDotGFrames,Canada,TBSSpec,2021/04/05
DEP Open Series 4 Race 2,Football Stadium,103,107.533,DarksilverDotGFrames,Canada,TBSSpec,2021/05/06
DEP Open Series 4 Race 3,Football Stadium,98,74.371,DarksilverDotGFrames,Canada,TBSSpec,2021/04/28
DEP Open Series 4 Race 4,Football Stadium,70,87.443,DarksilverDotGFrames,Canada,TBSSpec,2021/04/28
DEP Open Series 4 Race 5,Football Stadium,93,67.340,DarksilverDotGFrames,Canada,Five33Switchback,2021/05/06
DEP Open Series 4 Race 6,Football Stadium,69,69.285,DarksilverDotGFrames,Canada,Five33Switchback,2021/10/01
DEP Open Series 4 Race 7,Football Stadium,137,79.807,DarksilverDotGFrames,Canada,TBSSpec,2021/05/31
DEP Open Series 5 Race 1,Football Stadium,60,59.439,DarksilverDotGFrames,Canada,Five33Switchback,2021/10/28
DEP Open Series 5 Race 2,Football Stadium,102,85.231,DarksilverDotGFrames,Canada,Five33Switchback,2021/12/26
DEP Open Series 5 Race 3,Football Stadium,46,77.470,DarksilverDotGFrames,Canada,Five33Switchback,2021/11/19
DEP Open Series 5 Race 4,Football Stadium,56,81.873,DarksilverDotGFrames,Canada,Five33Switchback,2021/11/27
DEP Open Series 5 Race 5,Football Stadium,40,81.424,DarksilverDotGFrames,Canada,Five33Switchback,2021/12/15
DEP Open Series 5 Race 6,Football Stadium,66,72.840,DarksilverDotGFrames,Canada,Five33Switchback,2021/12/26
DEP Open Series 5 Race 7,Football Stadium,57,98.301,DarksilverDotGFrames,Canada,Five33Switchback,2021/12/31
DEP Open Series 6 Race 1,Football Stadium,62,73.941,DarksilverDotGFrames,Canada,Five33Switchback,2022/03/06
DEP Open Series 6 Race 2,Football Stadium,46,96.524,DarksilverDotGFrames,Canada,TBSSpec,2022/03/11
DEP Spec Series 1 Race 5,Football Stadium,82,99.136,DarksilverDotGFrames,Canada,TBSSpec,2021/05/11
EU Spec Season 4 Race 1,Football Stadium,999,999.999,DarksilverDotGFrames,NO_DATA
RCTech.de EU Spec Series 2 Final,Empty Scene Day,196,84.235,DarksilverDotGFrames,Canada,Five33Switchback,2021/01/16
RCTech.de EU Spec Series 2 Losers FInal,Empty Scene Day,181,91.943,DarksilverDotGFrames,Canada,Five33Switchback,2020/07/06
RCTech.de EU Spec Series 2 Race 1,Football Stadium,999,999.999,DarksilverDotGFrames,NO_DATA
RCTech.de EU Spec Series 2 Race 3,Empty Scene Day,53,73.386,DarksilverDotGFrames,Canada,Five33Switchback,2020/12/25
RCTech.de EU Spec Series 2 Race 4,Empty Scene Day,130,82.608,DarksilverDotGFrames,Canada,Five33Switchback,2021/01/20
RCTech.de EU Spec Series 2 Race 5,IndoorGoKart,999,999.999,DarksilverDotGFrames,NO_DATA
RCTech.de EU Spec Series 2 Race 6,Empty Scene Day,999,999.999,DarksilverDotGFrames,NO_DATA
RCTech_de EU Spec Series 3 Final,Empty Scene Day,160,92.241,DarksilverDotGFrames,Canada,Five33Switchback,2020/12/25
RCTech.de EU Spec Series 3 Race 1,NEC Birmingham,65,63.311,DarksilverDotGFrames,Canada,Five33Switchback,2022/01/02
RCTech.de EU Spec Series 3 Race 2,Empty Scene Day,147,84.258,DarksilverDotGFrames,Canada,TBSSpec,2020/09/11
RCTech.de EU Spec Series 3 Race 3,Empty Scene Day,81,88.057,DarksilverDotGFrames,Canada,TBSSpec,2020/12/25
RCTech.de EU Spec Series 3 Race 5,Empty Scene Day,174,122.102,DarksilverDotGFrames,Canada,TBSSpec,2020/09/11
RCTech.de EU Spec Series 3 Race 6,NEC Birmingham,184,101.072,DarksilverDotGFrames,Canada,Five33Switchback,2022/01/02
TBS EU Spec Season 5 Race 1,Football Stadium,104,62.710,DarksilverDotGFrames,Canada,TBSSpec,2022/02/08
TBS EU Spec Series 10 FINAL --- ChrisM,Football Stadium,44,75.470,DarksilverDotGFrames,Canada,Five33Switchback,2022/02/26
TBS EU Spec Series 10 Losers Final,Football Stadium,74,57.864,DarksilverDotGFrames,Canada,TBSSpec,2022/02/15
TBS EU Spec Series 10 Race 1,Football Stadium,94,66.586,DarksilverDotGFrames,Canada,TBSSpec,2022/02/08
TBS EU Spec Series 10 Race 2,Empty Scene Day,52,64.951,DarksilverDotGFrames,Canada,Five33Switchback,2021/12/10
TBS EU Spec Series 10 Race 3,Night Factory 2,109,82.268,DarksilverDotGFrames,Canada,Five33Switchback,2021/12/19
TBS EU Spec Series 10 Race 4,Dynamic Weather,81,70.293,DarksilverDotGFrames,Canada,Five33Switchback,2022/01/13
TBS EU Spec Series 10 Race 5 _2,IndoorGoKart,94,66.575,DarksilverDotGFrames,Canada,Five33Switchback,2022/01/22
TBS EU Spec Series 10 Race 6,Large Carpark,999,999.999,DarksilverDotGFrames,NO_DATA
TBS EU Spec Series 10 Race 7,Football Stadium,63,73.089,DarksilverDotGFrames,Canada,TBSSpec,2022/02/07
TBS EU Spec Series 11 Final,Dynamic Weather,63,84.701,DarksilverDotGFrames,Canada,TBSSpec,2022/08/30
TBS EU Spec Series 11 Race 1,Dynamic Weather,999,999.999,DarksilverDotGFrames,NO_DATA
TBS EU Spec Series 11 Race 2,Countryside,73,73.662,DarksilverDotGFrames,Canada,TBSSpec,2022/07/18
TBS EU Spec Series 11 Race 3,Dynamic Weather,74,86.755,DarksilverDotGFrames,Canada,TBSSpec,2022/07/12
TBS EU Spec Series 11 Race 5,Dynamic Weather,55,76.731,DarksilverDotGFrames,Canada,TBSSpec,2022/10/27
TBS EU Spec Series 11 Race 5,NEC Birmingham,999,999.999,DarksilverDotGFrames,NO_DATA
TBS EU Spec Series 11 Race 6,Dynamic Weather,999,999.999,DarksilverDotGFrames,NO_DATA
TBS EU Spec Series 11 Race 7,Dynamic Weather,48,72.530,DarksilverDotGFrames,Canada,TBSSpec,2022/08/08
TBS EU Spec Series 12 Final,Dynamic Weather,32,98.520,DarksilverDotGFrames,Canada,TBSSpec,2023/02/26
TBS EU Spec Series 12 Losers Final,Dynamic Weather,57,93.647,DarksilverDotGFrames,Canada,TBSSpec,2023/02/27
TBS EU Spec Series 12 Race 1,Dynamic Weather,999,999.999,DarksilverDotGFrames,NO_DATA
TBS EU Spec Series 12 Race 2,NEC Birmingham,999,999.999,DarksilverDotGFrames,NO_DATA
TBS EU Spec Series 12 Race 3,Dynamic Weather,999,999.999,DarksilverDotGFrames,NO_DATA
TBS EU Spec Series 12 Race 4,Night Factory 2,999,999.999,DarksilverDotGFrames,NO_DATA
TBS EU Spec Series 12 Race 5,Dynamic Weather,999,999.999,DarksilverDotGFrames,NO_DATA
TBS EU Spec Series 12 Race 6,Dynamic Weather,999,999.999,DarksilverDotGFrames,NO_DATA
TBS EU Spec Series 12 Race 7,Dynamic Weather,999,999.999,DarksilverDotGFrames,NO_DATA
TBS EU Spec Series 13 Race 1,Dynamic Weather,45,74.905,DarksilverDotGFrames,Canada,TBSSpec,2023/05/01
