2023 MultiGP GQ-AyyyKayyy,Dynamic Weather,999,999.999,DesertRat,NO_DATA
2023 MultiGP GQ-BonerFPV,Dynamic Weather,105,28.223,DesertRat,UnitedStates,Ossa,2023/03/08
2023 MultiGP GQ-Fastodon,Dynamic Weather,86,38.929,DesertRat,UnitedStates,Ossa,2023/03/04
2023 MultiGP GQ-Hakko,Dynamic Weather,63,43.500,DesertRat,UnitedStates,Ossa,2023/03/01
2023 MultiGP GQ-Hyper,Dynamic Weather,121,45.852,DesertRat,UnitedStates,Ossa,2023/03/01
2023 MultiGp GQ-Leviathann,Dynamic Weather,141,36.545,DesertRat,UnitedStates,Ossa,2023/03/01
2023 MultiGP GQ-NMGrower,Dynamic Weather,108,44.104,DesertRat,UnitedStates,Ossa,2023/03/02
2023 MultiGP GQ-ROFL,Dynamic Weather,54,52.055,DesertRat,UnitedStates,Ossa,2023/03/02
CDRA 2023  Champs Hyper,Empty Scene Day,82,52.353,DesertRat,UnitedStates,Ossa,2023/03/27
DEP Open Series 3 Race 1,Football Stadium,999,999.999,DesertRat,NO_DATA
DEP Open Series 3 Race 2,Football Stadium,158,118.714,DesertRat,UnitedStates,Velocity,2021/02/19
DEP Open Series 3 Race 3,Karting Track,149,122.732,DesertRat,UnitedStates,Velocity,2021/02/19
DEP Open Series 3 Race 4,Football Stadium,999,999.999,DesertRat,NO_DATA
DEP Open Series 3 Race 5,Football Stadium,200,114.940,DesertRat,UnitedStates,Velocity,2021/03/11
DEP Open Series 3 Race 6,Football Stadium,192,158.121,DesertRat,UnitedStates,Velocity,2021/03/12
DEP Open Series 3 Race 7,Football Stadium,999,999.999,DesertRat,NO_DATA
DEP Open Series 5 Race 1,Football Stadium,196,86.257,DesertRat,UnitedStates,LethalConception,2021/10/25
DEP Open Series 5 Race 2,Football Stadium,147,100.169,DesertRat,UnitedStates,LethalConception,2021/10/29
DEP Open Series 5 Race 3,Football Stadium,999,999.999,DesertRat,NO_DATA
DEP Open Series 5 Race 4,Football Stadium,999,999.999,DesertRat,NO_DATA
DEP Open Series 5 Race 5,Football Stadium,999,999.999,DesertRat,NO_DATA
DEP Open Series 5 Race 6,Football Stadium,182,102.346,DesertRat,UnitedStates,LethalConception,2021/12/23
DEP Open Series 5 Race 7,Football Stadium,176,144.896,DesertRat,UnitedStates,LethalConception,2021/12/23
IO 2023 Main Stage FAI Yawesome,Empty Scene Day,999,999.999,DesertRat,NO_DATA
MGP GQ 2023 remix,Dynamic Weather,999,999.999,DesertRat,NO_DATA
MGP Ice Storm 2023 by BonerFPV,Empty Scene Day,999,999.999,DesertRat,NO_DATA
MultiGP 2023 Mayhem-NMGrower,Empty Scene Day,104,74.815,DesertRat,UnitedStates,Ossa,2023/04/13
VRL S9 FINALS,Dynamic Weather,97,125.090,DesertRat,UnitedStates,Ossa,2023/04/05
VRL S9 T1,Dynamic Weather,140,120.096,DesertRat,UnitedStates,Ossa,2023/01/28
VRL S9 T2,Dynamic Weather,177,114.063,DesertRat,UnitedStates,Ossa,2023/01/29
VRL S9 T3,Dynamic Weather,136,91.110,DesertRat,UnitedStates,Ossa,2023/01/31
VRL S9 T4,Dynamic Weather,108,106.810,DesertRat,UnitedStates,Ossa,2023/02/17
VRL S9 T5,Dynamic Weather,93,111.851,DesertRat,UnitedStates,Ossa,2023/02/24
VRL S9 T6,Dynamic Weather,999,999.999,DesertRat,NO_DATA
VRL S9 T7,Dynamic Weather,999,999.999,DesertRat,NO_DATA
VRL S9 T8,Dynamic Weather,999,999.999,DesertRat,NO_DATA
VRL Season 8 Championships,Dynamic Weather,127,133.155,DesertRat,UnitedStates,LethalConception,2022/07/20
VRL Season 8 Track 1,Office Complex,94,200.759,DesertRat,UnitedStates,LethalConception,2021/10/25
VRL Season 8 Track 2,Drift Track,106,133.565,DesertRat,UnitedStates,LethalConception,2021/11/22
VRL Season 8 Track 3,Night Factory 2,196,218.137,DesertRat,UnitedStates,LethalConception,2021/11/26
VRL Season 8 Track 4,DynamicPoly,999,999.999,DesertRat,NO_DATA
VRL Season 8 Track 5,Dynamic Weather,177,261.722,DesertRat,UnitedStates,LethalConception,2021/12/23
VRL Season 8 Track 6,Night Factory 2,99,153.918,DesertRat,UnitedStates,LethalConception,2022/07/18
VRL SEASON 8 TRACK 7,Dynamic Weather,999,999.999,DesertRat,NO_DATA
VRL SEASON 8 TRYOUTS,RedValley,999,999.999,DesertRat,NO_DATA
VRL Season 9 Tryouts,Dynamic Weather,999,999.999,DesertRat,NO_DATA
