DEP Open Pop-Up 2,Dynamic Weather,44,69.313,ETERNAL☆GOODVIBES,UnitedKingdom,Five33Switchback,2021/07/12
DEP Open Series 2 Race 1,Dynamic Weather,101,60.935,ETERNAL☆GOODVIBES,UnitedKingdom,BMSJS-1,2020/12/08
DEP Open Series 2 Race 7,Football Stadium,105,109.621,ETERNAL☆GOODVIBES,UnitedKingdom,BMSJS-1,2021/03/22
DEP Open Series 3 Race 1,Football Stadium,154,67.328,ETERNAL☆GOODVIBES,UnitedKingdom,BMSJS-1,2021/03/01
DEP Open Series 3 Race 2,Football Stadium,100,94.762,ETERNAL☆GOODVIBES,UnitedKingdom,BMSJS-1,2021/03/13
DEP Open Series 3 Race 3,Karting Track,72,92.662,ETERNAL☆GOODVIBES,UnitedKingdom,BMSJS-1,2021/02/19
DEP Open Series 3 Race 4,Football Stadium,131,75.145,ETERNAL☆GOODVIBES,UnitedKingdom,BMSJS-1,2021/03/01
DEP Open Series 3 Race 5,Football Stadium,999,999.999,ETERNAL☆GOODVIBES,NO_DATA
DEP Open Series 3 Race 6,Football Stadium,82,106.279,ETERNAL☆GOODVIBES,UnitedKingdom,BMSJS-1,2021/03/12
DEP Open Series 3 Race 7,Football Stadium,120,109.354,ETERNAL☆GOODVIBES,UnitedKingdom,Five33Switchback,2021/03/23
DEP Open Series 4 Race 1,Football Stadium,99,96.304,ETERNAL☆GOODVIBES,UnitedKingdom,BMSJS-1,2021/04/05
DEP Open Series 4 Race 2,Football Stadium,95,112.602,ETERNAL☆GOODVIBES,UnitedKingdom,Solleva,2021/04/10
DEP Open Series 4 Race 3,Football Stadium,85,76.385,ETERNAL☆GOODVIBES,UnitedKingdom,BMSJS-1,2021/04/27
DEP Open Series 4 Race 4,Football Stadium,79,94.512,ETERNAL☆GOODVIBES,UnitedKingdom,BMSJS-1,2021/04/30
DEP Open Series 4 Race 5,Football Stadium,103,73.229,ETERNAL☆GOODVIBES,UnitedKingdom,BMSJS-1,2021/05/05
DEP Open Series 4 Race 6,Football Stadium,95,78.344,ETERNAL☆GOODVIBES,UnitedKingdom,BMSJS-1,2021/05/19
DEP Open Series 4 Race 7,Football Stadium,183,99.859,ETERNAL☆GOODVIBES,UnitedKingdom,Solleva,2021/06/09
DEP Open Series 5 Race 1,Football Stadium,60,64.838,ETERNAL☆GOODVIBES,UnitedKingdom,PantherMM,2021/10/27
