2022 MultiGP IO Freedom Spec,Dynamic Weather,92,143.265,EkoTechFPV,Singapore,Five33Switchback,2022/05/31
2022 MultiGP IO Intermediate,Dynamic Weather,999,999.999,EkoTechFPV,NO_DATA
2022 MultiGP IO Team,Dynamic Weather,999,999.999,EkoTechFPV,NO_DATA
2022 MultiGP IO World Cup,Dynamic Weather,118,104.766,EkoTechFPV,Singapore,Five33Switchback,2022/05/31
DEP Open Series 5 Race 1,Football Stadium,166,82.788,EkoTechFPV,Singapore,Five33Switchback,2022/02/14
DEP Open Series 5 Race 2,Football Stadium,198,123.243,EkoTechFPV,Singapore,Five33Switchback,2022/02/06
DEP Open Series 5 Race 3,Football Stadium,999,999.999,EkoTechFPV,NO_DATA
DEP Open Series 5 Race 4,Football Stadium,111,104.053,EkoTechFPV,Singapore,Five33Switchback,2021/12/02
DEP Open Series 5 Race 5,Football Stadium,999,999.999,EkoTechFPV,NO_DATA
DEP Open Series 5 Race 6,Football Stadium,999,999.999,EkoTechFPV,NO_DATA
DEP Open Series 5 Race 7,Football Stadium,136,135.108,EkoTechFPV,Singapore,Five33Switchback,2022/01/30
DEP Open Series 6 Race 1,Football Stadium,93,87.577,EkoTechFPV,Singapore,Mode2Ghost,2022/03/04
DEP Open Series 6 Race 2,Football Stadium,108,145.291,EkoTechFPV,Singapore,Five33Switchback,2022/03/22
DF5,Football Stadium,999,999.999,EkoTechFPV,NO_DATA
Mayhem 22 by SFPV,Empty Scene Day,123,84.248,EkoTechFPV,Singapore,Five33Switchback,2022/03/30
MGP Ice Rink Race 2022,Empty Scene Day,179,126.420,EkoTechFPV,Singapore,Five33Switchback,2022/05/04
MultiGP 2022 Global Qualifier,Dynamic Weather,999,999.999,EkoTechFPV,NO_DATA
Quad Rivals 2022 Race 1 - Season Opener,Empty Scene Day,66,82.210,EkoTechFPV,Singapore,Five33Switchback,2022/04/01
Quad Rivals 2022 Race 2 - Speeding Into Spring,Empty Scene Day,93,66.591,EkoTechFPV,Singapore,Five33Switchback,2022/04/29
Quad Rivals 2022 Race 3 - Getting Hot,Empty Scene Day,85,138.030,EkoTechFPV,Singapore,Five33Switchback,2022/05/28
Quad Rivals 2022 Race 4 - Summer is Here,Countryside,999,999.999,EkoTechFPV,NO_DATA
ReddingFPVs DroneD,Dynamic Weather,38,137.160,EkoTechFPV,Singapore,Five33Switchback,2022/05/23
TBS EU Spec Series 11 Race 1,Dynamic Weather,88,83.247,EkoTechFPV,Singapore,Five33Switchback,2022/05/31
TBS EU Spec Series 11 Race 2,Countryside,87,92.713,EkoTechFPV,Singapore,Five33Switchback,2022/06/16
TBS EU Spec Series 11 Race 3,Dynamic Weather,999,999.999,EkoTechFPV,NO_DATA
TBS EU Spec Series 11 Race 5,Dynamic Weather,75,100.101,EkoTechFPV,Singapore,Five33Switchback,2022/07/01
TDRF 2022 Outdoor NK track 1,Empty Scene Day,45,86.816,EkoTechFPV,Singapore,Five33Switchback,2022/06/24
TDRF Dutch nationals indoor race 1,Empty Scene Day,81,88.655,EkoTechFPV,Singapore,Five33Switchback,2022/02/20
TDRF Dutch nationals indoor race 2,Empty Scene Day,33,87.799,EkoTechFPV,Singapore,Five33Switchback,2022/02/19
TDRF Dutch nationals indoor race 3,Empty Scene Day,999,999.999,EkoTechFPV,NO_DATA
TDRF Dutch nationals indoor race 4,Empty Scene Day,999,999.999,EkoTechFPV,NO_DATA
Week 10 TT - MCKPractice2,Football Stadium,119,67.852,EkoTechFPV,Singapore,Five33Switchback,2022/01/10
Week 12 TT - GQ22 by Chris M,Football Stadium,147,42.993,EkoTechFPV,Singapore,CarbiXZero,2022/02/07
Week 13 TT - VRL Team Championship Refresh - by lephro,Empty Scene Day,999,999.999,EkoTechFPV,NO_DATA
Week 14 TT - BFPV S7R6 by Batman FPV,Football Stadium,74,97.541,EkoTechFPV,Singapore,Five33Switchback,2022/03/06
Week 15 TT - Reddings Sunsation by BonerFPV,Dynamic Weather,136,146.417,EkoTechFPV,Singapore,Five33Switchback,2022/03/25
Week 16 TT - CM18 by Chris M,Football Stadium,161,53.544,EkoTechFPV,Singapore,Five33Switchback,2022/04/26
Week 18 TT - FPVQE Winter Series Championship,Football Stadium,109,107.804,EkoTechFPV,Singapore,Five33Switchback,2022/05/21
Week 1 TT - Levice by TheFPVdoctor,Empty Scene Day,999,999.999,EkoTechFPV,NO_DATA
Week 20 TT - BDS by ChrisM,Football Stadium,127,53.153,EkoTechFPV,Singapore,Five33Switchback,2022/06/05
Week 21 TT Up Down Up by SFPV,Dynamic Weather,999,999.999,EkoTechFPV,NO_DATA
Week 23 TT - Sundial Bridge by Boner,River2,999,999.999,EkoTechFPV,NO_DATA
Week 2 TT - Ruinous by NM Grower,Dynamic Weather,999,999.999,EkoTechFPV,NO_DATA
Week 5 TT - Cuernavaca LightPath by MorshaFPV,Empty Scene Night,999,999.999,EkoTechFPV,NO_DATA
Week 8 TT - DF1 by DragonFlyte,Dynamic Weather,999,999.999,EkoTechFPV,NO_DATA
Week 9 TT - CM17 by Chris M,Football Stadium,194,80.282,EkoTechFPV,Singapore,Five33Switchback,2022/05/31
