TBS EU Spec Series 10 FINAL --- ChrisM,Football Stadium,121,107.421,FEATHERSFPV,UnitedKingdom,SniperX,2022/02/20
TBS EU Spec Series 10 Losers Final,Football Stadium,122,73.951,FEATHERSFPV,UnitedKingdom,SniperX,2022/02/14
TBS EU Spec Series 10 Race 1,Football Stadium,999,999.999,FEATHERSFPV,NO_DATA
TBS EU Spec Series 10 Race 2,Empty Scene Day,163,95.419,FEATHERSFPV,UnitedKingdom,Five33Switchback,2021/12/13
TBS EU Spec Series 10 Race 3,Night Factory 2,999,999.999,FEATHERSFPV,NO_DATA
TBS EU Spec Series 10 Race 4,Dynamic Weather,163,93.669,FEATHERSFPV,UnitedKingdom,Five33Switchback,2022/01/15
TBS EU Spec Series 10 Race 5 _2,IndoorGoKart,158,99.776,FEATHERSFPV,UnitedKingdom,SniperX,2022/01/27
TBS EU Spec Series 10 Race 6,Large Carpark,99,67.188,FEATHERSFPV,UnitedKingdom,TwigXL3,2022/01/31
TBS EU Spec Series 10 Race 7,Football Stadium,174,121.161,FEATHERSFPV,UnitedKingdom,SniperX,2022/02/05
TBS EU Spec Series 8 Final,Dynamic Weather,164,122.840,FEATHERSFPV,UnitedKingdom,TBSSpec,2021/07/06
TBS EU Spec Series 8 Losers Final,Dynamic Weather,137,78.905,FEATHERSFPV,UnitedKingdom,TBSSpec,2021/06/25
TBS EU Spec Series 8 Race 1,Dynamic Weather,195,108.024,FEATHERSFPV,UnitedKingdom,TBSSpec,2021/06/26
TBS EU Spec Series 8 Race 2,Empty Scene Night,999,999.999,FEATHERSFPV,NO_DATA
TBS EU Spec Series 8 Race 3,Football Stadium,999,999.999,FEATHERSFPV,NO_DATA
TBS EU Spec Series 8 Race 4,Empty Scene Day,999,999.999,FEATHERSFPV,NO_DATA
TBS EU Spec Series 8 Race 5,Future Hangar Empty,171,89.775,FEATHERSFPV,UnitedKingdom,Yakuza,2021/05/21
TBS EU Spec Series 8 Race 6,Football Stadium,999,999.999,FEATHERSFPV,NO_DATA
TBS EU Spec Series 8 Race 7,Empty Scene Day,200,101.002,FEATHERSFPV,UnitedKingdom,TBSSpec,2021/06/26
VRL Season 3 Track 1,Empty Scene Day,141,105.681,FEATHERSFPV,UnitedKingdom,Yakuza,2021/04/12
VRL Season 3 Track 2,Empty Scene Day,127,103.038,FEATHERSFPV,UnitedKingdom,Yakuza,2021/04/12
VRL Season 3 Track 3,Empty Scene Day,55,139.264,FEATHERSFPV,UnitedKingdom,TBSSpec,2020/10/03
VRL Season 3 Track 4,Empty Scene Day,127,260.087,FEATHERSFPV,UnitedKingdom,TBSSpec,2020/10/03
VRL Season 3 Track 5,Empty Scene Day,999,999.999,FEATHERSFPV,NO_DATA
VRL Season 3 Track 6,Empty Scene Day,999,999.999,FEATHERSFPV,NO_DATA
