2020 Canadian MultiGP Series,Football Stadium,100,57.660,Gafannen,Slovakia,Five33Switchback,2021/07/12
2020 MultiGP Champs presented by RDQ,Football Stadium,120,73.033,Gafannen,Slovakia,Five33Switchback,2021/07/17
2021 MultiGP Champs Track 1,Empty Scene Day,85,100.437,Gafannen,Slovakia,Five33Switchback,2021/10/23
2021 MultiGP Champs Track 2,Empty Scene Day,32,52.429,Gafannen,Slovakia,Five33Switchback,2022/04/11
DDR Race Series - Track 1 by Sniper X dec,Empty Scene Day,47,57.625,Gafannen,Slovakia,Five33Switchback,2022/04/02
DDR Race Series - Track 2 by Toxic fpv jan,Empty Scene Day,40,56.578,Gafannen,Slovakia,Five33Switchback,2022/04/07
DDR Race Series - Track 3 by Straydog fpv feb,Empty Scene Day,76,80.810,Gafannen,Slovakia,Five33Switchback,2022/02/10
DDR Race Series - Track 4 by Boner fpv march,Empty Scene Day,46,74.203,Gafannen,Slovakia,Five33Switchback,2022/04/08
DDR Race Series - Track 5 by NelisFPV fpv april,Empty Scene Day,21,47.800,Gafannen,Slovakia,Five33Switchback,2022/04/02
DEP Open Pop-Up 2,Dynamic Weather,105,85.373,Gafannen,Slovakia,Five33Switchback,2021/07/03
DEP Open Series 2 Race 1,Dynamic Weather,11,42.651,Gafannen,Slovakia,Five33Switchback,2022/05/18
DEP Open Series 2 Race 7,Football Stadium,12,79.089,Gafannen,Slovakia,Five33Switchback,2022/02/23
DEP Open Series 3 Race 1,Football Stadium,22,49.633,Gafannen,Slovakia,Five33Switchback,2022/02/23
DEP Open Series 3 Race 2,Football Stadium,23,70.797,Gafannen,Slovakia,Five33Switchback,2022/05/01
DEP Open Series 3 Race 3,Karting Track,107,105.488,Gafannen,Slovakia,Five33Switchback,2021/05/01
DEP Open Series 3 Race 4,Football Stadium,39,58.104,Gafannen,Slovakia,Five33Switchback,2022/03/06
DEP Open Series 3 Race 5,Football Stadium,29,72.048,Gafannen,Slovakia,Five33Switchback,2021/12/14
DEP Open Series 3 Race 6,Football Stadium,41,91.538,Gafannen,Slovakia,Five33Switchback,2021/12/05
DEP Open Series 3 Race 7,Football Stadium,51,85.017,Gafannen,Slovakia,Five33Switchback,2021/12/14
DEP Open Series 4 Race 1,Football Stadium,69,87.192,Gafannen,Slovakia,Five33Switchback,2021/10/18
DEP Open Series 4 Race 2,Football Stadium,13,84.282,Gafannen,Slovakia,Five33Switchback,2022/02/23
DEP Open Series 4 Race 3,Football Stadium,54,68.735,Gafannen,Slovakia,Five33Switchback,2021/06/19
DEP Open Series 4 Race 4,Football Stadium,33,79.251,Gafannen,Slovakia,Five33Switchback,2021/10/19
DEP Open Series 4 Race 5,Football Stadium,11,56.297,Gafannen,Slovakia,Five33Switchback,2022/04/27
DEP Open Series 4 Race 6,Football Stadium,45,66.976,Gafannen,Slovakia,Five33Switchback,2021/08/01
DEP Open Series 4 Race 7,Football Stadium,38,64.399,Gafannen,Slovakia,Five33Switchback,2021/09/13
DEP Open Series 5 Race 1,Football Stadium,35,58.284,Gafannen,Slovakia,Five33Switchback,2021/11/22
DEP Open Series 5 Race 2,Football Stadium,42,72.544,Gafannen,Slovakia,Five33Switchback,2021/10/27
DEP Open Series 5 Race 3,Football Stadium,22,69.018,Gafannen,Slovakia,Five33Switchback,2022/01/06
DEP Open Series 5 Race 4,Football Stadium,30,75.534,Gafannen,Slovakia,Five33Switchback,2021/11/26
DEP Open Series 5 Race 5,Football Stadium,20,75.672,Gafannen,Slovakia,Five33Switchback,2022/01/14
DEP Open Series 5 Race 6,Football Stadium,31,65.679,Gafannen,Slovakia,Five33Switchback,2021/12/15
DEP Open Series 5 Race 7,Football Stadium,32,92.978,Gafannen,Slovakia,Five33Switchback,2021/12/22
DEP Open Series 6 Race 1,Football Stadium,999,999.999,Gafannen,NO_DATA
DEP Open Series 6 Race 2,Football Stadium,40,99.190,Gafannen,Slovakia,Five33Switchback,2022/03/09
DEP Spec Series 1 Race 5,Football Stadium,20,83.466,Gafannen,Slovakia,Five33Switchback,2022/04/01
DF5,Football Stadium,999,999.999,Gafannen,NO_DATA
