
TBS EU Spec Series 8 Final,Dynamic Weather,122,104.446,GarnChef,Germany,Five33Switchback,2021/07/04
TBS EU Spec Series 8 Losers Final,Dynamic Weather,162,86.933,GarnChef,Germany,Five33Switchback,2021/06/30
TBS EU Spec Series 8 Race 1,Dynamic Weather,200,110.477,GarnChef,Germany,Five33Switchback,2021/03/20
TBS EU Spec Series 8 Race 2,Empty Scene Night,122,98.818,GarnChef,Germany,Five33Switchback,2021/04/02
TBS EU Spec Series 8 Race 3,Football Stadium,155,77.206,GarnChef,Germany,Five33Switchback,2021/05/28
TBS EU Spec Series 8 Race 4,Empty Scene Day,999,999.999,GarnChef,NO_DATA
TBS EU Spec Series 8 Race 5,Future Hangar Empty,133,76.694,GarnChef,Germany,Five33Switchback,2021/05/29
TBS EU Spec Series 8 Race 6,Football Stadium,999,999.999,GarnChef,NO_DATA
TBS EU Spec Series 8 Race 7,Empty Scene Day,999,999.999,GarnChef,NO_DATA
TBS EU Spec Series 9 Final ,Dynamic Weather,150,81.682,GarnChef,Germany,TBSOblivion,2021/11/14
TBS EU Spec Series 9 Final,Dynamic Weather,150,81.682,GarnChef,Germany,TBSOblivion,2021/11/14
TBS EU Spec Series 9 Losers Final,Dynamic Weather,140,80.414,GarnChef,Germany,TBSOblivion,2021/11/14
TBS EU Spec Series 9 Race 1,Football Stadium,999,999.999,GarnChef,NO_DATA
TBS EU Spec Series 9 Race 2,Dynamic Weather,999,999.999,GarnChef,NO_DATA
TBS EU Spec Series 9 Race 3,Empty Scene Day,195,94.156,GarnChef,Germany,TBSOblivion,2021/10/06
TBS EU Spec Series 9 Race 4,Football Stadium,999,999.999,GarnChef,NO_DATA
TBS EU Spec Series 9 Race 5,Empty Scene Day,999,999.999,GarnChef,NO_DATA
TBS EU Spec Series 9 Race 6,Empty Scene Day,126,93.210,GarnChef,Germany,TBSOblivion,2021/10/27
TBS EU Spec Series 9 Race 7,NEC Birmingham,138,97.366,GarnChef,Germany,TBSOblivion,2021/12/07
