2020 Canadian MultiGP Series,Football Stadium,999,999.999,Goddess_Randi,NO_DATA
2020 MultiGP Champs presented by RDQ,Football Stadium,999,999.999,Goddess_Randi,NO_DATA
2021 MultiGP Champs Track 1,Empty Scene Day,999,999.999,Goddess_Randi,NO_DATA
2021 MultiGP Champs Track 2,Empty Scene Day,999,999.999,Goddess_Randi,NO_DATA
MGP2018IOIntermediate,Empty Scene Day,999,999.999,Goddess_Randi,NO_DATA
MGP2018IORookie,Empty Scene Day,999,999.999,Goddess_Randi,NO_DATA
MGP2018IOTeam,Empty Scene Day,999,999.999,Goddess_Randi,NO_DATA
MGP2018IOWorldCup,Empty Scene Day,999,999.999,Goddess_Randi,NO_DATA
MultiGP 2016 RF,Football Stadium,63,60.220,Goddess_Randi,UnitedStates,Rooster,2021/01/19
MultiGP 2017 RF,Football Stadium,91,68.182,Goddess_Randi,UnitedStates,Rooster,2021/01/19
MultiGP 2018 RF,Empty Scene Day,104,131.353,Goddess_Randi,UnitedStates,Rooster,2021/01/20
MultiGP 2018 RQ,Football Stadium,135,70.707,Goddess_Randi,UnitedStates,Rooster,2021/01/20
MultiGP_2019_Qualifier_Large,Dynamic Weather,132,62.179,Goddess_Randi,UnitedStates,Rooster,2021/02/23
MultiGP_2019_Qualifier_Spec,Empty Scene Day,114,67.345,Goddess_Randi,UnitedStates,Rooster,2021/02/23
MultiGP 2019 Sport Championships,Football Stadium,999,999.999,Goddess_Randi,NO_DATA
MultiGP 2020 Global Qualifier,Empty Scene Day,999,999.999,Goddess_Randi,NO_DATA
MultiGP 2021 Global Qualifier,Football Stadium,999,999.999,Goddess_Randi,NO_DATA
MultiGP Bessel Run,Football Stadium,50,26.363,Goddess_Randi,UnitedStates,Rooster,2021/01/09
MultiGP-Championships-2019,Empty Scene Day,179,108.227,Goddess_Randi,UnitedStates,Rooster,2021/02/23
MultiGP High Voltage,Football Stadium,68,33.996,Goddess_Randi,UnitedStates,Rooster,2021/01/09
MultiGP IO 2019 Team,Empty Scene Day,155,100.006,Goddess_Randi,UnitedStates,Rooster,2021/02/23
MultiGP IO 2019 World Cup,Empty Scene Day,165,106.362,Goddess_Randi,UnitedStates,Rooster,2021/02/23
MultiGPIOSpec2018,Empty Scene Day,999,999.999,Goddess_Randi,NO_DATA
MultiGP Round 2 FNL,Sports Hall,55,52.995,Goddess_Randi,UnitedStates,Rooster,2021/02/23
MultiGP Tsunami,Football Stadium,79,29.242,Goddess_Randi,UnitedStates,Rooster,2021/02/23
MultiGP UTT 1,Football Stadium,75,35.979,Goddess_Randi,UnitedStates,Rooster,2021/02/23
MultiGP UTT 5,Football Stadium,18,21.820,Goddess_Randi,UnitedStates,Rooster,2021/02/23
MultiGP UTT 6,Football Stadium,61,40.678,Goddess_Randi,UnitedStates,Rooster,2021/02/23
