DEP Open Series 5 Race 1,Football Stadium,75,68.051,GoldenFpv,Israel,Five33Switchback,2021/12/19
DEP Open Series 5 Race 2,Football Stadium,91,87.617,GoldenFpv,Israel,BMSJS-1,2021/10/31
DEP Open Series 5 Race 3,Football Stadium,58,84.521,GoldenFpv,Israel,BMSJS-1,2021/11/27
DEP Open Series 5 Race 4,Football Stadium,72,93.060,GoldenFpv,Israel,BMSJS-1,2021/11/27
DEP Open Series 5 Race 5,Football Stadium,78,97.890,GoldenFpv,Israel,BMSJS-1,2021/12/08
DEP Open Series 5 Race 6,Football Stadium,999,999.999,GoldenFpv,NO_DATA
DEP Open Series 5 Race 7,Football Stadium,999,999.999,GoldenFpv,NO_DATA
EU Spec Season 4 Race 1,Football Stadium,101,92.372,GoldenFpv,Israel,Five33Switchback,2021/12/16
Quad Rivals 2021 Race 10 - 2021 is Dead,Empty Scene Day,54,101.810,GoldenFpv,Israel,Five33Switchback,2022/01/22
Quad Rivals 2021 Race 1 - Season Warmup,Football Stadium,121,65.856,GoldenFpv,Israel,BMSJS-1,2021/09/16
Quad Rivals 2021 Race 2 - Season Opener,Empty Scene Day,74,76.511,GoldenFpv,Israel,BMSJS-1,2021/10/26
Quad Rivals 2021 Race 3 - Devils Ridge,Empty Scene Day,41,75.886,GoldenFpv,Israel,BMSJS-1,2021/10/25
Quad Rivals 2021 Race 4 - Freedom Spec,Empty Scene Day,112,90.232,GoldenFpv,Israel,BMSJS-1,2021/10/26
Quad Rivals 2021 Race 5 - Bring the Heat,Empty Scene Day,56,79.768,GoldenFpv,Israel,BMSJS-1,2021/10/23
Quad Rivals 2021 Race 6 - Temperature Warning,Empty Scene Day,136,82.696,GoldenFpv,Israel,BMSJS-1,2021/10/21
Quad Rivals 2021 Race 7 - Around the Trees in 20 Seconds,Empty Scene Day,33,87.135,GoldenFpv,Israel,BMSJS-1,2021/11/14
Quad Rivals 2021 Race 8 - Rivalicious,Empty Scene Day,999,999.999,GoldenFpv,NO_DATA
Quad Rivals 2021 Race 9 - Holiday Hootenanny,Empty Scene Day,61,86.980,GoldenFpv,Israel,Five33Switchback,2022/01/02
RCTech.de EU Spec Series 2 Final,Empty Scene Day,999,999.999,GoldenFpv,NO_DATA
RCTech.de EU Spec Series 2 Losers FInal,Empty Scene Day,999,999.999,GoldenFpv,NO_DATA
RCTech.de EU Spec Series 2 Race 1,Football Stadium,80,62.944,GoldenFpv,Israel,BMSJS-1,2021/10/04
RCTech.de EU Spec Series 2 Race 3,Empty Scene Day,999,999.999,GoldenFpv,NO_DATA
RCTech.de EU Spec Series 2 Race 4,Empty Scene Day,999,999.999,GoldenFpv,NO_DATA
RCTech.de EU Spec Series 2 Race 5,IndoorGoKart,999,999.999,GoldenFpv,NO_DATA
RCTech.de EU Spec Series 2 Race 6,Empty Scene Day,999,999.999,GoldenFpv,NO_DATA
RCTech_de EU Spec Series 3 Final,Empty Scene Day,999,999.999,GoldenFpv,NO_DATA
RCTech.de EU Spec Series 3 Race 1,NEC Birmingham,999,999.999,GoldenFpv,NO_DATA
RCTech.de EU Spec Series 3 Race 2,Empty Scene Day,999,999.999,GoldenFpv,NO_DATA
RCTech.de EU Spec Series 3 Race 3,Empty Scene Day,999,999.999,GoldenFpv,NO_DATA
RCTech.de EU Spec Series 3 Race 5,Empty Scene Day,999,999.999,GoldenFpv,NO_DATA
RCTech.de EU Spec Series 3 Race 6,NEC Birmingham,999,999.999,GoldenFpv,NO_DATA
TBS EU Spec Season 5 Race 1,Football Stadium,192,70.933,GoldenFpv,Israel,Five33Switchback,2022/01/10
TBS EU Spec Series 10 FINAL --- ChrisM,Football Stadium,64,81.290,GoldenFpv,Israel,Five33Switchback,2022/02/26
TBS EU Spec Series 10 Losers Final,Football Stadium,97,64.877,GoldenFpv,Israel,Five33Switchback,2022/02/17
TBS EU Spec Series 10 Race 1,Football Stadium,122,77.201,GoldenFpv,Israel,Five33Switchback,2022/01/20
TBS EU Spec Series 10 Race 2,Empty Scene Day,92,75.114,GoldenFpv,Israel,Five33Switchback,2022/01/19
TBS EU Spec Series 10 Race 3,Night Factory 2,40,69.572,GoldenFpv,Israel,Five33Switchback,2022/01/27
TBS EU Spec Series 10 Race 4,Dynamic Weather,45,67.325,GoldenFpv,Israel,Five33Switchback,2022/01/20
TBS EU Spec Series 10 Race 5 _2,IndoorGoKart,999,999.999,GoldenFpv,NO_DATA
TBS EU Spec Series 10 Race 6,Large Carpark,999,999.999,GoldenFpv,NO_DATA
TBS EU Spec Series 10 Race 7,Football Stadium,36,69.977,GoldenFpv,Israel,Five33Switchback,2022/04/03
TBS EU Spec Series 4 FINAL,Dynamic Weather,68,88.116,GoldenFpv,Israel,Five33Switchback,2022/01/03
TBS EU Spec Series 4 Race 2,Empty Scene Day,118,73.758,GoldenFpv,Israel,Five33Switchback,2022/01/11
TBS EU Spec Series 4 Race 3,IndoorGoKart,56,107.735,GoldenFpv,Israel,Five33Switchback,2021/12/26
TBS EU Spec Series 4 Race 4,Empty Scene Day,117,93.075,GoldenFpv,Israel,Five33Switchback,2021/12/24
TBS EU Spec Series 4 Race 5,Dynamic Weather,87,95.293,GoldenFpv,Israel,Five33Switchback,2021/12/23
TBS EU Spec Series 4 Race 7,Football Stadium,172,86.465,GoldenFpv,Israel,BMSJS-1,2021/10/05
TBS EU Spec Series 5 FINAL,Dynamic Weather,124,100.283,GoldenFpv,Israel,Five33Switchback,2021/12/26
TBS EU Spec Series 5 Losers Final,Dynamic Weather,115,94.583,GoldenFpv,Israel,Five33Switchback,2022/02/27
TBS EU Spec Series 5 Race 3,Dynamic Weather,194,105.093,GoldenFpv,Israel,Five33Switchback,2022/01/22
TBS EU Spec Series 5 Race 4,Football Stadium,999,999.999,GoldenFpv,NO_DATA
TBS EU Spec Series 5 Race 5,NEC Birmingham,91,80.877,GoldenFpv,Israel,Five33Switchback,2022/01/05
TBS EU Spec Series 5 Race 6,Dynamic Weather,153,87.895,GoldenFpv,Israel,Five33Switchback,2021/12/26
TBS EU Spec Series 5 Race 7,IndoorGoKart,999,999.999,GoldenFpv,NO_DATA
TBS EU Spec Series 6 Final,Empty Scene Day,111,90.630,GoldenFpv,Israel,Five33Switchback,2022/01/05
TBS EU Spec Series 6 Losers Final,Football Stadium,999,999.999,GoldenFpv,NO_DATA
TBS EU Spec Series 6 Race 1,Future Hangar Empty,999,999.999,GoldenFpv,NO_DATA
TBS EU Spec Series 6 Race 2,Empty Scene Day,125,77.323,GoldenFpv,Israel,Five33Switchback,2022/01/11
TBS EU Spec Series 6 Race 4,NEC Birmingham,124,90.367,GoldenFpv,Israel,Five33Switchback,2022/02/11
TBS EU Spec Series 6 Race 5,Dynamic Weather,72,88.639,GoldenFpv,Israel,Five33Switchback,2022/03/20
TBS EU Spec Series 6 Race 6,Empty Scene Day,61,78.759,GoldenFpv,Israel,Five33Switchback,2022/01/18
TBS EU Spec Series 6 Race 7,Empty Scene Day,135,63.237,GoldenFpv,Israel,Five33Switchback,2022/03/21
TBS EU Spec Series 7 Final,Empty Scene Day,139,85.757,GoldenFpv,Israel,Five33Switchback,2022/01/28
TBS EU Spec Series 7 Race 1,Football Stadium,199,89.015,GoldenFpv,Israel,BMSJS-1,2021/09/19
TBS EU Spec Series 7 Race 2,Empty Scene Day,999,999.999,GoldenFpv,NO_DATA
TBS EU Spec Series 7 Race 3,Empty Scene Day,999,999.999,GoldenFpv,NO_DATA
TBS EU Spec Series 7 Race 4,Empty Scene Day,158,81.054,GoldenFpv,Israel,Five33Switchback,2022/02/27
TBS EU Spec Series 7 Race 5,IndoorGoKart,999,999.999,GoldenFpv,NO_DATA
TBS EU Spec Series 7 Race 6,Future Hangar Empty,117,80.702,GoldenFpv,Israel,Five33Switchback,2022/02/12
TBS EU Spec Series 7 Race 7,Empty Scene Day,999,999.999,GoldenFpv,NO_DATA
TBS EU Spec Series 8 Final,Dynamic Weather,148,108.760,GoldenFpv,Israel,Five33Switchback,2022/02/12
TBS EU Spec Series 8 Losers Final,Dynamic Weather,999,999.999,GoldenFpv,NO_DATA
TBS EU Spec Series 8 Race 1,Dynamic Weather,999,999.999,GoldenFpv,NO_DATA
TBS EU Spec Series 8 Race 2,Empty Scene Night,76,82.424,GoldenFpv,Israel,Five33Switchback,2022/04/08
TBS EU Spec Series 8 Race 3,Football Stadium,141,74.564,GoldenFpv,Israel,BMSJS-1,2021/09/19
TBS EU Spec Series 8 Race 4,Empty Scene Day,999,999.999,GoldenFpv,NO_DATA
TBS EU Spec Series 8 Race 5,Future Hangar Empty,999,999.999,GoldenFpv,NO_DATA
TBS EU Spec Series 8 Race 6,Football Stadium,143,78.726,GoldenFpv,Israel,BMSJS-1,2021/09/18
TBS EU Spec Series 8 Race 7,Empty Scene Day,137,87.469,GoldenFpv,Israel,Five33Switchback,2022/04/08
TBS EU Spec Series 9 Final,Dynamic Weather,120,75.489,GoldenFpv,Israel,BMSJS-1,2021/11/23
TBS EU Spec Series 9 Losers Final,Dynamic Weather,999,999.999,GoldenFpv,NO_DATA
TBS EU Spec Series 9 Race 1,Football Stadium,999,999.999,GoldenFpv,NO_DATA
TBS EU Spec Series 9 Race 2,Dynamic Weather,999,999.999,GoldenFpv,NO_DATA
TBS EU Spec Series 9 Race 3,Empty Scene Day,123,73.180,GoldenFpv,Israel,Five33Switchback,2022/01/14
