DEP Open Pop-Up 2,Dynamic Weather,198,147.201,GrOiLL,Germany,Five33Switchback,2021/09/13
DEP Open Series 2 Race 1,Dynamic Weather,999,999.999,GrOiLL,NO_DATA
DEP Open Series 2 Race 7,Football Stadium,999,999.999,GrOiLL,NO_DATA
DEP Open Series 3 Race 1,Football Stadium,999,999.999,GrOiLL,NO_DATA
DEP Open Series 3 Race 2,Football Stadium,153,115.945,GrOiLL,Germany,Five33Switchback,2021/06/13
DEP Open Series 3 Race 3,Karting Track,999,999.999,GrOiLL,NO_DATA
DEP Open Series 3 Race 4,Football Stadium,999,999.999,GrOiLL,NO_DATA
DEP Open Series 3 Race 5,Football Stadium,196,113.487,GrOiLL,Germany,Five33Switchback,2021/04/18
DEP Open Series 3 Race 6,Football Stadium,999,999.999,GrOiLL,NO_DATA
DEP Open Series 3 Race 7,Football Stadium,200,136.015,GrOiLL,Germany,TBSSpec,2021/04/06
DEP Open Series 4 Race 1,Football Stadium,190,122.363,GrOiLL,Germany,SkyXKiller,2021/10/17
DEP Open Series 4 Race 2,Football Stadium,172,142.213,GrOiLL,Germany,Five33Switchback,2021/04/10
DEP Open Series 4 Race 3,Football Stadium,999,999.999,GrOiLL,NO_DATA
DEP Open Series 4 Race 4,Football Stadium,142,120.179,GrOiLL,Germany,Five33Switchback,2021/05/02
DEP Open Series 4 Race 5,Football Stadium,999,999.999,GrOiLL,NO_DATA
DEP Open Series 4 Race 6,Football Stadium,174,100.048,GrOiLL,Germany,Five33Switchback,2021/05/22
DEP Open Series 4 Race 7,Football Stadium,999,999.999,GrOiLL,NO_DATA
DEP Open Series 5 Race 1,Football Stadium,176,93.972,GrOiLL,Germany,Five33Switchback,2021/10/23
DEP Open Series 5 Race 2,Football Stadium,187,123.858,GrOiLL,Germany,Five33Switchback,2021/11/10
DEP Open Series 5 Race 3,Football Stadium,199,139.572,GrOiLL,Germany,Five33Switchback,2021/11/24
DEP Open Series 5 Race 4,Football Stadium,159,135.104,GrOiLL,Germany,Five33Switchback,2021/11/24
DEP Open Series 5 Race 5,Football Stadium,136,130.342,GrOiLL,Germany,SkyXKiller,2021/12/20
DEP Open Series 5 Race 6,Football Stadium,163,108.219,GrOiLL,Germany,SkyXKiller,2021/12/24
DEP Open Series 5 Race 7,Football Stadium,137,146.570,GrOiLL,Germany,SkyXKiller,2021/12/27
DEP Spec Series 1 Race 5,Football Stadium,999,999.999,GrOiLL,NO_DATA
RCTech.de EU Spec Series 2 Final,Empty Scene Day,999,999.999,GrOiLL,NO_DATA
RCTech.de EU Spec Series 2 Losers FInal,Empty Scene Day,192,112.383,GrOiLL,Germany,Five33Switchback,2021/02/17
RCTech.de EU Spec Series 2 Race 1,Football Stadium,999,999.999,GrOiLL,NO_DATA
RCTech.de EU Spec Series 2 Race 3,Empty Scene Day,160,105.657,GrOiLL,Germany,SingularitumV5,2020/09/25
RCTech.de EU Spec Series 2 Race 4,Empty Scene Day,999,999.999,GrOiLL,NO_DATA
RCTech.de EU Spec Series 2 Race 5,IndoorGoKart,119,96.765,GrOiLL,Germany,SingularitumV5,2020/11/28
RCTech.de EU Spec Series 2 Race 6,Empty Scene Day,107,108.310,GrOiLL,Germany,SingularitumV5,2020/05/24
RCTech_de EU Spec Series 3 Final,Empty Scene Day,999,999.999,GrOiLL,NO_DATA
RCTech.de EU Spec Series 3 Race 1,NEC Birmingham,151,90.091,GrOiLL,Germany,Five33Switchback,2021/05/16
RCTech.de EU Spec Series 3 Race 2,Empty Scene Day,163,101.563,GrOiLL,Germany,SingularitumV5,2020/05/03
RCTech.de EU Spec Series 3 Race 3,Empty Scene Day,124,112.111,GrOiLL,Germany,SkyXKiller,2021/10/13
RCTech.de EU Spec Series 3 Race 5,Empty Scene Day,197,135.484,GrOiLL,Germany,Five33Switchback,2021/06/13
RCTech.de EU Spec Series 3 Race 6,NEC Birmingham,999,999.999,GrOiLL,NO_DATA
TBS EU Spec Series 10 Losers Final,Football Stadium,87,78.997,GrOiLL,Germany,Five33Switchback,2022/02/14
TBS EU Spec Series 10 Race 1,Football Stadium,166,96.027,GrOiLL,Germany,Five33Switchback,2021/12/12
TBS EU Spec Series 10 Race 2,Empty Scene Day,150,94.389,GrOiLL,Germany,SkyXKiller,2021/12/21
TBS EU Spec Series 10 Race 3,Night Factory 2,120,94.953,GrOiLL,Germany,Five33Switchback,2021/12/28
TBS EU Spec Series 10 Race 4,Dynamic Weather,177,100.738,GrOiLL,Germany,Five33Switchback,2022/01/09
TBS EU Spec Series 10 Race 5 _2,IndoorGoKart,167,105.976,GrOiLL,Germany,SkyXKiller,2022/01/24
