DEP Open Series 3 Race 1,Football Stadium,6,45.997,HAISENFPV,China,Five33Switchback,2021/03/19
DEP Open Series 3 Race 2,Football Stadium,3,59.830,HAISENFPV,China,Five33Switchback,2021/02/25
DEP Open Series 3 Race 3,Karting Track,6,67.042,HAISENFPV,China,Five33Switchback,2021/02/26
DEP Open Series 3 Race 4,Football Stadium,7,50.635,HAISENFPV,China,Five33Switchback,2021/03/01
DEP Open Series 3 Race 5,Football Stadium,4,63.188,HAISENFPV,China,Five33Switchback,2021/03/13
DEP Open Series 3 Race 6,Football Stadium,3,74.897,HAISENFPV,China,Five33Switchback,2021/03/11
DEP Open Series 3 Race 7,Football Stadium,999,999.999,HAISENFPV,NO_DATA
VRL 7 Race 4,Dynamic Weather,102,96.095,HAISENFPV,China,Five33Switchback,2020/12/08
VRL 7 Track 1,Future Hangar,50,95.860,HAISENFPV,China,Five33Switchback,2021/01/16
VRL 7 Track 2,Future Hangar Empty,28,92.018,HAISENFPV,China,Five33Switchback,2021/01/12
VRL 7 Track 3,Dynamic Weather,69,75.545,HAISENFPV,China,Five33Switchback,2021/01/16
VRL 7 Track 5,Dynamic Weather,100,88.835,HAISENFPV,China,Five33Switchback,2021/01/16
VRL 7 Track 6,Dynamic Weather,53,82.218,HAISENFPV,China,Five33Switchback,2021/01/18
VRL7 Tryouts,Future Hangar Empty,999,999.999,HAISENFPV,NO_DATA
VRL Season 7 Championships,Dynamic Weather,999,999.999,HAISENFPV,NO_DATA
