DEP Open Pop-Up 2,Dynamic Weather,999,999.999,HQBatuFPV,NO_DATA
DEP Open Series 2 Race 1,Dynamic Weather,63,54.348,HQBatuFPV,Germany,TBSSpec,2020/12/03
DEP Open Series 2 Race 7,Football Stadium,999,999.999,HQBatuFPV,NO_DATA
DEP Open Series 3 Race 1,Football Stadium,1,41.005,HQBatuFPV,Germany,Five33Switchback,2021/02/17
DEP Open Series 3 Race 2,Football Stadium,122,100.902,HQBatuFPV,Germany,Five33Switchback,2021/03/14
DEP Open Series 3 Race 3,Karting Track,112,107.722,HQBatuFPV,Germany,Five33Switchback,2021/02/24
DEP Open Series 3 Race 4,Football Stadium,140,76.887,HQBatuFPV,Germany,Five33Switchback,2021/02/24
DEP Open Series 3 Race 5,Football Stadium,999,999.999,HQBatuFPV,NO_DATA
DEP Open Series 3 Race 6,Football Stadium,999,999.999,HQBatuFPV,NO_DATA
DEP Open Series 3 Race 7,Football Stadium,177,124.377,HQBatuFPV,Germany,TBSSpec,2021/03/18
DEP Open Series 4 Race 1,Football Stadium,999,999.999,HQBatuFPV,NO_DATA
DEP Open Series 4 Race 2,Football Stadium,999,999.999,HQBatuFPV,NO_DATA
DEP Open Series 4 Race 3,Football Stadium,82,75.380,HQBatuFPV,Germany,TBSSpec,2021/04/16
DEP Open Series 4 Race 4,Football Stadium,162,128.969,HQBatuFPV,Germany,Five33Switchback,2021/05/03
DEP Open Series 4 Race 5,Football Stadium,17,58.344,HQBatuFPV,Germany,Five33Switchback,2021/05/09
DEP Open Series 4 Race 6,Football Stadium,999,999.999,HQBatuFPV,NO_DATA
DEP Open Series 4 Race 7,Football Stadium,193,100.294,HQBatuFPV,Germany,Five33Switchback,2021/07/24
DEP Open Series 5 Race 1,Football Stadium,999,999.999,HQBatuFPV,NO_DATA
DEP Open Series 5 Race 2,Football Stadium,46,73.284,HQBatuFPV,Germany,Five33Switchback,2021/11/03
DEP Open Series 5 Race 3,Football Stadium,28,73.683,HQBatuFPV,Germany,Five33Switchback,2021/11/17
DEP Open Series 5 Race 4,Football Stadium,999,999.999,HQBatuFPV,NO_DATA
DEP Open Series 5 Race 5,Football Stadium,999,999.999,HQBatuFPV,NO_DATA
DEP Open Series 5 Race 6,Football Stadium,999,999.999,HQBatuFPV,NO_DATA
DEP Open Series 5 Race 7,Football Stadium,177,163.409,HQBatuFPV,Germany,Five33Switchback,2021/12/22
DEP Spec Series 1 Race 5,Football Stadium,103,104.995,HQBatuFPV,Germany,Mode2Ghost,2020/10/15
EU Spec Season 4 Race 1,Football Stadium,999,999.999,HQBatuFPV,NO_DATA
RCTech.de EU Spec Series 2 Final,Empty Scene Day,999,999.999,HQBatuFPV,NO_DATA
RCTech.de EU Spec Series 2 Losers FInal,Empty Scene Day,999,999.999,HQBatuFPV,NO_DATA
RCTech.de EU Spec Series 2 Race 1,Football Stadium,167,73.481,HQBatuFPV,Germany,Five33Switchback,2020/12/23
RCTech.de EU Spec Series 2 Race 3,Empty Scene Day,999,999.999,HQBatuFPV,NO_DATA
RCTech.de EU Spec Series 2 Race 4,Empty Scene Day,44,67.373,HQBatuFPV,Germany,TBSSpec,2020/05/21
RCTech.de EU Spec Series 2 Race 5,IndoorGoKart,999,999.999,HQBatuFPV,NO_DATA
RCTech.de EU Spec Series 2 Race 6,Empty Scene Day,999,999.999,HQBatuFPV,NO_DATA
