DEP Open Pop-Up 2,Dynamic Weather,6,55.195,HQBearShampoo,UnitedStates,Mode2Ghost,2021/07/03
DEP Open Series 2 Race 1,Dynamic Weather,999,999.999,HQBearShampoo,NO_DATA
DEP Open Series 2 Race 7,Football Stadium,19,84.839,HQBearShampoo,UnitedStates,Mode2Ghost,2021/08/11
DEP Open Series 3 Race 1,Football Stadium,28,51.984,HQBearShampoo,UnitedStates,Mode2Ghost,2021/05/31
DEP Open Series 3 Race 2,Football Stadium,24,72.334,HQBearShampoo,UnitedStates,BMSJS-1,2021/02/22
DEP Open Series 3 Race 3,Karting Track,12,72.124,HQBearShampoo,UnitedStates,Mode2Ghost,2021/06/23
DEP Open Series 3 Race 4,Football Stadium,34,59.622,HQBearShampoo,UnitedStates,Five33Switchback,2021/02/27
DEP Open Series 3 Race 5,Football Stadium,50,78.643,HQBearShampoo,UnitedStates,Five33Switchback,2021/03/09
DEP Open Series 3 Race 6,Football Stadium,18,82.502,HQBearShampoo,UnitedStates,Mode2Ghost,2021/05/31
DEP Open Series 3 Race 7,Football Stadium,30,80.817,HQBearShampoo,UnitedStates,Five33Switchback,2021/03/22
DEP Open Series 4 Race 1,Football Stadium,29,77.826,HQBearShampoo,UnitedStates,Ossa,2021/04/11
DEP Open Series 4 Race 2,Football Stadium,999,999.999,HQBearShampoo,NO_DATA
DEP Open Series 4 Race 3,Football Stadium,23,61.652,HQBearShampoo,UnitedStates,BMSJS-1,2021/04/18
DEP Open Series 4 Race 4,Football Stadium,23,75.812,HQBearShampoo,UnitedStates,Mode2Ghost,2021/04/27
DEP Open Series 4 Race 5,Football Stadium,28,60.300,HQBearShampoo,UnitedStates,Mode2Ghost,2021/05/05
DEP Open Series 4 Race 6,Football Stadium,33,64.943,HQBearShampoo,UnitedStates,Mode2Ghost,2021/05/25
DEP Open Series 4 Race 7,Football Stadium,29,63.583,HQBearShampoo,UnitedStates,Mode2Ghost,2021/05/31
DEP Open Series 5 Race 1,Football Stadium,106,76.634,HQBearShampoo,UnitedStates,CarbiXZero,2021/11/02
DEP Open Series 5 Race 2,Football Stadium,999,999.999,HQBearShampoo,NO_DATA
DEP Open Series 5 Race 3,Football Stadium,999,999.999,HQBearShampoo,NO_DATA
DEP Open Series 5 Race 4,Football Stadium,999,999.999,HQBearShampoo,NO_DATA
DEP Open Series 5 Race 5,Football Stadium,999,999.999,HQBearShampoo,NO_DATA
DEP Open Series 5 Race 6,Football Stadium,22,64.304,HQBearShampoo,UnitedStates,CarbiXZero,2021/12/25
DEP Open Series 5 Race 7,Football Stadium,999,999.999,HQBearShampoo,NO_DATA
DEP Spec Series 1 Race 5,Football Stadium,103,105.012,HQBearShampoo,UnitedStates,Five33Switchback,2020/10/13
TBS EU Spec Series 7 Final,Empty Scene Day,999,999.999,HQBearShampoo,NO_DATA
TBS EU Spec Series 7 Race 1,Football Stadium,999,999.999,HQBearShampoo,NO_DATA
TBS EU Spec Series 7 Race 2,Empty Scene Day,36,68.234,HQBearShampoo,UnitedStates,Mode2Ghost,2021/06/04
TBS EU Spec Series 7 Race 3,Empty Scene Day,136,81.650,HQBearShampoo,UnitedStates,TBSSpec,2021/01/27
TBS EU Spec Series 7 Race 4,Empty Scene Day,9,61.770,HQBearShampoo,UnitedStates,Mode2Ghost,2021/08/10
TBS EU Spec Series 7 Race 5,IndoorGoKart,22,68.584,HQBearShampoo,UnitedStates,Five33Switchback,2021/02/08
TBS EU Spec Series 7 Race 6,Future Hangar Empty,40,69.413,HQBearShampoo,UnitedStates,TBSSpec,2021/02/19
TBS EU Spec Series 7 Race 7,Empty Scene Day,999,999.999,HQBearShampoo,NO_DATA
TBS EU Spec Series 8 Final,Dynamic Weather,3,64.056,HQBearShampoo,UnitedStates,Mode2Ghost,2021/07/03
TBS EU Spec Series 8 Losers Final,Dynamic Weather,3,49.510,HQBearShampoo,UnitedStates,Mode2Ghost,2021/07/04
TBS EU Spec Series 8 Race 1,Dynamic Weather,999,999.999,HQBearShampoo,NO_DATA
TBS EU Spec Series 8 Race 2,Empty Scene Night,999,999.999,HQBearShampoo,NO_DATA
TBS EU Spec Series 8 Race 3,Football Stadium,41,61.169,HQBearShampoo,UnitedStates,TBSSpec,2021/07/09
TBS EU Spec Series 8 Race 4,Empty Scene Day,31,74.646,HQBearShampoo,UnitedStates,TBSSpec,2021/07/09
TBS EU Spec Series 8 Race 5,Future Hangar Empty,999,999.999,HQBearShampoo,NO_DATA
TBS EU Spec Series 8 Race 6,Football Stadium,999,999.999,HQBearShampoo,NO_DATA
TBS EU Spec Series 8 Race 7,Empty Scene Day,22,67.556,HQBearShampoo,UnitedStates,Mode2Ghost,2021/06/21
TBS EU Spec Series 9 Final,Dynamic Weather,17,58.413,HQBearShampoo,UnitedStates,CarbiXZero,2021/11/15
TBS EU Spec Series 9 Losers Final,Dynamic Weather,999,999.999,HQBearShampoo,NO_DATA
TBS EU Spec Series 9 Race 1,Football Stadium,33,56.245,HQBearShampoo,UnitedStates,MadLite,2021/09/09
TBS EU Spec Series 9 Race 2,Dynamic Weather,10,49.490,HQBearShampoo,UnitedStates,CarbiXZero,2021/10/03
TBS EU Spec Series 9 Race 3,Empty Scene Day,4,53.301,HQBearShampoo,UnitedStates,CarbiXZero,2021/10/05
TBS EU Spec Series 9 Race 4,Football Stadium,9,60.030,HQBearShampoo,UnitedStates,CarbiXZero,2021/10/03
TBS EU Spec Series 9 Race 5,Empty Scene Day,13,57.289,HQBearShampoo,UnitedStates,CarbiXZero,2021/10/15
TBS EU Spec Series 9 Race 6,Empty Scene Day,999,999.999,HQBearShampoo,NO_DATA
TBS EU Spec Series 9 Race 7,NEC Birmingham,999,999.999,HQBearShampoo,NO_DATA
