DEP Open Pop-Up 2,Dynamic Weather,999,999.999,HQlephroslowbro,NO_DATA
DEP Open Series 2 Race 1,Dynamic Weather,999,999.999,HQlephroslowbro,NO_DATA
DEP Open Series 2 Race 7,Football Stadium,999,999.999,HQlephroslowbro,NO_DATA
DEP Open Series 3 Race 1,Football Stadium,82,59.058,HQlephroslowbro,Germany,Five33Switchback,2021/02/03
DEP Open Series 3 Race 2,Football Stadium,13,68.892,HQlephroslowbro,Germany,SingularitumV5,2021/02/10
DEP Open Series 3 Race 3,Karting Track,999,999.999,HQlephroslowbro,NO_DATA
DEP Open Series 3 Race 4,Football Stadium,22,56.505,HQlephroslowbro,Germany,SingularitumV5,2021/02/24
DEP Open Series 3 Race 5,Football Stadium,36,73.988,HQlephroslowbro,Germany,SingularitumV5,2021/03/03
DEP Open Series 3 Race 6,Football Stadium,50,94.190,HQlephroslowbro,Germany,Five33Switchback,2021/03/17
DEP Open Series 3 Race 7,Football Stadium,48,84.509,HQlephroslowbro,Germany,Five33Switchback,2021/03/17
DEP Open Series 4 Race 1,Football Stadium,15,73.066,HQlephroslowbro,Germany,Five33Switchback,2021/03/31
DEP Open Series 4 Race 2,Football Stadium,40,95.985,HQlephroslowbro,Germany,Five33Switchback,2021/04/07
DEP Open Series 4 Race 3,Football Stadium,999,999.999,HQlephroslowbro,NO_DATA
DEP Open Series 4 Race 4,Football Stadium,16,73.700,HQlephroslowbro,Germany,Five33Switchback,2021/04/21
DEP Open Series 4 Race 5,Football Stadium,999,999.999,HQlephroslowbro,NO_DATA
DEP Open Series 4 Race 6,Football Stadium,999,999.999,HQlephroslowbro,NO_DATA
DEP Open Series 4 Race 7,Football Stadium,24,60.654,HQlephroslowbro,Germany,Ossa,2021/05/26
DEP Open Series 5 Race 1,Football Stadium,23,56.027,HQlephroslowbro,Germany,Chief,2021/10/26
DEP Open Series 5 Race 2,Football Stadium,36,70.069,HQlephroslowbro,Germany,MadLite,2021/10/27
DEP Open Series 5 Race 3,Football Stadium,18,68.761,HQlephroslowbro,Germany,CarbiXZero,2021/11/17
DEP Open Series 5 Race 4,Football Stadium,45,82.997,HQlephroslowbro,Germany,CarbiXZero,2021/11/24
DEP Open Series 5 Race 5,Football Stadium,126,125.158,HQlephroslowbro,Germany,Ossa,2022/01/08
