DEP Open Series 5 Race 1,Football Stadium,48,60.513,Heartbrokenboi,Germany,BMSJS-1,2021/10/20
DEP Open Series 5 Race 2,Football Stadium,999,999.999,Heartbrokenboi,NO_DATA
DEP Open Series 5 Race 3,Football Stadium,150,111.781,Heartbrokenboi,Germany,Five33Switchback,2021/11/22
DEP Open Series 5 Race 4,Football Stadium,74,92.891,Heartbrokenboi,Germany,Five33Switchback,2021/11/25
DEP Open Series 5 Race 5,Football Stadium,92,103.142,Heartbrokenboi,Germany,Five33Switchback,2021/12/15
DEP Open Series 5 Race 6,Football Stadium,130,92.607,Heartbrokenboi,Germany,Five33Switchback,2021/12/15
DEP Open Series 5 Race 7,Football Stadium,999,999.999,Heartbrokenboi,NO_DATA
TBS EU Spec Series 10 FINAL --- ChrisM,Football Stadium,999,999.999,Heartbrokenboi,NO_DATA
TBS EU Spec Series 10 Losers Final,Football Stadium,999,999.999,Heartbrokenboi,NO_DATA
TBS EU Spec Series 10 Race 1,Football Stadium,54,62.361,Heartbrokenboi,Germany,TBSSpec,2022/05/24
TBS EU Spec Series 10 Race 2,Empty Scene Day,28,61.665,Heartbrokenboi,Germany,Five33Switchback,2021/12/10
TBS EU Spec Series 10 Race 3,Night Factory 2,999,999.999,Heartbrokenboi,NO_DATA
TBS EU Spec Series 10 Race 4,Dynamic Weather,67,70.003,Heartbrokenboi,Germany,TBSSpec,2022/01/10
TBS EU Spec Series 10 Race 5 _2,IndoorGoKart,46,59.556,Heartbrokenboi,Germany,Five33Switchback,2022/03/25
TBS EU Spec Series 10 Race 6,Large Carpark,150,79.132,Heartbrokenboi,Germany,TBSSpec,2022/01/29
TBS EU Spec Series 10 Race 7,Football Stadium,52,72.104,Heartbrokenboi,Germany,TBSSpec,2022/02/07
TBS EU Spec Series 9 Final,Dynamic Weather,33,61.271,Heartbrokenboi,Germany,BMSJS-1,2021/11/24
TBS EU Spec Series 9 Losers Final,Dynamic Weather,999,999.999,Heartbrokenboi,NO_DATA
TBS EU Spec Series 9 Race 1,Football Stadium,190,81.828,Heartbrokenboi,Germany,Five33Switchback,2021/09/23
TBS EU Spec Series 9 Race 2,Dynamic Weather,146,71.394,Heartbrokenboi,Germany,Five33Switchback,2021/09/19
TBS EU Spec Series 9 Race 3,Empty Scene Day,40,59.566,Heartbrokenboi,Germany,BMSJS-1,2021/10/17
TBS EU Spec Series 9 Race 4,Football Stadium,171,98.242,Heartbrokenboi,Germany,Five33Switchback,2022/02/17
TBS EU Spec Series 9 Race 5,Empty Scene Day,82,70.192,Heartbrokenboi,Germany,TBSSpec,2022/06/01
TBS EU Spec Series 9 Race 6,Empty Scene Day,34,66.940,Heartbrokenboi,Germany,Five33Switchback,2021/12/01
TBS EU Spec Series 9 Race 7,NEC Birmingham,999,999.999,Heartbrokenboi,NO_DATA
