2020 Canadian MultiGP Series,Football Stadium,105,58.740,JWWFPV,UnitedStates,Mode2Ghost,2021/09/09
2020 MultiGP Champs presented by RDQ,Football Stadium,180,80.143,JWWFPV,UnitedStates,Five33Switchback,2021/09/22
2021 MultiGP Champs Track 1,Empty Scene Day,999,999.999,JWWFPV,NO_DATA
2021 MultiGP Champs Track 2,Empty Scene Day,180,71.695,JWWFPV,UnitedStates,CarbiXZero,2022/01/04
DEP Open Pop-Up 2,Dynamic Weather,134,103.877,JWWFPV,UnitedStates,Five33Switchback,2021/07/05
DEP Open Series 2 Race 1,Dynamic Weather,185,75.669,JWWFPV,UnitedStates,TBSSpec,2021/05/19
DEP Open Series 2 Race 7,Football Stadium,148,131.129,JWWFPV,UnitedStates,Five33Switchback,2021/07/16
DEP Open Series 3 Race 1,Football Stadium,150,67.006,JWWFPV,UnitedStates,Five33Switchback,2021/08/18
DEP Open Series 3 Race 2,Football Stadium,124,102.953,JWWFPV,UnitedStates,TBSSpec,2021/08/09
DEP Open Series 3 Race 3,Karting Track,162,130.541,JWWFPV,UnitedStates,Five33Switchback,2021/03/29
DEP Open Series 3 Race 4,Football Stadium,142,77.966,JWWFPV,UnitedStates,CarbiXZero,2022/01/14
DEP Open Series 3 Race 5,Football Stadium,999,999.999,JWWFPV,NO_DATA
DEP Open Series 3 Race 6,Football Stadium,999,999.999,JWWFPV,NO_DATA
DEP Open Series 3 Race 7,Football Stadium,199,134.482,JWWFPV,UnitedStates,Five33Switchback,2021/06/15
DEP Open Series 4 Race 1,Football Stadium,999,999.999,JWWFPV,NO_DATA
DEP Open Series 4 Race 2,Football Stadium,186,149.664,JWWFPV,UnitedStates,TBSSpec,2021/04/08
DEP Open Series 4 Race 3,Football Stadium,151,95.371,JWWFPV,UnitedStates,TBSOblivion,2021/08/06
DEP Open Series 4 Race 4,Football Stadium,152,125.909,JWWFPV,UnitedStates,Five33Switchback,2021/05/03
DEP Open Series 4 Race 5,Football Stadium,99,72.642,JWWFPV,UnitedStates,Five33Switchback,2021/12/22
DEP Open Series 4 Race 6,Football Stadium,110,81.183,JWWFPV,UnitedStates,Five33Switchback,2021/08/17
DEP Open Series 4 Race 7,Football Stadium,199,102.286,JWWFPV,UnitedStates,Five33Switchback,2021/10/01
DEP Open Series 5 Race 1,Football Stadium,999,999.999,JWWFPV,NO_DATA
DEP Open Series 5 Race 2,Football Stadium,87,87.148,JWWFPV,UnitedStates,Five33Switchback,2021/11/20
DEP Open Series 5 Race 3,Football Stadium,124,104.193,JWWFPV,UnitedStates,Five33Switchback,2021/11/17
DEP Open Series 5 Race 4,Football Stadium,999,999.999,JWWFPV,NO_DATA
DEP Open Series 5 Race 5,Football Stadium,999,999.999,JWWFPV,NO_DATA
DEP Open Series 5 Race 6,Football Stadium,80,83.007,JWWFPV,UnitedStates,Five33Switchback,2021/12/22
DEP Open Series 5 Race 7,Football Stadium,999,999.999,JWWFPV,NO_DATA
DEP Spec Series 1 Race 5,Football Stadium,999,999.999,JWWFPV,NO_DATA
EU Spec Season 4 Race 1,Football Stadium,164,100.101,JWWFPV,UnitedStates,Five33Switchback,2021/11/13
MGP2018IOIntermediate,Empty Scene Day,35,37.083,JWWFPV,UnitedStates,Five33Switchback,2021/10/10
MGP2018IORookie,Empty Scene Day,19,18.034,JWWFPV,UnitedStates,Five33Switchback,2021/10/10
MGP2018IOTeam,Empty Scene Day,53,57.582,JWWFPV,UnitedStates,Mode2Ghost,2021/09/02
MGP2018IOWorldCup,Empty Scene Day,139,121.926,JWWFPV,UnitedStates,TBSSpec,2021/05/18
MultiGP 2016 RF,Football Stadium,90,65.859,JWWFPV,UnitedStates,Five33Switchback,2021/05/20
MultiGP 2017 RF,Football Stadium,105,70.011,JWWFPV,UnitedStates,Five33Switchback,2021/05/20
MultiGP 2018 RF,Empty Scene Day,117,136.500,JWWFPV,UnitedStates,Five33Switchback,2021/05/20
MultiGP 2018 RQ,Football Stadium,999,999.999,JWWFPV,NO_DATA
MultiGP_2019_Qualifier_Large,Dynamic Weather,999,999.999,JWWFPV,NO_DATA
MultiGP_2019_Qualifier_Spec,Empty Scene Day,117,68.064,JWWFPV,UnitedStates,Five33Switchback,2021/05/20
MultiGP 2019 Sport Championships,Football Stadium,133,73.659,JWWFPV,UnitedStates,Five33Switchback,2021/09/22
MultiGP 2020 Global Qualifier,Empty Scene Day,999,999.999,JWWFPV,NO_DATA
MultiGP 2021 Global Qualifier,Football Stadium,999,999.999,JWWFPV,NO_DATA
MultiGP Bessel Run,Football Stadium,86,30.160,JWWFPV,UnitedStates,Five33Switchback,2021/04/21
MultiGP-Championships-2019,Empty Scene Day,141,99.234,JWWFPV,UnitedStates,Five33Switchback,2021/04/21
MultiGP High Voltage,Football Stadium,60,32.978,JWWFPV,UnitedStates,Five33Switchback,2021/04/21
MultiGP IO 2019 Team,Empty Scene Day,133,92.765,JWWFPV,UnitedStates,Five33Switchback,2021/04/21
MultiGP IO 2019 World Cup,Empty Scene Day,115,90.795,JWWFPV,UnitedStates,Five33Switchback,2021/08/17
MultiGPIOSpec2018,Empty Scene Day,78,110.296,JWWFPV,UnitedStates,Five33Switchback,2021/05/20
MultiGP Round 2 FNL,Sports Hall,111,86.680,JWWFPV,UnitedStates,Five33Switchback,2021/04/21
MultiGP Tsunami,Football Stadium,88,30.943,JWWFPV,UnitedStates,Five33Switchback,2021/04/21
MultiGP UTT 1,Football Stadium,85,36.806,JWWFPV,UnitedStates,Five33Switchback,2021/04/21
MultiGP UTT 5,Football Stadium,64,30.044,JWWFPV,UnitedStates,Five33Switchback,2021/04/21
MultiGP UTT 6,Football Stadium,95,51.692,JWWFPV,UnitedStates,Ossa,2021/05/28
RCTech.de EU Spec Series 2 Final,Empty Scene Day,170,88.286,JWWFPV,UnitedStates,TBSSpec,2021/07/20
RCTech.de EU Spec Series 2 Losers FInal,Empty Scene Day,118,85.801,JWWFPV,UnitedStates,Five33Switchback,2021/07/12
RCTech.de EU Spec Series 2 Race 1,Football Stadium,999,999.999,JWWFPV,NO_DATA
RCTech.de EU Spec Series 2 Race 3,Empty Scene Day,108,91.244,JWWFPV,UnitedStates,TBSSpec,2021/07/21
RCTech.de EU Spec Series 2 Race 4,Empty Scene Day,136,88.779,JWWFPV,UnitedStates,Five33Switchback,2021/08/10
RCTech.de EU Spec Series 2 Race 5,IndoorGoKart,65,80.838,JWWFPV,UnitedStates,TBSSpec,2021/08/11
RCTech.de EU Spec Series 2 Race 6,Empty Scene Day,78,93.974,JWWFPV,UnitedStates,TBSSpec,2021/08/11
RCTech_de EU Spec Series 3 Final,Empty Scene Day,174,101.585,JWWFPV,UnitedStates,TBSSpec,2021/08/28
RCTech.de EU Spec Series 3 Race 1,NEC Birmingham,110,78.322,JWWFPV,UnitedStates,TBSSpec,2021/08/11
RCTech.de EU Spec Series 3 Race 2,Empty Scene Day,70,79.333,JWWFPV,UnitedStates,Five33Switchback,2021/10/16
RCTech.de EU Spec Series 3 Race 3,Empty Scene Day,104,102.082,JWWFPV,UnitedStates,TBSSpec,2021/08/28
RCTech.de EU Spec Series 3 Race 5,Empty Scene Day,113,116.254,JWWFPV,UnitedStates,TBSSpec,2021/08/28
RCTech.de EU Spec Series 3 Race 6,NEC Birmingham,193,113.530,JWWFPV,UnitedStates,TBSSpec,2021/08/28
TBS EU Spec Season 5 Race 1,Football Stadium,999,999.999,JWWFPV,NO_DATA
TBS EU Spec Series 10 Losers Final,Football Stadium,999,999.999,JWWFPV,NO_DATA
TBS EU Spec Series 10 Race 1,Football Stadium,999,999.999,JWWFPV,NO_DATA
TBS EU Spec Series 10 Race 2,Empty Scene Day,999,999.999,JWWFPV,NO_DATA
TBS EU Spec Series 10 Race 3,Night Factory 2,88,83.732,JWWFPV,UnitedStates,CarbiXZero,2021/12/28
TBS EU Spec Series 10 Race 4,Dynamic Weather,999,999.999,JWWFPV,NO_DATA
TBS EU Spec Series 10 Race 5 _2,IndoorGoKart,999,999.999,JWWFPV,NO_DATA
TBS EU Spec Series 10 Race 6,Large Carpark,999,999.999,JWWFPV,NO_DATA
TBS EU Spec Series 10 Race 7,Football Stadium,999,999.999,JWWFPV,NO_DATA
TBS EU Spec Series 4 FINAL,Dynamic Weather,999,999.999,JWWFPV,NO_DATA
TBS EU Spec Series 4 Race 2,Empty Scene Day,177,80.013,JWWFPV,UnitedStates,TBSSpec,2021/08/28
