DEP Open Pop-Up 2,Dynamic Weather,999,999.999,Kosta,NO_DATA
DEP Open Series 2 Race 1,Dynamic Weather,1,36.693,Kosta,Germany,Five33Switchback,2021/12/04
DEP Open Series 2 Race 7,Football Stadium,999,999.999,Kosta,NO_DATA
DEP Open Series 3 Race 1,Football Stadium,8,48.056,Kosta,Germany,Five33Switchback,2021/02/04
DEP Open Series 3 Race 2,Football Stadium,4,61.283,Kosta,Germany,Five33Switchback,2021/02/10
DEP Open Series 3 Race 3,Karting Track,8,70.983,Kosta,Germany,Five33Switchback,2021/02/24
DEP Open Series 3 Race 4,Football Stadium,6,53.138,Kosta,Germany,Five33Switchback,2021/02/24
DEP Open Series 3 Race 5,Football Stadium,11,68.335,Kosta,Germany,Five33Switchback,2021/03/10
DEP Open Series 3 Race 6,Football Stadium,21,83.028,Kosta,Germany,Five33Switchback,2021/03/10
DEP Open Series 3 Race 7,Football Stadium,999,999.999,Kosta,NO_DATA
DEP Open Series 4 Race 1,Football Stadium,9,68.240,Kosta,Germany,Five33Switchback,2021/03/31
DEP Open Series 4 Race 2,Football Stadium,5,78.689,Kosta,Germany,Five33Switchback,2021/04/14
DEP Open Series 4 Race 3,Football Stadium,16,59.564,Kosta,Germany,Five33Switchback,2021/04/26
DEP Open Series 4 Race 4,Football Stadium,999,999.999,Kosta,NO_DATA
DEP Open Series 4 Race 5,Football Stadium,23,59.658,Kosta,Germany,Five33Switchback,2021/05/01
DEP Open Series 4 Race 6,Football Stadium,999,999.999,Kosta,NO_DATA
DEP Open Series 4 Race 7,Football Stadium,999,999.999,Kosta,NO_DATA
DEP Open Series 5 Race 1,Football Stadium,1,47.597,Kosta,Germany,Five33Switchback,2021/11/03
DEP Open Series 5 Race 2,Football Stadium,85,86.292,Kosta,Germany,Five33Switchback,2021/11/03
DEP Open Series 5 Race 3,Football Stadium,999,999.999,Kosta,NO_DATA
DEP Open Series 5 Race 4,Football Stadium,2,63.620,Kosta,Germany,Five33Switchback,2021/11/30
DEP Open Series 5 Race 5,Football Stadium,3,65.138,Kosta,Germany,Five33Switchback,2021/12/03
DEP Open Series 5 Race 6,Football Stadium,2,56.103,Kosta,Germany,Five33Switchback,2021/12/22
DEP Open Series 5 Race 7,Football Stadium,4,79.593,Kosta,Germany,Five33Switchback,2021/12/22
DEP Spec Series 1 Race 5,Football Stadium,9,80.905,Kosta,Germany,Five33Switchback,2020/10/19
EU Spec Season 4 Race 1,Football Stadium,16,78.535,Kosta,Germany,SingularitumV5,2020/05/01
RCTech.de EU Spec Series 2 Final,Empty Scene Day,14,63.219,Kosta,Germany,SingularitumV5,2020/06/27
RCTech.de EU Spec Series 2 Losers FInal,Empty Scene Day,42,68.688,Kosta,Germany,TBSSpec,2020/04/16
