
RCTech.de EU Spec Series 2 Final,Empty Scene Day,142,82.882,LeoOnFire,Italy,Five33Switchback,2020/11/29
RCTech.de EU Spec Series 2 Losers FInal,Empty Scene Day,30,66.478,LeoOnFire,Italy,Five33Switchback,2020/12/23
RCTech.de EU Spec Series 2 Race 1,Football Stadium,57,60.406,LeoOnFire,Italy,Five33Switchback,2020/12/29
RCTech.de EU Spec Series 2 Race 3,Empty Scene Day,155,103.176,LeoOnFire,Italy,Five33Switchback,2021/01/02
RCTech.de EU Spec Series 2 Race 4,Empty Scene Day,45,68.374,LeoOnFire,Italy,TBSSpec,2020/06/16
RCTech.de EU Spec Series 2 Race 5,IndoorGoKart,999,999.999,LeoOnFire,NO_DATA
RCTech.de EU Spec Series 2 Race 6,Empty Scene Day,42,76.354,LeoOnFire,Italy,Five33Switchback,2020/12/24
RCTech_de EU Spec Series 3 Final,Empty Scene Day,120,89.499,LeoOnFire,Italy,TBSSpec,2020/04/26
RCTech.de EU Spec Series 3 Race 1,NEC Birmingham,75,69.112,LeoOnFire,Italy,TBSSpec,2020/04/15
RCTech.de EU Spec Series 3 Race 2,Empty Scene Day,999,999.999,LeoOnFire,NO_DATA
RCTech.de EU Spec Series 3 Race 3,Empty Scene Day,999,999.999,LeoOnFire,NO_DATA
RCTech.de EU Spec Series 3 Race 5,Empty Scene Day,78,110.406,LeoOnFire,Italy,TBSSpec,2020/04/13
RCTech.de EU Spec Series 3 Race 6,NEC Birmingham,122,93.979,LeoOnFire,Italy,TBSSpec,2020/04/14
TBS EU Spec Series 6 Final,Empty Scene Day,79,88.188,LeoOnFire,Italy,Five33Switchback,2021/01/06
TBS EU Spec Series 6 Losers Final,Football Stadium,39,71.309,LeoOnFire,Italy,Five33Switchback,2021/01/10
TBS EU Spec Series 6 Race 1,Future Hangar Empty,999,999.999,LeoOnFire,NO_DATA
TBS EU Spec Series 6 Race 2,Empty Scene Day,177,81.817,LeoOnFire,Italy,TBSSpec,2020/10/06
TBS EU Spec Series 6 Race 4,NEC Birmingham,999,999.999,LeoOnFire,NO_DATA
TBS EU Spec Series 6 Race 5,Dynamic Weather,999,999.999,LeoOnFire,NO_DATA
TBS EU Spec Series 6 Race 6,Empty Scene Day,68,79.896,LeoOnFire,Italy,Five33Switchback,2021/01/20
TBS EU Spec Series 6 Race 7,Empty Scene Day,48,57.749,LeoOnFire,Italy,Five33Switchback,2020/11/20
TBS EU Spec Series 7 Final,Empty Scene Day,999,999.999,LeoOnFire,NO_DATA
TBS EU Spec Series 7 Race 1,Football Stadium,47,69.372,LeoOnFire,Italy,Five33Switchback,2021/01/09
TBS EU Spec Series 7 Race 2,Empty Scene Day,52,70.019,LeoOnFire,Italy,Five33Switchback,2021/01/18
TBS EU Spec Series 7 Race 3,Empty Scene Day,58,73.587,LeoOnFire,Italy,Five33Switchback,2021/01/26
TBS EU Spec Series 7 Race 4,Empty Scene Day,95,74.450,LeoOnFire,Italy,Five33Switchback,2021/01/30
TBS EU Spec Series 7 Race 5,IndoorGoKart,999,999.999,LeoOnFire,NO_DATA
TBS EU Spec Series 7 Race 6,Future Hangar Empty,38,69.205,LeoOnFire,Italy,Five33Switchback,2021/02/13
TBS EU Spec Series 7 Race 7,Empty Scene Day,999,999.999,LeoOnFire,NO_DATA
