EU Spec Season 4 Race 1,Football Stadium,146,98.389,Locke_FPV_,Germany,Five33Switchback,2020/05/02
TBS EU Spec Series 4 FINAL,Dynamic Weather,125,101.640,Locke_FPV_,Germany,Five33Switchback,2020/07/01
TBS EU Spec Series 4 Race 2,Empty Scene Day,999,999.999,Locke_FPV_,NO_DATA
TBS EU Spec Series 4 Race 3,IndoorGoKart,54,107.232,Locke_FPV_,Germany,Five33Switchback,2020/06/04
TBS EU Spec Series 4 Race 4,Empty Scene Day,84,87.411,Locke_FPV_,Germany,Five33Switchback,2020/06/03
TBS EU Spec Series 4 Race 5,Dynamic Weather,138,107.243,Locke_FPV_,Germany,Five33Switchback,2020/06/17
TBS EU Spec Series 4 Race 7,Football Stadium,144,84.091,Locke_FPV_,Germany,Five33Switchback,2020/06/25
TBS EU Spec Series 6 Final,Empty Scene Day,150,97.260,Locke_FPV_,Germany,Five33Switchback,2020/12/09
TBS EU Spec Series 6 Losers Final,Football Stadium,170,92.223,Locke_FPV_,Germany,Five33Switchback,2020/11/30
TBS EU Spec Series 6 Race 1,Future Hangar Empty,148,84.680,Locke_FPV_,Germany,Five33Switchback,2020/09/27
TBS EU Spec Series 6 Race 2,Empty Scene Day,999,999.999,Locke_FPV_,NO_DATA
TBS EU Spec Series 6 Race 4,NEC Birmingham,129,93.255,Locke_FPV_,Germany,Five33Switchback,2020/10/30
TBS EU Spec Series 6 Race 5,Dynamic Weather,999,999.999,Locke_FPV_,NO_DATA
TBS EU Spec Series 6 Race 6,Empty Scene Day,999,999.999,Locke_FPV_,NO_DATA
TBS EU Spec Series 6 Race 7,Empty Scene Day,169,66.440,Locke_FPV_,Germany,Five33Switchback,2020/11/30
