DEP Open Series 4 Race 1,Football Stadium,185,120.853,Lucky22,UnitedStates,Five33Switchback,2021/12/31
DEP Open Series 4 Race 2,Football Stadium,199,154.993,Lucky22,UnitedStates,Five33Switchback,2021/12/31
DEP Open Series 4 Race 3,Football Stadium,185,103.735,Lucky22,UnitedStates,Five33Switchback,2022/01/04
DEP Open Series 4 Race 4,Football Stadium,162,129.836,Lucky22,UnitedStates,Five33Switchback,2021/12/24
DEP Open Series 4 Race 5,Football Stadium,999,999.999,Lucky22,NO_DATA
DEP Open Series 4 Race 6,Football Stadium,999,999.999,Lucky22,NO_DATA
DEP Open Series 4 Race 7,Football Stadium,193,101.408,Lucky22,UnitedStates,Five33Switchback,2022/01/04
RCTech.de EU Spec Series 2 Final,Empty Scene Day,999,999.999,Lucky22,NO_DATA
RCTech.de EU Spec Series 2 Losers FInal,Empty Scene Day,186,111.416,Lucky22,UnitedStates,Five33Switchback,2021/12/10
RCTech.de EU Spec Series 2 Race 1,Football Stadium,999,999.999,Lucky22,NO_DATA
RCTech.de EU Spec Series 2 Race 3,Empty Scene Day,140,100.409,Lucky22,UnitedStates,Five33Switchback,2021/12/10
RCTech.de EU Spec Series 2 Race 4,Empty Scene Day,186,106.742,Lucky22,UnitedStates,Five33Switchback,2022/01/22
RCTech.de EU Spec Series 2 Race 5,IndoorGoKart,112,95.994,Lucky22,UnitedStates,Five33Switchback,2022/01/22
RCTech.de EU Spec Series 2 Race 6,Empty Scene Day,171,171.760,Lucky22,UnitedStates,Five33Switchback,2022/01/22
TBS EU Spec Series 9 Final,Dynamic Weather,999,999.999,Lucky22,NO_DATA
TBS EU Spec Series 9 Losers Final,Dynamic Weather,999,999.999,Lucky22,NO_DATA
TBS EU Spec Series 9 Race 1,Football Stadium,999,999.999,Lucky22,NO_DATA
TBS EU Spec Series 9 Race 2,Dynamic Weather,184,82.909,Lucky22,UnitedStates,Five33Switchback,2022/01/13
TBS EU Spec Series 9 Race 3,Empty Scene Day,160,83.921,Lucky22,UnitedStates,Five33Switchback,2022/01/13
TBS EU Spec Series 9 Race 4,Football Stadium,181,102.349,Lucky22,UnitedStates,Five33Switchback,2022/01/13
TBS EU Spec Series 9 Race 5,Empty Scene Day,195,94.274,Lucky22,UnitedStates,Five33Switchback,2022/01/13
TBS EU Spec Series 9 Race 6,Empty Scene Day,124,91.663,Lucky22,UnitedStates,Five33Switchback,2022/01/13
TBS EU Spec Series 9 Race 7,NEC Birmingham,161,102.818,Lucky22,UnitedStates,Five33Switchback,2022/01/13
VRL6 Championships,Dynamic Weather,172,146.778,Lucky22,UnitedStates,Five33Switchback,2022/01/25
VRL6 Crash Site,Dynamic Weather,38,183.554,Lucky22,UnitedStates,Five33Switchback,2022/01/25
VRL6 Downtown Loop,Dynamic Weather,21,196.673,Lucky22,UnitedStates,Five33Switchback,2022/01/25
VRL6 Extermination,Dynamic Weather,136,239.702,Lucky22,UnitedStates,Five33Switchback,2022/01/25
VRL6 Kenerator,Dynamic Weather,115,193.225,Lucky22,UnitedStates,Five33Switchback,2022/01/25
VRL6 Meltdown,Dynamic Weather,74,341.894,Lucky22,UnitedStates,Five33Switchback,2022/01/25
VRL6 Reinforcement,Dynamic Weather,64,197.144,Lucky22,UnitedStates,Five33Switchback,2022/01/25
VRL6 Tunnel Vision,Dynamic Weather,126,298.883,Lucky22,UnitedStates,Five33Switchback,2022/01/25
VRL 7 Race 4,Dynamic Weather,999,999.999,Lucky22,NO_DATA
VRL 7 Track 1,Future Hangar,999,999.999,Lucky22,NO_DATA
VRL 7 Track 2,Future Hangar Empty,999,999.999,Lucky22,NO_DATA
VRL 7 Track 3,Dynamic Weather,999,999.999,Lucky22,NO_DATA
VRL 7 Track 5,Dynamic Weather,999,999.999,Lucky22,NO_DATA
VRL 7 Track 6,Dynamic Weather,999,999.999,Lucky22,NO_DATA
VRL7 Tryouts,Future Hangar Empty,999,999.999,Lucky22,NO_DATA
VRL S5 CHAMPIONSHIPS TRACK,Empty Scene Day,85,128.692,Lucky22,UnitedStates,Five33Switchback,2022/01/21
VRL S5 Track 1,Dynamic Weather,77,145.869,Lucky22,UnitedStates,Five33Switchback,2022/01/11
VRL S5 TRACK 2,Dynamic Weather,37,143.950,Lucky22,UnitedStates,Five33Switchback,2022/01/11
VRL S5 TRACK 3,Bando,88,174.193,Lucky22,UnitedStates,Five33Switchback,2022/01/11
VRL S5 TRACK 4,Empty Scene Day,67,160.837,Lucky22,UnitedStates,Five33Switchback,2022/01/11
VRL S5 TRACK 5,Dynamic Weather,40,158.190,Lucky22,UnitedStates,Five33Switchback,2022/01/22
VRL Season 3 Track 1,Empty Scene Day,86,89.358,Lucky22,UnitedStates,Five33Switchback,2022/01/15
VRL Season 3 Track 2,Empty Scene Day,94,90.434,Lucky22,UnitedStates,Five33Switchback,2022/01/15
VRL Season 3 Track 3,Empty Scene Day,47,123.210,Lucky22,UnitedStates,Five33Switchback,2022/01/15
VRL Season 3 Track 4,Empty Scene Day,81,163.182,Lucky22,UnitedStates,Five33Switchback,2022/01/15
VRL Season 3 Track 5,Empty Scene Day,61,104.422,Lucky22,UnitedStates,Five33Switchback,2022/01/15
VRL Season 3 Track 6,Empty Scene Day,35,182.653,Lucky22,UnitedStates,Five33Switchback,2022/01/15
VRL Season 4 Championship,Football Stadium,62,214.339,Lucky22,UnitedStates,Five33Switchback,2022/01/15
VRL Season 4 Track 1,Dynamic Weather,33,158.705,Lucky22,UnitedStates,Five33Switchback,2022/01/24
VRL Season 4 Track 2,Bando,43,151.228,Lucky22,UnitedStates,Five33Switchback,2022/01/24
VRL Season 4 Track 3,Basketball Stadium,93,98.968,Lucky22,UnitedStates,Five33Switchback,2022/01/24
VRL-Season-4-Track-4,Dynamic Weather,999,999.999,Lucky22,NO_DATA
VRL_Season_4_Track_5,Coastal,156,246.321,Lucky22,UnitedStates,Five33Switchback,2022/01/28
VRL_Season_4_Track_6,Dynamic Weather,50,203.724,Lucky22,UnitedStates,Five33Switchback,2022/01/28
VRL Season 4 Track 7,Dynamic Weather,33,122.097,Lucky22,UnitedStates,Five33Switchback,2022/01/24
VRL-Season-4-Tryouts,Dynamic Weather,999,999.999,Lucky22,NO_DATA
VRL SEASON 5 TRACK 6,Dynamic Weather,65,164.570,Lucky22,UnitedStates,Five33Switchback,2022/01/11
VRL SEASON 5 TRACK 7,IndoorGoKart,999,999.999,Lucky22,NO_DATA
VRL SEASON 5 TRACK 8,Industrial Wasteland,119,236.462,Lucky22,UnitedStates,Five33Switchback,2022/01/11
VRL SEASON 5 TRYOUTS,Dynamic Weather,46,161.977,Lucky22,UnitedStates,Five33Switchback,2022/01/12
VRL SEASON 6 TRYOUTS,Dynamic Weather,128,193.090,Lucky22,UnitedStates,Five33Switchback,2022/01/12
VRL Season 7 Championships,Dynamic Weather,999,999.999,Lucky22,NO_DATA
VRL Season 8 Championships,Dynamic Weather,130,179.817,Lucky22,UnitedStates,Five33Switchback,2022/02/16
VRL Season 8 Track 1,Office Complex,999,999.999,Lucky22,NO_DATA
VRL Season 8 Track 2,Drift Track,999,999.999,Lucky22,NO_DATA
VRL Season 8 Track 3,Night Factory 2,131,171.572,Lucky22,UnitedStates,Five33Switchback,2022/01/25
VRL Season 8 Track 4,DynamicPoly,96,271.100,Lucky22,UnitedStates,Five33Switchback,2022/01/25
VRL Season 8 Track 5,Dynamic Weather,125,192.824,Lucky22,UnitedStates,Five33Switchback,2021/12/29
VRL Season 8 Track 6,Night Factory 2,999,999.999,Lucky22,NO_DATA
VRL SEASON 8 TRACK 7,Dynamic Weather,133,137.710,Lucky22,UnitedStates,Five33Switchback,2022/01/23
VRL SEASON 8 TRYOUTS,RedValley,999,999.999,Lucky22,NO_DATA
