2020 Canadian MultiGP Series,Football Stadium,121,59.964,LukeS,Germany,Five33Switchback,2021/07/07
2020 MultiGP Champs presented by RDQ,Football Stadium,179,79.501,LukeS,Germany,Five33Switchback,2020/12/04
2021 MultiGP Champs Track 1,Empty Scene Day,179,113.939,LukeS,Germany,Five33Switchback,2021/10/21
2021 MultiGP Champs Track 2,Empty Scene Day,126,63.692,LukeS,Germany,Five33Switchback,2021/10/22
DEP Open Series 4 Race 1,Football Stadium,999,999.999,LukeS,NO_DATA
DEP Open Series 4 Race 2,Football Stadium,102,113.809,LukeS,Germany,Five33Switchback,2021/08/21
DEP Open Series 4 Race 3,Football Stadium,999,999.999,LukeS,NO_DATA
DEP Open Series 4 Race 4,Football Stadium,999,999.999,LukeS,NO_DATA
DEP Open Series 4 Race 5,Football Stadium,76,68.346,LukeS,Germany,Five33Switchback,2021/07/30
DEP Open Series 4 Race 6,Football Stadium,164,95.914,LukeS,Germany,Five33Switchback,2021/05/18
DEP Open Series 4 Race 7,Football Stadium,103,78.906,LukeS,Germany,Five33Switchback,2021/07/30
DEP Open Series 5 Race 1,Football Stadium,138,81.374,LukeS,Germany,Five33Switchback,2021/11/01
DEP Open Series 5 Race 2,Football Stadium,62,79.327,LukeS,Germany,Five33Switchback,2021/11/03
DEP Open Series 5 Race 3,Football Stadium,61,85.794,LukeS,Germany,Five33Switchback,2021/11/20
DEP Open Series 5 Race 4,Football Stadium,60,88.571,LukeS,Germany,Five33Switchback,2021/11/29
DEP Open Series 5 Race 5,Football Stadium,50,89.220,LukeS,Germany,Five33Switchback,2021/12/02
DEP Open Series 5 Race 6,Football Stadium,999,999.999,LukeS,NO_DATA
DEP Open Series 5 Race 7,Football Stadium,999,999.999,LukeS,NO_DATA
EU Spec Season 4 Race 1,Football Stadium,999,999.999,LukeS,NO_DATA
Mayhem 2021 By YAWESOME,Empty Scene Day,999,999.999,LukeS,NO_DATA
Mayhem 22 by SFPV,Empty Scene Day,999,999.999,LukeS,NO_DATA
Mayhem Dawn till Dusk,Empty Scene Day,24,49.941,LukeS,Germany,Five33Switchback,2021/08/06
MGP2018IOIntermediate,Empty Scene Day,999,999.999,LukeS,NO_DATA
MGP2018IORookie,Empty Scene Day,999,999.999,LukeS,NO_DATA
MGP2018IOTeam,Empty Scene Day,41,51.281,LukeS,Germany,Five33Switchback,2020/11/27
MGP2018IOWorldCup,Empty Scene Day,50,92.531,LukeS,Germany,Five33Switchback,2020/11/29
