DEP Open Series 6 Race 1,Football Stadium,49,70.077,MITRICHFT,RussianFederation,SouthEastFPV,2023/04/04
DEP Open Series 6 Race 2,Football Stadium,55,99.809,MITRICHFT,RussianFederation,Five33Switchback,2023/02/03
TBS EU Spec Series 12 Final,Dynamic Weather,999,999.999,MITRICHFT,NO_DATA
TBS EU Spec Series 12 Losers Final,Dynamic Weather,18,82.710,MITRICHFT,RussianFederation,Five33Switchback,2023/02/13
TBS EU Spec Series 12 Race 1,Dynamic Weather,82,88.824,MITRICHFT,RussianFederation,SniperX,2022/12/10
TBS EU Spec Series 12 Race 2,NEC Birmingham,999,999.999,MITRICHFT,NO_DATA
TBS EU Spec Series 12 Race 3,Dynamic Weather,45,75.403,MITRICHFT,RussianFederation,CarbiXZero,2022/12/31
TBS EU Spec Series 12 Race 4,Night Factory 2,999,999.999,MITRICHFT,NO_DATA
TBS EU Spec Series 12 Race 5,Dynamic Weather,47,77.854,MITRICHFT,RussianFederation,Five33Switchback,2023/01/14
TBS EU Spec Series 12 Race 6,Dynamic Weather,30,64.132,MITRICHFT,RussianFederation,SniperX,2023/01/20
TBS EU Spec Series 12 Race 7,Dynamic Weather,35,76.559,MITRICHFT,RussianFederation,Yakuza,2023/01/28
VRL S9 FINALS,Dynamic Weather,999,999.999,MITRICHFT,NO_DATA
VRL S9 T1,Dynamic Weather,90,97.779,MITRICHFT,RussianFederation,Five33Switchback,2023/01/18
VRL S9 T2,Dynamic Weather,100,82.646,MITRICHFT,RussianFederation,Five33Switchback,2023/01/24
VRL S9 T3,Dynamic Weather,109,80.880,MITRICHFT,RussianFederation,Five33Switchback,2023/02/01
VRL S9 T4,Dynamic Weather,96,99.975,MITRICHFT,RussianFederation,Five33Switchback,2023/02/07
VRL S9 T5,Dynamic Weather,69,101.987,MITRICHFT,RussianFederation,Five33Switchback,2023/02/25
VRL S9 T6,Dynamic Weather,999,999.999,MITRICHFT,NO_DATA
VRL S9 T7,Dynamic Weather,68,102.679,MITRICHFT,RussianFederation,CarbiXZero,2023/05/12
VRL S9 T8,Dynamic Weather,64,103.383,MITRICHFT,RussianFederation,SouthEastFPV,2023/04/11
VRL Season 9 Tryouts,Dynamic Weather,999,999.999,MITRICHFT,NO_DATA
