2020 Canadian MultiGP Series,Football Stadium,112,53.740,Musilex,Brazil,HX115,2022/10/20
2020 MultiGP Champs presented by RDQ,Football Stadium,999,999.999,Musilex,NO_DATA
2021 MultiGP Champs Track 1,Empty Scene Day,999,999.999,Musilex,NO_DATA
2021 MultiGP Champs Track 2,Empty Scene Day,999,999.999,Musilex,NO_DATA
2022 MultiGP IO Freedom Spec,Dynamic Weather,184,116.906,Musilex,Brazil,Five33Switchback,2023/03/12
2022 MultiGP IO Intermediate,Dynamic Weather,999,999.999,Musilex,NO_DATA
2022 MultiGP IO Mega Class by SFPV,Dynamic Weather,999,999.999,Musilex,NO_DATA
2022 MultiGP IO Micro,Countryside,999,999.999,Musilex,NO_DATA
2022 MultiGP IO Team,Dynamic Weather,999,999.999,Musilex,NO_DATA
2022 MultiGP IO World Cup,Dynamic Weather,999,999.999,Musilex,NO_DATA
2023 MultiGP GQ-AyyyKayyy,Dynamic Weather,999,999.999,Musilex,NO_DATA
2023 MultiGP GQ-BonerFPV,Dynamic Weather,168,31.544,Musilex,Brazil,Five33Switchback,2023/04/22
2023 MultiGP GQ-Fastodon,Dynamic Weather,999,999.999,Musilex,NO_DATA
2023 MultiGP GQ-Hakko,Dynamic Weather,138,50.923,Musilex,Brazil,Five33Switchback,2023/04/22
2023 MultiGP GQ-Hyper,Dynamic Weather,173,50.723,Musilex,Brazil,Five33Switchback,2023/04/22
2023 MultiGp GQ-Leviathann,Dynamic Weather,999,999.999,Musilex,NO_DATA
2023 MultiGP GQ-NMGrower,Dynamic Weather,186,50.331,Musilex,Brazil,Five33Switchback,2023/04/22
2023 MultiGP GQ-ROFL,Dynamic Weather,999,999.999,Musilex,NO_DATA
BDRA Championships 2022,Countryside,153,72.501,Musilex,Brazil,Five33Switchback,2023/01/21
CDRA 2023  Champs Hyper,Empty Scene Day,999,999.999,Musilex,NO_DATA
DEP Open Pop-Up 2,Dynamic Weather,157,89.222,Musilex,Brazil,Five33Switchback,2022/03/12
DEP Open Series 2 Race 1,Dynamic Weather,174,67.294,Musilex,Brazil,Five33Switchback,2022/03/13
DEP Open Series 2 Race 7,Football Stadium,143,108.511,Musilex,Brazil,Five33Switchback,2022/05/13
DEP Open Series 3 Race 1,Football Stadium,999,999.999,Musilex,NO_DATA
DEP Open Series 3 Race 2,Football Stadium,154,102.047,Musilex,Brazil,Five33Switchback,2022/05/13
DEP Open Series 3 Race 3,Karting Track,120,100.633,Musilex,Brazil,Five33Switchback,2021/03/10
DEP Open Series 3 Race 4,Football Stadium,190,76.749,Musilex,Brazil,Five33Switchback,2022/05/13
DEP Open Series 3 Race 5,Football Stadium,190,101.488,Musilex,Brazil,Five33Switchback,2022/05/13
DEP Open Series 3 Race 6,Football Stadium,139,119.604,Musilex,Brazil,Five33Switchback,2022/05/16
DEP Open Series 3 Race 7,Football Stadium,116,98.983,Musilex,Brazil,Five33Switchback,2022/05/19
DEP Open Series 4 Race 1,Football Stadium,152,101.871,Musilex,Brazil,Five33Switchback,2022/07/09
DEP Open Series 4 Race 2,Football Stadium,135,118.910,Musilex,Brazil,Five33Switchback,2022/08/01
DEP Open Series 4 Race 3,Football Stadium,104,75.463,Musilex,Brazil,Five33Switchback,2022/11/30
DEP Open Series 4 Race 4,Football Stadium,124,101.361,Musilex,Brazil,Five33Switchback,2023/01/01
DEP Open Series 4 Race 5,Football Stadium,124,70.455,Musilex,Brazil,Five33Switchback,2022/08/01
DEP Open Series 4 Race 6,Football Stadium,135,80.895,Musilex,Brazil,Five33Switchback,2021/05/18
DEP Open Series 4 Race 7,Football Stadium,192,88.853,Musilex,Brazil,Five33Switchback,2022/11/05
DEP Open Series 5 Race 1,Football Stadium,999,999.999,Musilex,NO_DATA
DEP Open Series 5 Race 2,Football Stadium,133,93.609,Musilex,Brazil,Five33Switchback,2022/11/06
DEP Open Series 5 Race 3,Football Stadium,86,89.732,Musilex,Brazil,Five33Switchback,2023/01/14
DEP Open Series 5 Race 4,Football Stadium,144,103.678,Musilex,Brazil,Five33Switchback,2022/11/06
DEP Open Series 5 Race 5,Football Stadium,139,110.643,Musilex,Brazil,Five33Switchback,2022/11/06
DEP Open Series 5 Race 6,Football Stadium,147,89.459,Musilex,Brazil,Five33Switchback,2022/11/30
DEP Open Series 5 Race 7,Football Stadium,132,119.876,Musilex,Brazil,Five33Switchback,2022/12/04
DEP Open Series 6 Race 1,Football Stadium,114,84.672,Musilex,Brazil,Five33Switchback,2022/12/04
DEP Open Series 6 Race 2,Football Stadium,103,117.658,Musilex,Brazil,Five33Switchback,2022/12/10
DEP Spec Series 1 Race 5,Football Stadium,160,113.054,Musilex,Brazil,Five33Switchback,2022/12/10
EU Spec Season 4 Race 1,Football Stadium,170,99.811,Musilex,Brazil,Five33Switchback,2023/01/01
IO 2023 Main Stage FAI Yawesome,Empty Scene Day,999,999.999,Musilex,NO_DATA
