VRL 7 Race 4,Dynamic Weather,18,84.646,NeonFPV,UnitedStates,Mode2Ghost,2020/12/06
VRL 7 Track 1,Future Hangar,45,95.448,NeonFPV,UnitedStates,Mode2Ghost,2020/10/31
VRL 7 Track 2,Future Hangar Empty,22,91.255,NeonFPV,UnitedStates,Mode2Ghost,2020/11/14
VRL 7 Track 3,Dynamic Weather,23,70.396,NeonFPV,UnitedStates,Mode2Ghost,2020/11/21
VRL 7 Track 5,Dynamic Weather,31,82.196,NeonFPV,UnitedStates,Mode2Ghost,2020/12/13
VRL 7 Track 6,Dynamic Weather,34,80.663,NeonFPV,UnitedStates,CarbiXZero,2020/12/19
VRL7 Tryouts,Future Hangar Empty,61,93.860,NeonFPV,UnitedStates,Mode2Ghost,2020/10/03
VRL Season 7 Championships,Dynamic Weather,5,93.281,NeonFPV,UnitedStates,Solleva,2022/01/23
VRL Season 8 Championships,Dynamic Weather,6,66.072,NeonFPV,UnitedStates,Five33Switchback,2022/02/06
VRL Season 8 Track 1,Office Complex,12,106.467,NeonFPV,UnitedStates,Solleva,2021/11/13
VRL Season 8 Track 2,Drift Track,14,82.397,NeonFPV,UnitedStates,Solleva,2021/11/20
VRL Season 8 Track 3,Night Factory 2,15,96.878,NeonFPV,UnitedStates,Solleva,2021/12/05
VRL Season 8 Track 4,DynamicPoly,9,102.001,NeonFPV,UnitedStates,Solleva,2021/12/11
VRL Season 8 Track 5,Dynamic Weather,7,90.870,NeonFPV,UnitedStates,Solleva,2021/12/18
VRL Season 8 Track 6,Night Factory 2,7,95.611,NeonFPV,UnitedStates,Solleva,2022/01/14
VRL SEASON 8 TRACK 7,Dynamic Weather,7,71.175,NeonFPV,UnitedStates,Solleva,2022/01/22
VRL SEASON 8 TRYOUTS,RedValley,999,999.999,NeonFPV,NO_DATA
Week 10 TT - MCKPractice2,Football Stadium,6,41.247,NeonFPV,UnitedStates,Five33Switchback,2022/02/10
Week 12 TT - GQ22 by Chris M,Football Stadium,2,26.188,NeonFPV,UnitedStates,Five33Switchback,2022/02/06
Week 1 TT - Levice by TheFPVdoctor,Empty Scene Day,999,999.999,NeonFPV,NO_DATA
Week 2 TT - Ruinous by NM Grower,Dynamic Weather,999,999.999,NeonFPV,NO_DATA
Week 5 TT - Cuernavaca LightPath by MorshaFPV,Empty Scene Night,1,42.675,NeonFPV,UnitedStates,Five33Switchback,2022/02/01
Week 8 TT - DF1 by DragonFlyte,Dynamic Weather,999,999.999,NeonFPV,NO_DATA
Week 9 TT - CM17 by Chris M,Football Stadium,5,50.772,NeonFPV,UnitedStates,Solleva,2021/12/26
