EU Spec Season 4 Race 1,Football Stadium,106,92.908,PTEREK,Poland,TBSSpec,2020/05/11
RCTech_de EU Spec Series 3 Final,Empty Scene Day,65,79.131,PTEREK,Poland,TBSSpec,2020/04/27
RCTech.de EU Spec Series 3 Race 1,NEC Birmingham,65,66.916,PTEREK,Poland,TBSSpec,2020/05/06
RCTech.de EU Spec Series 3 Race 2,Empty Scene Day,999,999.999,PTEREK,NO_DATA
RCTech.de EU Spec Series 3 Race 3,Empty Scene Day,123,111.685,PTEREK,Poland,TBSSpec,2020/08/02
RCTech.de EU Spec Series 3 Race 5,Empty Scene Day,49,101.548,PTEREK,Poland,TBSSpec,2020/04/08
RCTech.de EU Spec Series 3 Race 6,NEC Birmingham,64,79.497,PTEREK,Poland,TBSSpec,2020/04/09
TBS EU Spec Series 4 FINAL,Dynamic Weather,100,95.304,PTEREK,Poland,TBSSpec,2020/07/06
TBS EU Spec Series 4 Race 2,Empty Scene Day,88,70.877,PTEREK,Poland,TBSSpec,2020/05/26
TBS EU Spec Series 4 Race 3,IndoorGoKart,999,999.999,PTEREK,NO_DATA
TBS EU Spec Series 4 Race 4,Empty Scene Day,999,999.999,PTEREK,NO_DATA
TBS EU Spec Series 4 Race 5,Dynamic Weather,999,999.999,PTEREK,NO_DATA
TBS EU Spec Series 4 Race 7,Football Stadium,95,78.237,PTEREK,Poland,TBSSpec,2020/07/01
TBS EU Spec Series 6 Final,Empty Scene Day,82,88.108,PTEREK,Poland,TBSSpec,2020/12/08
TBS EU Spec Series 6 Losers Final,Football Stadium,32,70.587,PTEREK,Poland,Five33Switchback,2021/01/10
TBS EU Spec Series 6 Race 1,Future Hangar Empty,999,999.999,PTEREK,NO_DATA
TBS EU Spec Series 6 Race 2,Empty Scene Day,149,79.413,PTEREK,Poland,TBSSpec,2020/11/03
TBS EU Spec Series 6 Race 4,NEC Birmingham,70,76.072,PTEREK,Poland,TBSSpec,2020/10/30
TBS EU Spec Series 6 Race 5,Dynamic Weather,999,999.999,PTEREK,NO_DATA
TBS EU Spec Series 6 Race 6,Empty Scene Day,72,80.187,PTEREK,Poland,TBSSpec,2020/11/29
TBS EU Spec Series 6 Race 7,Empty Scene Day,112,62.564,PTEREK,Poland,TBSSpec,2020/12/21
TBS EU Spec Series 7 Final,Empty Scene Day,117,82.792,PTEREK,Poland,TBSSpec,2021/03/16
TBS EU Spec Series 7 Race 1,Football Stadium,121,77.723,PTEREK,Poland,TBSSpec,2021/01/07
TBS EU Spec Series 7 Race 2,Empty Scene Day,95,74.578,PTEREK,Poland,TBSSpec,2021/01/20
TBS EU Spec Series 7 Race 3,Empty Scene Day,103,78.173,PTEREK,Poland,TBSSpec,2021/01/25
TBS EU Spec Series 7 Race 4,Empty Scene Day,112,76.080,PTEREK,Poland,TBSSpec,2021/02/08
TBS EU Spec Series 7 Race 5,IndoorGoKart,999,999.999,PTEREK,NO_DATA
TBS EU Spec Series 7 Race 6,Future Hangar Empty,91,77.697,PTEREK,Poland,TBSSpec,2021/02/15
TBS EU Spec Series 7 Race 7,Empty Scene Day,86,83.272,PTEREK,Poland,TBSSpec,2021/03/01
