TBS EU Spec Series 10 FINAL --- ChrisM,Football Stadium,30,74.330,QF1QTFPV,UnitedStates,TBSSpec,2022/02/17
TBS EU Spec Series 10 Losers Final,Football Stadium,999,999.999,QF1QTFPV,NO_DATA
TBS EU Spec Series 10 Race 1,Football Stadium,30,58.464,QF1QTFPV,UnitedStates,TBSSpec,2021/12/02
TBS EU Spec Series 10 Race 2,Empty Scene Day,999,999.999,QF1QTFPV,NO_DATA
TBS EU Spec Series 10 Race 3,Night Factory 2,31,67.246,QF1QTFPV,UnitedStates,TBSSpec,2021/12/16
TBS EU Spec Series 10 Race 4,Dynamic Weather,34,64.717,QF1QTFPV,UnitedStates,TBSSpec,2022/01/18
TBS EU Spec Series 10 Race 5 _2,IndoorGoKart,999,999.999,QF1QTFPV,NO_DATA
TBS EU Spec Series 10 Race 6,Large Carpark,21,35.317,QF1QTFPV,UnitedStates,TBSSpec,2022/01/27
TBS EU Spec Series 10 Race 7,Football Stadium,27,68.751,QF1QTFPV,UnitedStates,TBSSpec,2022/02/03
TBS EU Spec Series 7 Final,Empty Scene Day,59,74.700,QF1QTFPV,UnitedStates,TBSSpec,2021/03/04
TBS EU Spec Series 7 Race 1,Football Stadium,999,999.999,QF1QTFPV,NO_DATA
TBS EU Spec Series 7 Race 2,Empty Scene Day,63,70.826,QF1QTFPV,UnitedStates,TBSSpec,2021/01/14
TBS EU Spec Series 7 Race 3,Empty Scene Day,84,75.684,QF1QTFPV,UnitedStates,TBSSpec,2021/01/21
TBS EU Spec Series 7 Race 4,Empty Scene Day,86,72.803,QF1QTFPV,UnitedStates,TBSSpec,2021/01/28
TBS EU Spec Series 7 Race 5,IndoorGoKart,999,999.999,QF1QTFPV,NO_DATA
TBS EU Spec Series 7 Race 6,Future Hangar Empty,46,70.693,QF1QTFPV,UnitedStates,TBSSpec,2021/02/11
TBS EU Spec Series 7 Race 7,Empty Scene Day,61,78.112,QF1QTFPV,UnitedStates,TBSSpec,2021/02/18
TBS EU Spec Series 9 Final,Dynamic Weather,69,66.001,QF1QTFPV,UnitedStates,TBSSpec,2021/11/11
TBS EU Spec Series 9 Losers Final,Dynamic Weather,999,999.999,QF1QTFPV,NO_DATA
TBS EU Spec Series 9 Race 1,Football Stadium,38,56.981,QF1QTFPV,UnitedStates,TBSSpec,2021/09/09
TBS EU Spec Series 9 Race 2,Dynamic Weather,44,56.469,QF1QTFPV,UnitedStates,TBSSpec,2021/09/16
TBS EU Spec Series 9 Race 3,Empty Scene Day,49,60.895,QF1QTFPV,UnitedStates,TBSSpec,2021/09/23
TBS EU Spec Series 9 Race 4,Football Stadium,30,65.556,QF1QTFPV,UnitedStates,TBSSpec,2021/09/30
TBS EU Spec Series 9 Race 5,Empty Scene Day,51,66.430,QF1QTFPV,UnitedStates,TBSSpec,2021/10/07
TBS EU Spec Series 9 Race 6,Empty Scene Day,21,64.332,QF1QTFPV,UnitedStates,TBSSpec,2021/10/21
TBS EU Spec Series 9 Race 7,NEC Birmingham,25,62.457,QF1QTFPV,UnitedStates,TBSSpec,2021/10/28
VRL 7 Race 4,Dynamic Weather,53,88.691,QF1QTFPV,UnitedStates,Five33Switchback,2020/12/05
VRL 7 Track 1,Future Hangar,999,999.999,QF1QTFPV,NO_DATA
VRL 7 Track 2,Future Hangar Empty,73,103.537,QF1QTFPV,UnitedStates,Five33Switchback,2020/11/05
VRL 7 Track 3,Dynamic Weather,40,71.591,QF1QTFPV,UnitedStates,Five33Switchback,2020/11/21
VRL 7 Track 5,Dynamic Weather,54,83.927,QF1QTFPV,UnitedStates,Five33Switchback,2020/12/09
VRL 7 Track 6,Dynamic Weather,46,81.624,QF1QTFPV,UnitedStates,Five33Switchback,2020/12/17
VRL7 Tryouts,Future Hangar Empty,63,94.017,QF1QTFPV,UnitedStates,Five33Switchback,2020/10/09
VRL Season 7 Championships,Dynamic Weather,61,103.072,QF1QTFPV,UnitedStates,Five33Switchback,2021/09/08
VRL Season 8 Championships,Dynamic Weather,24,73.317,QF1QTFPV,UnitedStates,Five33Switchback,2022/02/05
VRL Season 8 Track 1,Office Complex,40,123.412,QF1QTFPV,UnitedStates,Five33Switchback,2021/11/09
VRL Season 8 Track 2,Drift Track,36,87.638,QF1QTFPV,UnitedStates,Five33Switchback,2021/11/18
VRL Season 8 Track 3,Night Factory 2,21,98.731,QF1QTFPV,UnitedStates,Five33Switchback,2021/12/02
VRL Season 8 Track 4,DynamicPoly,24,109.695,QF1QTFPV,UnitedStates,Five33Switchback,2021/12/11
VRL Season 8 Track 5,Dynamic Weather,24,95.194,QF1QTFPV,UnitedStates,Five33Switchback,2021/12/17
VRL Season 8 Track 6,Night Factory 2,27,101.003,QF1QTFPV,UnitedStates,Five33Switchback,2022/01/14
VRL SEASON 8 TRACK 7,Dynamic Weather,23,75.232,QF1QTFPV,UnitedStates,Five33Switchback,2022/01/22
VRL SEASON 8 TRYOUTS,RedValley,999,999.999,QF1QTFPV,NO_DATA
