TBS EU Spec Series 6 Final,Empty Scene Day,43,82.775,RAFN,Denmark,Five33Switchback,2020/12/10
TBS EU Spec Series 6 Losers Final,Football Stadium,148,88.837,RAFN,Denmark,TBSSpec,2021/04/23
TBS EU Spec Series 6 Race 1,Future Hangar Empty,999,999.999,RAFN,NO_DATA
TBS EU Spec Series 6 Race 2,Empty Scene Day,999,999.999,RAFN,NO_DATA
TBS EU Spec Series 6 Race 4,NEC Birmingham,33,64.992,RAFN,Denmark,Five33Switchback,2020/11/07
TBS EU Spec Series 6 Race 5,Dynamic Weather,39,82.529,RAFN,Denmark,TBSSpec,2020/11/07
TBS EU Spec Series 6 Race 6,Empty Scene Day,999,999.999,RAFN,NO_DATA
TBS EU Spec Series 6 Race 7,Empty Scene Day,119,63.005,RAFN,Denmark,Five33Switchback,2020/12/22
TBS EU Spec Series 7 Final,Empty Scene Day,999,999.999,RAFN,NO_DATA
TBS EU Spec Series 7 Race 1,Football Stadium,152,81.374,RAFN,Denmark,TBSSpec,2021/01/11
TBS EU Spec Series 7 Race 2,Empty Scene Day,105,76.111,RAFN,Denmark,TBSSpec,2021/02/15
TBS EU Spec Series 7 Race 3,Empty Scene Day,154,84.066,RAFN,Denmark,TBSSpec,2021/01/27
TBS EU Spec Series 7 Race 4,Empty Scene Day,141,79.572,RAFN,Denmark,TBSSpec,2021/02/07
TBS EU Spec Series 7 Race 5,IndoorGoKart,142,83.979,RAFN,Denmark,TBSSpec,2021/02/07
TBS EU Spec Series 7 Race 6,Future Hangar Empty,117,81.656,RAFN,Denmark,TBSSpec,2021/02/15
TBS EU Spec Series 7 Race 7,Empty Scene Day,999,999.999,RAFN,NO_DATA
