2022 MultiGP IO Freedom Spec,Dynamic Weather,999,999.999,RIVALSKneeDown,NO_DATA
2022 MultiGP IO Intermediate,Dynamic Weather,999,999.999,RIVALSKneeDown,NO_DATA
2022 MultiGP IO Team,Dynamic Weather,49,65.528,RIVALSKneeDown,UnitedStates,TBSSpec,2022/05/26
2022 MultiGP IO World Cup,Dynamic Weather,51,72.436,RIVALSKneeDown,UnitedStates,TBSSpec,2022/05/27
EU Spec Season 4 Race 1,Football Stadium,78,89.951,RIVALSKneeDown,UnitedStates,TBSSpec,2021/11/12
Mayhem 22 by SFPV,Empty Scene Day,67,67.500,RIVALSKneeDown,UnitedStates,TBSSpec,2022/03/30
MGP Ice Rink Race 2022,Empty Scene Day,999,999.999,RIVALSKneeDown,NO_DATA
MultiGP 2022 Global Qualifier,Dynamic Weather,121,34.963,RIVALSKneeDown,UnitedStates,TBSSpec,2022/04/26
Quad Rivals 2021 Race 10 - 2021 is Dead,Empty Scene Day,20,82.859,RIVALSKneeDown,UnitedStates,Five33Switchback,2022/01/17
Quad Rivals 2021 Race 1 - Season Warmup,Football Stadium,999,999.999,RIVALSKneeDown,NO_DATA
Quad Rivals 2021 Race 2 - Season Opener,Empty Scene Day,59,72.010,RIVALSKneeDown,UnitedStates,TBSSpec,2021/06/29
Quad Rivals 2021 Race 3 - Devils Ridge,Empty Scene Day,36,74.330,RIVALSKneeDown,UnitedStates,TBSSpec,2021/06/29
Quad Rivals 2021 Race 4 - Freedom Spec,Empty Scene Day,23,60.453,RIVALSKneeDown,UnitedStates,CarbiXZero,2021/05/25
Quad Rivals 2021 Race 5 - Bring the Heat,Empty Scene Day,49,77.191,RIVALSKneeDown,UnitedStates,TBSSpec,2021/06/29
Quad Rivals 2021 Race 6 - Temperature Warning,Empty Scene Day,83,70.600,RIVALSKneeDown,UnitedStates,TBSSpec,2021/09/22
Quad Rivals 2021 Race 7 - Around the Trees in 20 Seconds,Empty Scene Day,125,120.113,RIVALSKneeDown,UnitedStates,TBSSpec,2021/10/30
