
RCTech.de EU Spec Series 2 Final,Empty Scene Day,999,999.999,ROBO__FPV,NO_DATA
RCTech.de EU Spec Series 2 Losers FInal,Empty Scene Day,160,100.032,ROBO__FPV,Poland,TBSSpec,2020/08/14
RCTech.de EU Spec Series 2 Race 1,Football Stadium,999,999.999,ROBO__FPV,NO_DATA
RCTech.de EU Spec Series 2 Race 3,Empty Scene Day,173,112.037,ROBO__FPV,Poland,TBSSpec,2020/10/01
RCTech.de EU Spec Series 2 Race 4,Empty Scene Day,174,100.963,ROBO__FPV,Poland,TBSSpec,2020/10/01
RCTech.de EU Spec Series 2 Race 5,IndoorGoKart,182,122.135,ROBO__FPV,Poland,TBSSpec,2020/10/01
RCTech.de EU Spec Series 2 Race 6,Empty Scene Day,113,111.407,ROBO__FPV,Poland,TBSSpec,2020/10/01
TBS EU Spec Season 5 Race 1,Football Stadium,999,999.999,ROBO__FPV,NO_DATA
TBS EU Spec Series 10 Race 1,Football Stadium,200,111.236,ROBO__FPV,Poland,TBSSpec,2021/12/03
TBS EU Spec Series 10 Race 2,Empty Scene Day,168,105.779,ROBO__FPV,Poland,TBSSpec,2021/12/16
TBS EU Spec Series 10 Race 3,Night Factory 2,166,125.265,ROBO__FPV,Poland,TBSSpec,2021/12/19
TBS EU Spec Series 10 Race 4,Dynamic Weather,190,109.209,ROBO__FPV,Poland,TBSSpec,2022/01/09
TBS EU Spec Series 10 Race 5 _2,IndoorGoKart,184,135.479,ROBO__FPV,Poland,TBSSpec,2022/01/24
TBS EU Spec Series 10 Race 6,Large Carpark,999,999.999,ROBO__FPV,NO_DATA
TBS EU Spec Series 10 Race 7,Football Stadium,999,999.999,ROBO__FPV,NO_DATA
TBS EU Spec Series 5 FINAL ,Dynamic Weather,146,105.731,ROBO__FPV,Poland,TBSSpec,2021/01/25
TBS EU Spec Series 5 FINAL,Dynamic Weather,146,105.731,ROBO__FPV,Poland,TBSSpec,2021/01/25
TBS EU Spec Series 5 Losers Final,Dynamic Weather,147,102.012,ROBO__FPV,Poland,TBSSpec,2020/10/06
TBS EU Spec Series 5 Race 3,Dynamic Weather,170,103.613,ROBO__FPV,Poland,TBSSpec,2020/10/06
TBS EU Spec Series 5 Race 4,Football Stadium,168,105.995,ROBO__FPV,Poland,TBSSpec,2020/07/30
TBS EU Spec Series 5 Race 5,NEC Birmingham,156,96.884,ROBO__FPV,Poland,TBSSpec,2020/08/14
TBS EU Spec Series 5 Race 6,Dynamic Weather,199,97.722,ROBO__FPV,Poland,TBSSpec,2020/10/06
TBS EU Spec Series 5 Race 7,IndoorGoKart,141,98.368,ROBO__FPV,Poland,TBSSpec,2020/10/04
