DEP Open Series 3 Race 1,Football Stadium,1,41.005,RustyBatuFPV,Germany,Five33Switchback,2021/02/17
DEP Open Series 3 Race 2,Football Stadium,139,100.902,RustyBatuFPV,Germany,Five33Switchback,2021/03/14
DEP Open Series 3 Race 3,Karting Track,126,107.722,RustyBatuFPV,Germany,Five33Switchback,2021/02/24
DEP Open Series 3 Race 4,Football Stadium,173,76.887,RustyBatuFPV,Germany,Five33Switchback,2021/02/24
DEP Open Series 3 Race 5,Football Stadium,999,999.999,RustyBatuFPV,NO_DATA
DEP Open Series 3 Race 6,Football Stadium,999,999.999,RustyBatuFPV,NO_DATA
DEP Open Series 3 Race 7,Football Stadium,195,124.377,RustyBatuFPV,Germany,TBSSpec,2021/03/18
EU Spec Season 4 Race 1,Football Stadium,999,999.999,RustyBatuFPV,NO_DATA
RCTech.de EU Spec Series 2 Final,Empty Scene Day,999,999.999,RustyBatuFPV,NO_DATA
RCTech.de EU Spec Series 2 Losers FInal,Empty Scene Day,999,999.999,RustyBatuFPV,NO_DATA
RCTech.de EU Spec Series 2 Race 1,Football Stadium,190,73.481,RustyBatuFPV,Germany,Five33Switchback,2020/12/23
RCTech.de EU Spec Series 2 Race 3,Empty Scene Day,999,999.999,RustyBatuFPV,NO_DATA
RCTech.de EU Spec Series 2 Race 4,Empty Scene Day,51,67.373,RustyBatuFPV,Germany,TBSSpec,2020/05/21
RCTech.de EU Spec Series 2 Race 5,IndoorGoKart,999,999.999,RustyBatuFPV,NO_DATA
RCTech.de EU Spec Series 2 Race 6,Empty Scene Day,999,999.999,RustyBatuFPV,NO_DATA
RCTech_de EU Spec Series 3 Final,Empty Scene Day,168,95.175,RustyBatuFPV,Germany,TBSSpec,2021/07/08
RCTech.de EU Spec Series 3 Race 1,NEC Birmingham,59,62.399,RustyBatuFPV,Germany,Mode2Ghost,2020/05/15
RCTech.de EU Spec Series 3 Race 2,Empty Scene Day,183,92.781,RustyBatuFPV,Germany,TBSSpec,2020/05/21
RCTech.de EU Spec Series 3 Race 3,Empty Scene Day,41,79.039,RustyBatuFPV,Germany,Mode2Ghost,2020/05/15
RCTech.de EU Spec Series 3 Race 5,Empty Scene Day,60,101.333,RustyBatuFPV,Germany,Mode2Ghost,2020/05/18
RCTech.de EU Spec Series 3 Race 6,NEC Birmingham,154,96.639,RustyBatuFPV,Germany,TBSSpec,2020/05/21
TBS EU Spec Season 5 Race 1,Football Stadium,159,67.267,RustyBatuFPV,Germany,Mode2Ghost,2020/07/22
TBS EU Spec Series 10 FINAL --- ChrisM,Football Stadium,999,999.999,RustyBatuFPV,NO_DATA
TBS EU Spec Series 10 Losers Final,Football Stadium,999,999.999,RustyBatuFPV,NO_DATA
TBS EU Spec Series 10 Race 1,Football Stadium,52,61.666,RustyBatuFPV,Germany,TBSSpec,2021/12/02
TBS EU Spec Series 10 Race 2,Empty Scene Day,999,999.999,RustyBatuFPV,NO_DATA
TBS EU Spec Series 10 Race 3,Night Factory 2,999,999.999,RustyBatuFPV,NO_DATA
TBS EU Spec Series 10 Race 4,Dynamic Weather,33,63.374,RustyBatuFPV,Germany,TBSSpec,2022/01/27
TBS EU Spec Series 10 Race 5 _2,IndoorGoKart,7,50.483,RustyBatuFPV,Germany,Five33Switchback,2022/01/21
TBS EU Spec Series 10 Race 6,Large Carpark,47,46.380,RustyBatuFPV,Germany,TBSSpec,2022/01/27
TBS EU Spec Series 10 Race 7,Football Stadium,108,81.478,RustyBatuFPV,Germany,TBSSpec,2022/02/03
TBS EU Spec Series 11 Final,Dynamic Weather,999,999.999,RustyBatuFPV,NO_DATA
TBS EU Spec Series 11 Race 1,Dynamic Weather,999,999.999,RustyBatuFPV,NO_DATA
TBS EU Spec Series 11 Race 2,Countryside,999,999.999,RustyBatuFPV,NO_DATA
TBS EU Spec Series 11 Race 3,Dynamic Weather,999,999.999,RustyBatuFPV,NO_DATA
TBS EU Spec Series 11 Race 5,Dynamic Weather,999,999.999,RustyBatuFPV,NO_DATA
TBS EU Spec Series 11 Race 5,NEC Birmingham,47,63.889,RustyBatuFPV,Germany,TBSSpec,2022/07/14
TBS EU Spec Series 11 Race 6,Dynamic Weather,10,53.872,RustyBatuFPV,Germany,TBSSpec,2022/07/14
TBS EU Spec Series 11 Race 7,Dynamic Weather,999,999.999,RustyBatuFPV,NO_DATA
TBS EU Spec Series 4 FINAL,Dynamic Weather,999,999.999,RustyBatuFPV,NO_DATA
TBS EU Spec Series 4 Race 2,Empty Scene Day,164,77.543,RustyBatuFPV,Germany,Mode2Ghost,2020/05/15
TBS EU Spec Series 4 Race 3,IndoorGoKart,63,108.585,RustyBatuFPV,Germany,TBSSpec,2020/05/21
