TBS EU Spec Series 8 Final,Dynamic Weather,999,999.999,SIMRaiToR,NO_DATA
TBS EU Spec Series 8 Losers Final,Dynamic Weather,36,57.879,SIMRaiToR,Germany,TBSSpec,2021/11/07
TBS EU Spec Series 8 Race 1,Dynamic Weather,30,73.417,SIMRaiToR,Germany,TBSSpec,2021/11/10
TBS EU Spec Series 8 Race 2,Empty Scene Night,106,93.243,SIMRaiToR,Germany,TBSSpec,2021/11/10
TBS EU Spec Series 8 Race 3,Football Stadium,82,65.116,SIMRaiToR,Germany,TBSSpec,2021/11/10
TBS EU Spec Series 8 Race 4,Empty Scene Day,32,73.668,SIMRaiToR,Germany,TBSSpec,2021/11/10
TBS EU Spec Series 8 Race 5,Future Hangar Empty,999,999.999,SIMRaiToR,NO_DATA
TBS EU Spec Series 8 Race 6,Football Stadium,33,61.145,SIMRaiToR,Germany,TBSSpec,2021/11/11
TBS EU Spec Series 8 Race 7,Empty Scene Day,61,74.485,SIMRaiToR,Germany,Five33Switchback,2021/09/07
TBS EU Spec Series 9 Final,Dynamic Weather,79,67.273,SIMRaiToR,Germany,TBSSpec,2021/11/11
TBS EU Spec Series 9 Losers Final,Dynamic Weather,40,65.149,SIMRaiToR,Germany,TBSSpec,2021/11/07
TBS EU Spec Series 9 Race 1,Football Stadium,49,58.096,SIMRaiToR,Germany,TBSSpec,2021/09/09
TBS EU Spec Series 9 Race 2,Dynamic Weather,15,50.869,SIMRaiToR,Germany,Five33Switchback,2021/10/16
TBS EU Spec Series 9 Race 3,Empty Scene Day,43,60.026,SIMRaiToR,Germany,TBSSpec,2021/09/23
TBS EU Spec Series 9 Race 4,Football Stadium,38,67.090,SIMRaiToR,Germany,TBSSpec,2021/10/07
TBS EU Spec Series 9 Race 5,Empty Scene Day,17,57.840,SIMRaiToR,Germany,Five33Switchback,2021/10/09
TBS EU Spec Series 9 Race 6,Empty Scene Day,24,64.844,SIMRaiToR,Germany,TBSSpec,2021/10/21
TBS EU Spec Series 9 Race 7,NEC Birmingham,29,63.491,SIMRaiToR,Germany,TBSSpec,2021/10/28
VRL Season 8 Championships,Dynamic Weather,999,999.999,SIMRaiToR,NO_DATA
VRL Season 8 Track 1,Office Complex,32,118.690,SIMRaiToR,Germany,Five33Switchback,2021/10/24
VRL Season 8 Track 2,Drift Track,27,85.045,SIMRaiToR,Germany,Mode2Ghost,2021/11/16
VRL Season 8 Track 3,Night Factory 2,23,98.813,SIMRaiToR,Germany,CarbiXZero,2021/11/28
VRL Season 8 Track 4,DynamicPoly,45,121.321,SIMRaiToR,Germany,CarbiXZero,2021/12/07
VRL Season 8 Track 5,Dynamic Weather,35,98.329,SIMRaiToR,Germany,CarbiXZero,2021/12/16
VRL Season 8 Track 6,Night Factory 2,51,110.825,SIMRaiToR,Germany,CarbiXZero,2022/01/08
VRL SEASON 8 TRACK 7,Dynamic Weather,999,999.999,SIMRaiToR,NO_DATA
VRL SEASON 8 TRYOUTS,RedValley,999,999.999,SIMRaiToR,NO_DATA
