EU Spec Season 4 Race 1,Football Stadium,33,82.993,SIMSFPV,UnitedStates,TBSSpec,2020/04/30
TBS EU Spec Season 5 Race 1,Football Stadium,16,54.690,SIMSFPV,UnitedStates,Solleva,2020/07/14
TBS EU Spec Series 4 FINAL,Dynamic Weather,39,82.934,SIMSFPV,UnitedStates,TBSSpec,2020/06/25
TBS EU Spec Series 4 Race 2,Empty Scene Day,999,999.999,SIMSFPV,NO_DATA
TBS EU Spec Series 4 Race 3,IndoorGoKart,9,89.576,SIMSFPV,UnitedStates,TBSSpec,2020/05/21
TBS EU Spec Series 4 Race 4,Empty Scene Day,16,76.081,SIMSFPV,UnitedStates,Five33Switchback,2020/05/28
TBS EU Spec Series 4 Race 5,Dynamic Weather,136,106.789,SIMSFPV,UnitedStates,TBSSpec,2020/06/04
TBS EU Spec Series 4 Race 7,Football Stadium,999,999.999,SIMSFPV,NO_DATA
TBS EU Spec Series 5 FINAL,Dynamic Weather,19,76.931,SIMSFPV,UnitedStates,TBSSpec,2020/09/10
TBS EU Spec Series 5 Losers Final,Dynamic Weather,18,73.193,SIMSFPV,UnitedStates,TBSSpec,2021/11/11
TBS EU Spec Series 5 Race 3,Dynamic Weather,20,69.756,SIMSFPV,UnitedStates,TBSSpec,2020/07/23
TBS EU Spec Series 5 Race 4,Football Stadium,999,999.999,SIMSFPV,NO_DATA
TBS EU Spec Series 5 Race 5,NEC Birmingham,999,999.999,SIMSFPV,NO_DATA
TBS EU Spec Series 5 Race 6,Dynamic Weather,12,62.103,SIMSFPV,UnitedStates,TBSSpec,2020/08/20
TBS EU Spec Series 5 Race 7,IndoorGoKart,28,72.207,SIMSFPV,UnitedStates,TBSSpec,2020/08/27
TBS EU Spec Series 9 Final,Dynamic Weather,25,59.856,SIMSFPV,UnitedStates,Solleva,2021/11/15
TBS EU Spec Series 9 Losers Final,Dynamic Weather,47,66.340,SIMSFPV,UnitedStates,TBSSpec,2021/11/07
TBS EU Spec Series 9 Race 1,Football Stadium,35,56.328,SIMSFPV,UnitedStates,TBSSpec,2021/09/16
TBS EU Spec Series 9 Race 2,Dynamic Weather,39,55.932,SIMSFPV,UnitedStates,TBSSpec,2021/09/16
TBS EU Spec Series 9 Race 3,Empty Scene Day,8,54.877,SIMSFPV,UnitedStates,Ossa,2021/10/04
TBS EU Spec Series 9 Race 4,Football Stadium,19,62.869,SIMSFPV,UnitedStates,TBSSpec,2021/10/01
TBS EU Spec Series 9 Race 5,Empty Scene Day,999,999.999,SIMSFPV,NO_DATA
TBS EU Spec Series 9 Race 6,Empty Scene Day,21,64.732,SIMSFPV,UnitedStates,TBSSpec,2021/10/21
TBS EU Spec Series 9 Race 7,NEC Birmingham,999,999.999,SIMSFPV,NO_DATA
