Formula FLow I,Empty Scene Day,59,61.992,SemperFly,UnitedStates,Yakuza,2022/03/12
Formula Flow II,Empty Scene Day,60,96.966,SemperFly,UnitedStates,Yakuza,2022/03/12
Formula Flow III,Empty Scene Day,37,126.830,SemperFly,UnitedStates,Yakuza,2022/03/12
Formula Flow IV,Empty Scene Day,31,125.655,SemperFly,UnitedStates,Yakuza,2022/03/12
TBS EU Spec Series 7 Final,Empty Scene Day,999,999.999,SemperFly,NO_DATA
TBS EU Spec Series 7 Race 1,Football Stadium,185,86.866,SemperFly,UnitedStates,Yakuza,2022/04/29
TBS EU Spec Series 7 Race 2,Empty Scene Day,92,74.192,SemperFly,UnitedStates,Yakuza,2022/04/09
TBS EU Spec Series 7 Race 3,Empty Scene Day,89,75.837,SemperFly,UnitedStates,Yakuza,2022/04/09
TBS EU Spec Series 7 Race 4,Empty Scene Day,88,72.870,SemperFly,UnitedStates,Yakuza,2022/04/09
TBS EU Spec Series 7 Race 5,IndoorGoKart,999,999.999,SemperFly,NO_DATA
TBS EU Spec Series 7 Race 6,Future Hangar Empty,94,77.608,SemperFly,UnitedStates,Yakuza,2022/04/02
TBS EU Spec Series 7 Race 7,Empty Scene Day,99,84.568,SemperFly,UnitedStates,Yakuza,2022/04/20
TBS EU Spec Series 9 Final,Dynamic Weather,999,999.999,SemperFly,NO_DATA
TBS EU Spec Series 9 Losers Final,Dynamic Weather,97,72.402,SemperFly,UnitedStates,Chief,2022/02/17
TBS EU Spec Series 9 Race 1,Football Stadium,129,70.333,SemperFly,UnitedStates,TBSSpec,2021/09/12
TBS EU Spec Series 9 Race 2,Dynamic Weather,94,63.002,SemperFly,UnitedStates,Chief,2022/02/17
TBS EU Spec Series 9 Race 3,Empty Scene Day,83,66.870,SemperFly,UnitedStates,Yakuza,2022/04/21
TBS EU Spec Series 9 Race 4,Football Stadium,999,999.999,SemperFly,NO_DATA
TBS EU Spec Series 9 Race 5,Empty Scene Day,999,999.999,SemperFly,NO_DATA
TBS EU Spec Series 9 Race 6,Empty Scene Day,999,999.999,SemperFly,NO_DATA
TBS EU Spec Series 9 Race 7,NEC Birmingham,81,76.984,SemperFly,UnitedStates,Yakuza,2022/04/02
Train insane - aircrasher powerloop - MaiOnHigh,Empty Scene Day,55,51.604,SemperFly,UnitedStates,Yakuza,2022/01/09
Train Insane - APEX Training Routine - MaiOnHigh,Empty Scene Day,999,999.999,SemperFly,NO_DATA
Train Insane - Corkscrews - MaiOnHigh,Empty Scene Day,42,35.870,SemperFly,UnitedStates,Yakuza,2022/01/09
Train Insane - Dive - MaiOnHigh,Empty Scene Day,30,33.059,SemperFly,UnitedStates,Yakuza,2022/01/09
Train Insane - Dutch 8 - MaiOnHigh,Empty Scene Day,999,999.999,SemperFly,NO_DATA
Train insane - High jumps - MaiOnHigh,Empty Scene Day,37,35.904,SemperFly,UnitedStates,Yakuza,2022/01/09
Train Insane - Ladder - MaiOnHigh,Empty Scene Day,26,41.400,SemperFly,UnitedStates,Yakuza,2022/01/09
Train Insane - Long Dive - MaiOnHigh,Empty Scene Day,29,30.005,SemperFly,UnitedStates,Yakuza,2022/01/09
Train Insane - powerloops - MaiOnHigh,Empty Scene Day,28,37.228,SemperFly,UnitedStates,Yakuza,2022/01/09
Train insane - powerloop to sharp turn - MaiOnHigh,Empty Scene Day,52,100.961,SemperFly,UnitedStates,Yakuza,2022/01/09
Train Insane Race Track - MaiOnHigh,Empty Scene Day,27,67.290,SemperFly,UnitedStates,Yakuza,2022/01/12
Train Insane - Reversed split-s - MaiOnhigh,Empty Scene Day,30,51.090,SemperFly,UnitedStates,Yakuza,2022/01/09
Train insane - sharp turns - MaiOnHigh,Empty Scene Day,33,60.182,SemperFly,UnitedStates,Yakuza,2022/01/09
Train Insane - slalom - MaiOnHigh,Empty Scene Day,70,26.706,SemperFly,UnitedStates,Yakuza,2022/01/09
Train insane - Split-S ladder - MaiOnHigh,Empty Scene Day,37,89.445,SemperFly,UnitedStates,Yakuza,2022/01/09
Train insane - Split-S - MaiOnHigh,Empty Scene Day,55,25.603,SemperFly,UnitedStates,Yakuza,2022/01/09
Train Insane- Test1 - MaiOnHigh,Empty Scene Day,73,58.667,SemperFly,UnitedStates,Chief,2022/01/12
Train Insane - Tunnels - MaiOnHigh,Empty Scene Day,18,42.909,SemperFly,UnitedStates,Yakuza,2022/01/09
Train insane - wide slalom - MaiOnHigh,Empty Scene Day,20,22.217,SemperFly,UnitedStates,Yakuza,2022/01/09
Week 10 TT - MCKPractice2,Football Stadium,128,71.241,SemperFly,UnitedStates,CarbiXZero,2022/01/09
