Quad Rivals 2021 Race 10 - 2021 is Dead,Empty Scene Day,80,116.460,SilverFoxUK,UnitedKingdom,TBSSpec,2022/01/13
Quad Rivals 2021 Race 1 - Season Warmup,Football Stadium,153,67.033,SilverFoxUK,UnitedKingdom,TBSSpec,2022/01/19
Quad Rivals 2021 Race 2 - Season Opener,Empty Scene Day,193,106.322,SilverFoxUK,UnitedKingdom,TBSSpec,2021/06/28
Quad Rivals 2021 Race 3 - Devils Ridge,Empty Scene Day,91,108.227,SilverFoxUK,UnitedKingdom,TBSSpec,2021/06/29
Quad Rivals 2021 Race 4 - Freedom Spec,Empty Scene Day,153,107.337,SilverFoxUK,UnitedKingdom,TBSSpec,2021/06/29
Quad Rivals 2021 Race 5 - Bring the Heat,Empty Scene Day,124,104.403,SilverFoxUK,UnitedKingdom,TBSSpec,2021/07/06
Quad Rivals 2021 Race 6 - Temperature Warning,Empty Scene Day,180,92.956,SilverFoxUK,UnitedKingdom,TBSSpec,2021/09/27
Quad Rivals 2021 Race 7 - Around the Trees in 20 Seconds,Empty Scene Day,999,999.999,SilverFoxUK,NO_DATA
Quad Rivals 2021 Race 8 - Rivalicious,Empty Scene Day,999,999.999,SilverFoxUK,NO_DATA
Quad Rivals 2021 Race 9 - Holiday Hootenanny,Empty Scene Day,999,999.999,SilverFoxUK,NO_DATA
TBS EU Spec Series 10 FINAL --- ChrisM,Football Stadium,999,999.999,SilverFoxUK,NO_DATA
TBS EU Spec Series 10 Losers Final,Football Stadium,999,999.999,SilverFoxUK,NO_DATA
TBS EU Spec Series 10 Race 1,Football Stadium,163,77.253,SilverFoxUK,UnitedKingdom,TBSSpec,2021/12/05
TBS EU Spec Series 10 Race 2,Empty Scene Day,191,90.439,SilverFoxUK,UnitedKingdom,TBSSpec,2021/12/14
TBS EU Spec Series 10 Race 3,Night Factory 2,172,95.498,SilverFoxUK,UnitedKingdom,TBSSpec,2021/12/29
TBS EU Spec Series 10 Race 4,Dynamic Weather,192,86.771,SilverFoxUK,UnitedKingdom,TBSSpec,2022/01/10
TBS EU Spec Series 10 Race 5 _2,IndoorGoKart,126,74.019,SilverFoxUK,UnitedKingdom,TBSSpec,2022/01/20
TBS EU Spec Series 10 Race 6,Large Carpark,84,55.019,SilverFoxUK,UnitedKingdom,TBSSpec,2022/01/27
TBS EU Spec Series 10 Race 7,Football Stadium,999,999.999,SilverFoxUK,NO_DATA
TBS EU Spec Series 11 Final,Dynamic Weather,999,999.999,SilverFoxUK,NO_DATA
TBS EU Spec Series 11 Race 1,Dynamic Weather,999,999.999,SilverFoxUK,NO_DATA
TBS EU Spec Series 11 Race 2,Countryside,137,95.689,SilverFoxUK,UnitedKingdom,TBSSpec,2022/06/16
TBS EU Spec Series 11 Race 3,Dynamic Weather,999,999.999,SilverFoxUK,NO_DATA
TBS EU Spec Series 11 Race 5,Dynamic Weather,139,96.705,SilverFoxUK,UnitedKingdom,TBSSpec,2022/07/06
TBS EU Spec Series 11 Race 5,NEC Birmingham,104,81.050,SilverFoxUK,UnitedKingdom,TBSSpec,2022/07/14
TBS EU Spec Series 11 Race 6,Dynamic Weather,129,97.988,SilverFoxUK,UnitedKingdom,TBSSpec,2022/09/06
TBS EU Spec Series 11 Race 7,Dynamic Weather,107,88.020,SilverFoxUK,UnitedKingdom,TBSSpec,2022/08/04
TBS EU Spec Series 12 Final,Dynamic Weather,999,999.999,SilverFoxUK,NO_DATA
TBS EU Spec Series 12 Losers Final,Dynamic Weather,98,103.316,SilverFoxUK,UnitedKingdom,TBSSpec,2023/02/10
TBS EU Spec Series 12 Race 1,Dynamic Weather,118,100.022,SilverFoxUK,UnitedKingdom,TBSSpec,2022/12/24
TBS EU Spec Series 12 Race 2,NEC Birmingham,999,999.999,SilverFoxUK,NO_DATA
TBS EU Spec Series 12 Race 3,Dynamic Weather,106,93.676,SilverFoxUK,UnitedKingdom,TBSSpec,2023/01/04
TBS EU Spec Series 12 Race 4,Night Factory 2,61,88.558,SilverFoxUK,UnitedKingdom,TBSSpec,2023/01/11
TBS EU Spec Series 12 Race 5,Dynamic Weather,130,109.499,SilverFoxUK,UnitedKingdom,TBSSpec,2023/01/17
TBS EU Spec Series 12 Race 6,Dynamic Weather,153,92.256,SilverFoxUK,UnitedKingdom,TBSSpec,2023/01/29
TBS EU Spec Series 12 Race 7,Dynamic Weather,98,96.919,SilverFoxUK,UnitedKingdom,TBSSpec,2023/02/16
TBS EU Spec Series 9 Final,Dynamic Weather,197,92.129,SilverFoxUK,UnitedKingdom,TBSSpec,2021/11/18
TBS EU Spec Series 9 Losers Final,Dynamic Weather,999,999.999,SilverFoxUK,NO_DATA
TBS EU Spec Series 9 Race 1,Football Stadium,196,80.136,SilverFoxUK,UnitedKingdom,TBSSpec,2021/09/13
TBS EU Spec Series 9 Race 2,Dynamic Weather,193,80.219,SilverFoxUK,UnitedKingdom,TBSSpec,2021/09/22
TBS EU Spec Series 9 Race 3,Empty Scene Day,190,84.381,SilverFoxUK,UnitedKingdom,TBSSpec,2021/09/23
TBS EU Spec Series 9 Race 4,Football Stadium,152,91.533,SilverFoxUK,UnitedKingdom,TBSSpec,2021/10/02
TBS EU Spec Series 9 Race 5,Empty Scene Day,999,999.999,SilverFoxUK,NO_DATA
TBS EU Spec Series 9 Race 6,Empty Scene Day,147,91.867,SilverFoxUK,UnitedKingdom,TBSSpec,2022/07/12
TBS EU Spec Series 9 Race 7,NEC Birmingham,186,103.588,SilverFoxUK,UnitedKingdom,TBSSpec,2022/01/13
