VRL 7 Race 4,Dynamic Weather,59,88.255,Sk_Dare_,Canada,Five33Switchback,2020/11/28
VRL 7 Track 1,Future Hangar,37,95.043,Sk_Dare_,Canada,Five33Switchback,2020/10/30
VRL 7 Track 2,Future Hangar Empty,80,105.970,Sk_Dare_,Canada,Five33Switchback,2020/11/08
VRL 7 Track 3,Dynamic Weather,34,71.350,Sk_Dare_,Canada,Five33Switchback,2020/11/21
VRL 7 Track 5,Dynamic Weather,27,81.590,Sk_Dare_,Canada,Five33Switchback,2020/12/12
VRL 7 Track 6,Dynamic Weather,37,80.699,Sk_Dare_,Canada,Five33Switchback,2020/12/16
VRL7 Tryouts,Future Hangar Empty,46,92.686,Sk_Dare_,Canada,Velocity,2020/10/25
VRL Season 7 Championships,Dynamic Weather,5,93.115,Sk_Dare_,Canada,Five33Switchback,2021/10/22
VRL Season 8 Championships,Dynamic Weather,51,81.580,Sk_Dare_,Canada,Velocity,2022/02/05
VRL Season 8 Track 1,Office Complex,34,119.547,Sk_Dare_,Canada,Five33Switchback,2021/11/12
VRL Season 8 Track 2,Drift Track,18,83.419,Sk_Dare_,Canada,Five33Switchback,2021/11/20
VRL Season 8 Track 3,Night Factory 2,25,98.818,Sk_Dare_,Canada,Five33Switchback,2021/12/04
VRL Season 8 Track 4,DynamicPoly,48,124.919,Sk_Dare_,Canada,Five33Switchback,2021/12/11
VRL Season 8 Track 5,Dynamic Weather,18,93.337,Sk_Dare_,Canada,Five33Switchback,2021/12/17
VRL Season 8 Track 6,Night Factory 2,16,98.556,Sk_Dare_,Canada,Five33Switchback,2022/01/07
VRL SEASON 8 TRACK 7,Dynamic Weather,62,87.654,Sk_Dare_,Canada,Velocity,2022/01/22
VRL SEASON 8 TRYOUTS,RedValley,999,999.999,Sk_Dare_,NO_DATA
