DEP Open Pop-Up 2,Dynamic Weather,999,999.999,SmokyFPV,NO_DATA
DEP Open Series 2 Race 1,Dynamic Weather,999,999.999,SmokyFPV,NO_DATA
DEP Open Series 2 Race 7,Football Stadium,999,999.999,SmokyFPV,NO_DATA
DEP Open Series 3 Race 1,Football Stadium,48,56.255,SmokyFPV,UnitedKingdom,Five33Switchback,2021/02/04
DEP Open Series 3 Race 2,Football Stadium,25,72.398,SmokyFPV,UnitedKingdom,Five33Switchback,2021/02/10
DEP Open Series 3 Race 3,Karting Track,15,73.543,SmokyFPV,UnitedKingdom,Five33Switchback,2021/02/18
DEP Open Series 3 Race 4,Football Stadium,36,59.779,SmokyFPV,UnitedKingdom,Five33Switchback,2021/02/25
DEP Open Series 3 Race 5,Football Stadium,32,73.832,SmokyFPV,UnitedKingdom,Five33Switchback,2021/03/03
DEP Open Series 3 Race 6,Football Stadium,27,86.825,SmokyFPV,UnitedKingdom,Five33Switchback,2021/03/10
DEP Open Series 3 Race 7,Football Stadium,18,76.099,SmokyFPV,UnitedKingdom,Five33Switchback,2021/03/17
DEP Open Series 4 Race 1,Football Stadium,59,87.017,SmokyFPV,UnitedKingdom,Five33Switchback,2021/04/04
DEP Open Series 4 Race 2,Football Stadium,47,97.885,SmokyFPV,UnitedKingdom,Five33Switchback,2021/04/11
DEP Open Series 4 Race 3,Football Stadium,49,69.683,SmokyFPV,UnitedKingdom,TBSSpec,2021/06/29
DEP Open Series 4 Race 4,Football Stadium,24,75.971,SmokyFPV,UnitedKingdom,Five33Switchback,2021/04/21
DEP Open Series 4 Race 5,Football Stadium,33,61.104,SmokyFPV,UnitedKingdom,Five33Switchback,2021/04/28
DEP Open Series 4 Race 6,Football Stadium,19,61.836,SmokyFPV,UnitedKingdom,Five33Switchback,2021/05/12
DEP Open Series 4 Race 7,Football Stadium,31,63.989,SmokyFPV,UnitedKingdom,Five33Switchback,2021/05/26
DEP Open Series 5 Race 1,Football Stadium,999,999.999,SmokyFPV,NO_DATA
DEP Open Series 5 Race 2,Football Stadium,999,999.999,SmokyFPV,NO_DATA
