RCTech.de EU Spec Series 2 Final,Empty Scene Day,67,73.292,Smurf47akaUlrik,Denmark,Five33Switchback,2020/06/18
RCTech.de EU Spec Series 2 Losers FInal,Empty Scene Day,20,64.370,Smurf47akaUlrik,Denmark,Five33Switchback,2020/09/22
RCTech.de EU Spec Series 2 Race 1,Football Stadium,40,57.239,Smurf47akaUlrik,Denmark,Five33Switchback,2021/02/08
RCTech.de EU Spec Series 2 Race 3,Empty Scene Day,999,999.999,Smurf47akaUlrik,NO_DATA
RCTech.de EU Spec Series 2 Race 4,Empty Scene Day,43,68.112,Smurf47akaUlrik,Denmark,TBSSpec,2021/03/23
RCTech.de EU Spec Series 2 Race 5,IndoorGoKart,16,63.765,Smurf47akaUlrik,Denmark,Five33Switchback,2020/12/28
RCTech.de EU Spec Series 2 Race 6,Empty Scene Day,999,999.999,Smurf47akaUlrik,NO_DATA
RCTech_de EU Spec Series 3 Final,Empty Scene Day,130,90.918,Smurf47akaUlrik,Denmark,Five33Switchback,2020/04/28
RCTech.de EU Spec Series 3 Race 1,NEC Birmingham,5,51.370,Smurf47akaUlrik,Denmark,Mode2Ghost,2022/01/23
RCTech.de EU Spec Series 3 Race 2,Empty Scene Day,999,999.999,Smurf47akaUlrik,NO_DATA
RCTech.de EU Spec Series 3 Race 3,Empty Scene Day,79,93.135,Smurf47akaUlrik,Denmark,TBSSpec,2021/02/01
RCTech.de EU Spec Series 3 Race 5,Empty Scene Day,148,121.823,Smurf47akaUlrik,Denmark,TBSSpec,2021/02/01
RCTech.de EU Spec Series 3 Race 6,NEC Birmingham,17,70.107,Smurf47akaUlrik,Denmark,TBSSpec,2022/01/24
TBS EU Spec Season 5 Race 1,Football Stadium,52,60.682,Smurf47akaUlrik,Denmark,Five33Switchback,2020/07/15
TBS EU Spec Series 10 Race 1,Football Stadium,42,62.141,Smurf47akaUlrik,Denmark,TBSSpec,2021/12/06
TBS EU Spec Series 10 Race 2,Empty Scene Day,36,64.551,Smurf47akaUlrik,Denmark,TBSSpec,2022/01/28
TBS EU Spec Series 10 Race 3,Night Factory 2,45,71.338,Smurf47akaUlrik,Denmark,TBSSpec,2021/12/20
TBS EU Spec Series 10 Race 4,Dynamic Weather,38,65.690,Smurf47akaUlrik,Denmark,TBSSpec,2022/01/06
TBS EU Spec Series 10 Race 5 _2,IndoorGoKart,30,56.981,Smurf47akaUlrik,Denmark,TBSSpec,2022/01/20
TBS EU Spec Series 10 Race 6,Large Carpark,22,36.612,Smurf47akaUlrik,Denmark,TBSSpec,2022/01/27
TBS EU Spec Series 10 Race 7,Football Stadium,22,70.780,Smurf47akaUlrik,Denmark,TBSSpec,2022/02/04
TBS EU Spec Series 4 FINAL,Dynamic Weather,57,87.384,Smurf47akaUlrik,Denmark,Five33Switchback,2020/07/02
TBS EU Spec Series 4 Race 2,Empty Scene Day,65,68.014,Smurf47akaUlrik,Denmark,Five33Switchback,2020/06/10
TBS EU Spec Series 4 Race 3,IndoorGoKart,84,117.323,Smurf47akaUlrik,Denmark,CarbiXZero,2020/05/29
TBS EU Spec Series 4 Race 4,Empty Scene Day,101,90.682,Smurf47akaUlrik,Denmark,CarbiXZero,2020/05/28
TBS EU Spec Series 4 Race 5,Dynamic Weather,144,109.434,Smurf47akaUlrik,Denmark,Five33Switchback,2020/06/12
TBS EU Spec Series 4 Race 7,Football Stadium,58,73.583,Smurf47akaUlrik,Denmark,Five33Switchback,2020/06/21
TBS EU Spec Series 5 FINAL,Dynamic Weather,91,94.310,Smurf47akaUlrik,Denmark,Five33Switchback,2020/09/11
TBS EU Spec Series 5 Losers Final,Dynamic Weather,16,73.104,Smurf47akaUlrik,Denmark,Five33Switchback,2020/09/07
TBS EU Spec Series 5 Race 3,Dynamic Weather,45,74.592,Smurf47akaUlrik,Denmark,Five33Switchback,2020/08/03
TBS EU Spec Series 5 Race 4,Football Stadium,70,86.113,Smurf47akaUlrik,Denmark,Five33Switchback,2020/08/09
TBS EU Spec Series 5 Race 5,NEC Birmingham,60,75.332,Smurf47akaUlrik,Denmark,Five33Switchback,2020/08/12
TBS EU Spec Series 5 Race 6,Dynamic Weather,31,65.515,Smurf47akaUlrik,Denmark,Five33Switchback,2020/08/23
TBS EU Spec Series 5 Race 7,IndoorGoKart,9,67.473,Smurf47akaUlrik,Denmark,Five33Switchback,2020/09/03
TBS EU Spec Series 6 Final,Empty Scene Day,19,78.239,Smurf47akaUlrik,Denmark,Five33Switchback,2020/12/03
TBS EU Spec Series 6 Losers Final,Football Stadium,9,66.569,Smurf47akaUlrik,Denmark,Five33Switchback,2020/11/30
TBS EU Spec Series 6 Race 1,Future Hangar Empty,18,65.299,Smurf47akaUlrik,Denmark,Five33Switchback,2020/09/25
TBS EU Spec Series 6 Race 2,Empty Scene Day,35,69.808,Smurf47akaUlrik,Denmark,Five33Switchback,2020/10/03
TBS EU Spec Series 6 Race 4,NEC Birmingham,41,67.975,Smurf47akaUlrik,Denmark,Five33Switchback,2020/11/02
TBS EU Spec Series 6 Race 5,Dynamic Weather,57,85.953,Smurf47akaUlrik,Denmark,Five33Switchback,2020/11/05
TBS EU Spec Series 6 Race 6,Empty Scene Day,87,81.905,Smurf47akaUlrik,Denmark,TBSSpec,2021/02/07
TBS EU Spec Series 6 Race 7,Empty Scene Day,58,58.238,Smurf47akaUlrik,Denmark,Five33Switchback,2020/11/28
TBS EU Spec Series 7 Final,Empty Scene Day,52,74.384,Smurf47akaUlrik,Denmark,TBSSpec,2021/03/07
TBS EU Spec Series 7 Race 1,Football Stadium,29,66.911,Smurf47akaUlrik,Denmark,Five33Switchback,2021/01/12
TBS EU Spec Series 7 Race 2,Empty Scene Day,28,67.328,Smurf47akaUlrik,Denmark,Five33Switchback,2021/01/16
TBS EU Spec Series 7 Race 3,Empty Scene Day,26,69.237,Smurf47akaUlrik,Denmark,Five33Switchback,2021/01/23
TBS EU Spec Series 7 Race 4,Empty Scene Day,56,70.640,Smurf47akaUlrik,Denmark,Five33Switchback,2021/02/02
TBS EU Spec Series 7 Race 5,IndoorGoKart,61,73.802,Smurf47akaUlrik,Denmark,TBSSpec,2021/02/04
TBS EU Spec Series 7 Race 6,Future Hangar Empty,57,71.904,Smurf47akaUlrik,Denmark,TBSSpec,2021/02/11
TBS EU Spec Series 7 Race 7,Empty Scene Day,55,77.606,Smurf47akaUlrik,Denmark,TBSSpec,2021/02/19
TBS EU Spec Series 8 Final,Dynamic Weather,39,78.573,Smurf47akaUlrik,Denmark,TBSSpec,2021/07/05
TBS EU Spec Series 8 Losers Final,Dynamic Weather,47,61.155,Smurf47akaUlrik,Denmark,TBSSpec,2021/07/01
TBS EU Spec Series 8 Race 1,Dynamic Weather,55,79.022,Smurf47akaUlrik,Denmark,TBSSpec,2021/03/18
TBS EU Spec Series 8 Race 2,Empty Scene Night,49,76.716,Smurf47akaUlrik,Denmark,TBSSpec,2021/03/25
TBS EU Spec Series 8 Race 3,Football Stadium,53,62.241,Smurf47akaUlrik,Denmark,TBSSpec,2021/05/05
TBS EU Spec Series 8 Race 4,Empty Scene Day,60,77.943,Smurf47akaUlrik,Denmark,TBSSpec,2021/05/07
TBS EU Spec Series 8 Race 5,Future Hangar Empty,46,58.891,Smurf47akaUlrik,Denmark,TBSSpec,2021/05/28
TBS EU Spec Series 8 Race 6,Football Stadium,54,65.801,Smurf47akaUlrik,Denmark,TBSSpec,2021/06/14
TBS EU Spec Series 8 Race 7,Empty Scene Day,72,78.121,Smurf47akaUlrik,Denmark,TBSSpec,2021/06/15
TBS EU Spec Series 9 Final,Dynamic Weather,78,67.462,Smurf47akaUlrik,Denmark,TBSSpec,2021/11/15
TBS EU Spec Series 9 Losers Final,Dynamic Weather,58,67.600,Smurf47akaUlrik,Denmark,TBSSpec,2021/11/11
TBS EU Spec Series 9 Race 1,Football Stadium,50,58.586,Smurf47akaUlrik,Denmark,TBSSpec,2021/09/15
TBS EU Spec Series 9 Race 2,Dynamic Weather,96,63.606,Smurf47akaUlrik,Denmark,TBSSpec,2021/09/19
TBS EU Spec Series 9 Race 3,Empty Scene Day,51,62.120,Smurf47akaUlrik,Denmark,TBSSpec,2021/10/02
TBS EU Spec Series 9 Race 4,Football Stadium,74,72.759,Smurf47akaUlrik,Denmark,TBSSpec,2021/10/10
TBS EU Spec Series 9 Race 5,Empty Scene Day,95,73.642,Smurf47akaUlrik,Denmark,TBSSpec,2021/10/10
TBS EU Spec Series 9 Race 6,Empty Scene Day,45,69.225,Smurf47akaUlrik,Denmark,TBSSpec,2021/10/21
