EU Spec Season 4 Race 1,Football Stadium,97,91.409,SpeedSloth,UnitedKingdom,TBSSpec,2020/05/05
RCTech.de EU Spec Series 2 Final,Empty Scene Day,144,79.717,SpeedSloth,UnitedKingdom,TBSSpec,2020/05/11
RCTech.de EU Spec Series 2 Losers FInal,Empty Scene Day,999,999.999,SpeedSloth,NO_DATA
RCTech.de EU Spec Series 2 Race 1,Football Stadium,122,65.603,SpeedSloth,UnitedKingdom,TBSSpec,2020/04/29
RCTech.de EU Spec Series 2 Race 3,Empty Scene Day,35,66.565,SpeedSloth,UnitedKingdom,TBSSpec,2020/04/26
RCTech.de EU Spec Series 2 Race 4,Empty Scene Day,50,67.362,SpeedSloth,UnitedKingdom,TBSSpec,2020/05/13
RCTech.de EU Spec Series 2 Race 5,IndoorGoKart,999,999.999,SpeedSloth,NO_DATA
RCTech.de EU Spec Series 2 Race 6,Empty Scene Day,30,70.408,SpeedSloth,UnitedKingdom,TBSSpec,2020/06/07
RCTech_de EU Spec Series 3 Final,Empty Scene Day,999,999.999,SpeedSloth,NO_DATA
RCTech.de EU Spec Series 3 Race 1,NEC Birmingham,153,86.043,SpeedSloth,UnitedKingdom,TBSSpec,2020/06/06
RCTech.de EU Spec Series 3 Race 2,Empty Scene Day,70,72.064,SpeedSloth,UnitedKingdom,TBSSpec,2020/06/03
RCTech.de EU Spec Series 3 Race 3,Empty Scene Day,51,81.149,SpeedSloth,UnitedKingdom,TBSSpec,2020/05/09
RCTech.de EU Spec Series 3 Race 5,Empty Scene Day,109,113.831,SpeedSloth,UnitedKingdom,TBSSpec,2020/05/18
RCTech.de EU Spec Series 3 Race 6,NEC Birmingham,999,999.999,SpeedSloth,NO_DATA
TBS EU Spec Series 4 FINAL,Dynamic Weather,79,89.323,SpeedSloth,UnitedKingdom,TBSSpec,2020/06/28
TBS EU Spec Series 4 Race 2,Empty Scene Day,999,999.999,SpeedSloth,NO_DATA
TBS EU Spec Series 4 Race 3,IndoorGoKart,44,100.554,SpeedSloth,UnitedKingdom,TBSSpec,2020/05/23
TBS EU Spec Series 4 Race 4,Empty Scene Day,999,999.999,SpeedSloth,NO_DATA
TBS EU Spec Series 4 Race 5,Dynamic Weather,63,89.563,SpeedSloth,UnitedKingdom,TBSSpec,2020/06/06
TBS EU Spec Series 4 Race 7,Football Stadium,134,81.439,SpeedSloth,UnitedKingdom,TBSSpec,2020/06/21
