DEP Open Pop-Up 2,Dynamic Weather,71,74.734,SzeryfxD,Poland,TBSSpec,2021/07/10
DEP Open Series 2 Race 1,Dynamic Weather,100,58.978,SzeryfxD,Poland,TBSSpec,2021/03/05
DEP Open Series 2 Race 7,Football Stadium,108,110.491,SzeryfxD,Poland,TBSSpec,2021/03/17
DEP Open Series 3 Race 1,Football Stadium,164,68.269,SzeryfxD,Poland,TBSSpec,2021/02/09
DEP Open Series 3 Race 2,Football Stadium,118,98.210,SzeryfxD,Poland,TBSSpec,2021/02/10
DEP Open Series 3 Race 3,Karting Track,76,93.171,SzeryfxD,Poland,TBSSpec,2021/02/27
DEP Open Series 3 Race 4,Football Stadium,102,70.358,SzeryfxD,Poland,TBSSpec,2021/02/27
DEP Open Series 3 Race 5,Football Stadium,102,89.011,SzeryfxD,Poland,TBSSpec,2021/03/05
DEP Open Series 3 Race 6,Football Stadium,95,111.351,SzeryfxD,Poland,TBSSpec,2021/03/11
DEP Open Series 3 Race 7,Football Stadium,60,88.310,SzeryfxD,Poland,TBSSpec,2021/03/21
DEP Open Series 4 Race 1,Football Stadium,87,93.143,SzeryfxD,Poland,TBSSpec,2021/04/04
DEP Open Series 4 Race 2,Football Stadium,66,102.824,SzeryfxD,Poland,TBSSpec,2021/04/08
DEP Open Series 4 Race 3,Football Stadium,75,73.678,SzeryfxD,Poland,TBSSpec,2021/04/20
DEP Open Series 4 Race 4,Football Stadium,73,92.296,SzeryfxD,Poland,TBSSpec,2021/05/03
DEP Open Series 4 Race 5,Football Stadium,99,72.290,SzeryfxD,Poland,TBSSpec,2021/05/03
DEP Open Series 4 Race 6,Football Stadium,71,72.324,SzeryfxD,Poland,TBSSpec,2022/03/17
DEP Open Series 4 Race 7,Football Stadium,113,81.428,SzeryfxD,Poland,TBSSpec,2021/06/08
DEP Open Series 5 Race 1,Football Stadium,999,999.999,SzeryfxD,NO_DATA
DEP Open Series 5 Race 2,Football Stadium,999,999.999,SzeryfxD,NO_DATA
DEP Open Series 5 Race 3,Football Stadium,999,999.999,SzeryfxD,NO_DATA
DEP Open Series 5 Race 4,Football Stadium,87,96.920,SzeryfxD,Poland,TBSSpec,2021/12/02
DEP Open Series 5 Race 5,Football Stadium,79,101.129,SzeryfxD,Poland,TBSSpec,2021/12/03
DEP Open Series 5 Race 6,Football Stadium,63,74.887,SzeryfxD,Poland,TBSSpec,2021/12/16
DEP Open Series 5 Race 7,Football Stadium,69,107.552,SzeryfxD,Poland,TBSSpec,2021/12/22
DEP Open Series 6 Race 1,Football Stadium,999,999.999,SzeryfxD,NO_DATA
DEP Open Series 6 Race 2,Football Stadium,999,999.999,SzeryfxD,NO_DATA
DEP Spec Series 1 Race 5,Football Stadium,114,106.885,SzeryfxD,Poland,Five33Switchback,2021/01/18
EU Spec Season 4 Race 1,Football Stadium,999,999.999,SzeryfxD,NO_DATA
RCTech.de EU Spec Series 2 Final,Empty Scene Day,999,999.999,SzeryfxD,NO_DATA
RCTech.de EU Spec Series 2 Losers FInal,Empty Scene Day,999,999.999,SzeryfxD,NO_DATA
RCTech.de EU Spec Series 2 Race 1,Football Stadium,124,67.532,SzeryfxD,Poland,TBSSpec,2021/03/14
RCTech.de EU Spec Series 2 Race 3,Empty Scene Day,999,999.999,SzeryfxD,NO_DATA
RCTech.de EU Spec Series 2 Race 4,Empty Scene Day,112,83.882,SzeryfxD,Poland,Five33Switchback,2021/01/26
RCTech.de EU Spec Series 2 Race 5,IndoorGoKart,999,999.999,SzeryfxD,NO_DATA
RCTech.de EU Spec Series 2 Race 6,Empty Scene Day,999,999.999,SzeryfxD,NO_DATA
RCTech_de EU Spec Series 3 Final,Empty Scene Day,58,77.740,SzeryfxD,Poland,TBSSpec,2021/03/14
RCTech.de EU Spec Series 3 Race 1,NEC Birmingham,80,69.727,SzeryfxD,Poland,TBSSpec,2021/03/14
RCTech.de EU Spec Series 3 Race 2,Empty Scene Day,999,999.999,SzeryfxD,NO_DATA
RCTech.de EU Spec Series 3 Race 3,Empty Scene Day,999,999.999,SzeryfxD,NO_DATA
RCTech.de EU Spec Series 3 Race 5,Empty Scene Day,999,999.999,SzeryfxD,NO_DATA
RCTech.de EU Spec Series 3 Race 6,NEC Birmingham,999,999.999,SzeryfxD,NO_DATA
TBS EU Spec Season 5 Race 1,Football Stadium,999,999.999,SzeryfxD,NO_DATA
TBS EU Spec Series 10 FINAL --- ChrisM,Football Stadium,999,999.999,SzeryfxD,NO_DATA
TBS EU Spec Series 10 Losers Final,Football Stadium,130,73.816,SzeryfxD,Poland,TBSSpec,2022/02/12
TBS EU Spec Series 10 Race 1,Football Stadium,69,65.761,SzeryfxD,Poland,TBSSpec,2021/12/07
TBS EU Spec Series 10 Race 2,Empty Scene Day,86,73.533,SzeryfxD,Poland,TBSSpec,2021/12/10
TBS EU Spec Series 10 Race 3,Night Factory 2,59,74.207,SzeryfxD,Poland,TBSSpec,2021/12/22
TBS EU Spec Series 10 Race 4,Dynamic Weather,68,71.498,SzeryfxD,Poland,TBSSpec,2022/01/11
TBS EU Spec Series 10 Race 5 _2,IndoorGoKart,999,999.999,SzeryfxD,NO_DATA
TBS EU Spec Series 10 Race 6,Large Carpark,999,999.999,SzeryfxD,NO_DATA
TBS EU Spec Series 10 Race 7,Football Stadium,999,999.999,SzeryfxD,NO_DATA
TBS EU Spec Series 4 FINAL,Dynamic Weather,135,102.981,SzeryfxD,Poland,Five33Switchback,2021/02/07
TBS EU Spec Series 4 Race 2,Empty Scene Day,999,999.999,SzeryfxD,NO_DATA
TBS EU Spec Series 4 Race 3,IndoorGoKart,999,999.999,SzeryfxD,NO_DATA
TBS EU Spec Series 4 Race 4,Empty Scene Day,134,98.396,SzeryfxD,Poland,Five33Switchback,2021/01/17
TBS EU Spec Series 4 Race 5,Dynamic Weather,121,102.497,SzeryfxD,Poland,TBSSpec,2021/02/11
TBS EU Spec Series 4 Race 7,Football Stadium,169,86.133,SzeryfxD,Poland,TBSSpec,2021/02/13
TBS EU Spec Series 5 FINAL,Dynamic Weather,125,100.546,SzeryfxD,Poland,Five33Switchback,2021/01/22
TBS EU Spec Series 5 Losers Final,Dynamic Weather,93,89.403,SzeryfxD,Poland,TBSSpec,2021/02/14
TBS EU Spec Series 5 Race 3,Dynamic Weather,125,89.002,SzeryfxD,Poland,TBSSpec,2021/02/15
TBS EU Spec Series 5 Race 4,Football Stadium,148,100.194,SzeryfxD,Poland,TBSSpec,2021/02/15
TBS EU Spec Series 5 Race 5,NEC Birmingham,107,85.604,SzeryfxD,Poland,TBSSpec,2021/02/17
TBS EU Spec Series 5 Race 6,Dynamic Weather,67,72.324,SzeryfxD,Poland,TBSSpec,2021/03/07
TBS EU Spec Series 5 Race 7,IndoorGoKart,119,90.486,SzeryfxD,Poland,Five33Switchback,2021/01/25
TBS EU Spec Series 6 Final,Empty Scene Day,72,86.268,SzeryfxD,Poland,TBSSpec,2021/12/23
TBS EU Spec Series 6 Losers Final,Football Stadium,87,77.741,SzeryfxD,Poland,TBSSpec,2021/03/08
TBS EU Spec Series 6 Race 1,Future Hangar Empty,118,78.845,SzeryfxD,Poland,TBSSpec,2021/03/06
TBS EU Spec Series 6 Race 2,Empty Scene Day,166,81.019,SzeryfxD,Poland,TBSSpec,2021/03/10
TBS EU Spec Series 6 Race 4,NEC Birmingham,68,74.228,SzeryfxD,Poland,TBSSpec,2021/03/12
TBS EU Spec Series 6 Race 5,Dynamic Weather,76,89.414,SzeryfxD,Poland,TBSSpec,2021/03/13
TBS EU Spec Series 6 Race 6,Empty Scene Day,130,86.886,SzeryfxD,Poland,Five33Switchback,2021/01/23
TBS EU Spec Series 6 Race 7,Empty Scene Day,100,61.123,SzeryfxD,Poland,TBSSpec,2021/12/11
TBS EU Spec Series 7 Final,Empty Scene Day,130,83.958,SzeryfxD,Poland,TBSSpec,2021/03/04
TBS EU Spec Series 7 Race 1,Football Stadium,182,86.584,SzeryfxD,Poland,Five33Switchback,2021/01/18
TBS EU Spec Series 7 Race 2,Empty Scene Day,152,82.664,SzeryfxD,Poland,Five33Switchback,2021/01/25
TBS EU Spec Series 7 Race 3,Empty Scene Day,999,999.999,SzeryfxD,NO_DATA
TBS EU Spec Series 7 Race 4,Empty Scene Day,153,80.470,SzeryfxD,Poland,TBSSpec,2021/03/06
TBS EU Spec Series 7 Race 5,IndoorGoKart,126,81.576,SzeryfxD,Poland,Five33Switchback,2021/02/04
TBS EU Spec Series 7 Race 6,Future Hangar Empty,156,90.035,SzeryfxD,Poland,TBSSpec,2021/02/12
TBS EU Spec Series 7 Race 7,Empty Scene Day,104,87.332,SzeryfxD,Poland,TBSSpec,2021/02/25
TBS EU Spec Series 8 Final,Dynamic Weather,63,84.866,SzeryfxD,Poland,TBSSpec,2021/07/04
TBS EU Spec Series 8 Losers Final,Dynamic Weather,79,66.268,SzeryfxD,Poland,TBSSpec,2021/07/05
TBS EU Spec Series 8 Race 1,Dynamic Weather,102,84.193,SzeryfxD,Poland,TBSSpec,2021/03/18
