DEP Open Pop-Up 2,Dynamic Weather,14,59.435,TCAyyyKayyy,UnitedStates,Ossa,2021/07/03
DEP Open Series 2 Race 1,Dynamic Weather,6,41.667,TCAyyyKayyy,UnitedStates,Ossa,2021/08/12
DEP Open Series 2 Race 7,Football Stadium,10,79.485,TCAyyyKayyy,UnitedStates,Ossa,2021/03/17
DEP Open Series 3 Race 1,Football Stadium,70,58.184,TCAyyyKayyy,UnitedStates,TBSSpec,2021/02/15
DEP Open Series 3 Race 2,Football Stadium,30,73.237,TCAyyyKayyy,UnitedStates,Ossa,2021/02/16
DEP Open Series 3 Race 3,Karting Track,999,999.999,TCAyyyKayyy,NO_DATA
DEP Open Series 3 Race 4,Football Stadium,21,56.817,TCAyyyKayyy,UnitedStates,Five33Switchback,2021/03/09
DEP Open Series 3 Race 5,Football Stadium,14,69.474,TCAyyyKayyy,UnitedStates,Ossa,2021/03/16
DEP Open Series 3 Race 6,Football Stadium,22,83.382,TCAyyyKayyy,UnitedStates,Ossa,2021/03/10
DEP Open Series 3 Race 7,Football Stadium,999,999.999,TCAyyyKayyy,NO_DATA
DEP Open Series 4 Race 1,Football Stadium,47,82.831,TCAyyyKayyy,UnitedStates,Ossa,2021/04/01
DEP Open Series 4 Race 2,Football Stadium,22,89.311,TCAyyyKayyy,UnitedStates,Ossa,2021/04/16
DEP Open Series 4 Race 3,Football Stadium,32,64.462,TCAyyyKayyy,UnitedStates,Ossa,2021/04/16
DEP Open Series 4 Race 4,Football Stadium,20,75.030,TCAyyyKayyy,UnitedStates,Ossa,2021/04/29
DEP Open Series 4 Race 5,Football Stadium,999,999.999,TCAyyyKayyy,NO_DATA
DEP Open Series 4 Race 6,Football Stadium,25,63.395,TCAyyyKayyy,UnitedStates,Ossa,2021/05/24
DEP Open Series 4 Race 7,Football Stadium,999,999.999,TCAyyyKayyy,NO_DATA
DEP Open Series 5 Race 1,Football Stadium,999,999.999,TCAyyyKayyy,NO_DATA
DEP Open Series 5 Race 2,Football Stadium,16,64.508,TCAyyyKayyy,UnitedStates,Ossa,2021/11/10
DEP Open Series 5 Race 3,Football Stadium,178,125.817,TCAyyyKayyy,UnitedStates,Ossa,2021/11/18
DEP Open Series 5 Race 4,Football Stadium,999,999.999,TCAyyyKayyy,NO_DATA
DEP Open Series 5 Race 5,Football Stadium,13,72.667,TCAyyyKayyy,UnitedStates,Ossa,2021/12/09
DEP Open Series 5 Race 6,Football Stadium,999,999.999,TCAyyyKayyy,NO_DATA
DEP Open Series 5 Race 7,Football Stadium,17,86.744,TCAyyyKayyy,UnitedStates,Ossa,2021/12/22
DEP Spec Series 1 Race 5,Football Stadium,27,87.079,TCAyyyKayyy,UnitedStates,Ossa,2020/10/21
EU Spec Season 4 Race 1,Football Stadium,8,74.957,TCAyyyKayyy,UnitedStates,CarbiXZero,2020/08/27
RCTech.de EU Spec Series 2 Final,Empty Scene Day,21,65.371,TCAyyyKayyy,UnitedStates,CarbiXZero,2020/07/01
RCTech.de EU Spec Series 2 Losers FInal,Empty Scene Day,999,999.999,TCAyyyKayyy,NO_DATA
RCTech.de EU Spec Series 2 Race 1,Football Stadium,41,57.499,TCAyyyKayyy,UnitedStates,CarbiXZero,2020/05/07
RCTech.de EU Spec Series 2 Race 3,Empty Scene Day,999,999.999,TCAyyyKayyy,NO_DATA
RCTech.de EU Spec Series 2 Race 4,Empty Scene Day,999,999.999,TCAyyyKayyy,NO_DATA
RCTech.de EU Spec Series 2 Race 5,IndoorGoKart,999,999.999,TCAyyyKayyy,NO_DATA
RCTech.de EU Spec Series 2 Race 6,Empty Scene Day,999,999.999,TCAyyyKayyy,NO_DATA
RCTech_de EU Spec Series 3 Final,Empty Scene Day,67,79.307,TCAyyyKayyy,UnitedStates,CarbiXZero,2020/04/16
RCTech.de EU Spec Series 3 Race 1,NEC Birmingham,39,61.392,TCAyyyKayyy,UnitedStates,CarbiXZero,2020/06/06
RCTech.de EU Spec Series 3 Race 2,Empty Scene Day,999,999.999,TCAyyyKayyy,NO_DATA
RCTech.de EU Spec Series 3 Race 3,Empty Scene Day,999,999.999,TCAyyyKayyy,NO_DATA
RCTech.de EU Spec Series 3 Race 5,Empty Scene Day,999,999.999,TCAyyyKayyy,NO_DATA
RCTech.de EU Spec Series 3 Race 6,NEC Birmingham,35,73.877,TCAyyyKayyy,UnitedStates,CarbiXZero,2020/06/06
TBS EU Spec Season 5 Race 1,Football Stadium,28,56.981,TCAyyyKayyy,UnitedStates,CarbiXZero,2020/09/01
TBS EU Spec Series 10 Race 1,Football Stadium,11,55.184,TCAyyyKayyy,UnitedStates,Ossa,2021/12/10
TBS EU Spec Series 10 Race 2,Empty Scene Day,4,53.399,TCAyyyKayyy,UnitedStates,Ossa,2021/12/10
TBS EU Spec Series 10 Race 3,Night Factory 2,7,61.465,TCAyyyKayyy,UnitedStates,Ossa,2021/12/22
TBS EU Spec Series 10 Race 4,Dynamic Weather,999,999.999,TCAyyyKayyy,NO_DATA
TBS EU Spec Series 10 Race 5 _2,IndoorGoKart,999,999.999,TCAyyyKayyy,NO_DATA
TBS EU Spec Series 10 Race 6,Large Carpark,999,999.999,TCAyyyKayyy,NO_DATA
TBS EU Spec Series 10 Race 7,Football Stadium,999,999.999,TCAyyyKayyy,NO_DATA
