Train insane - aircrasher powerloop - MaiOnHigh,Empty Scene Day,999,999.999,TakaNii,NO_DATA
Train Insane - APEX Training Routine - MaiOnHigh,Empty Scene Day,999,999.999,TakaNii,NO_DATA
Train Insane - Corkscrews - MaiOnHigh,Empty Scene Day,113,52.985,TakaNii,Japan,SkyXKiller,2022/02/13
Train Insane - Dive - MaiOnHigh,Empty Scene Day,106,56.039,TakaNii,Japan,SkyXKiller,2022/02/08
Train Insane - Dutch 8 - MaiOnHigh,Empty Scene Day,999,999.999,TakaNii,NO_DATA
Train insane - High jumps - MaiOnHigh,Empty Scene Day,62,54.503,TakaNii,Japan,SkyXKiller,2022/02/15
Train Insane - Ladder - MaiOnHigh,Empty Scene Day,123,104.695,TakaNii,Japan,SkyXKiller,2022/02/08
Train Insane - Long Dive - MaiOnHigh,Empty Scene Day,94,61.277,TakaNii,Japan,SkyXKiller,2022/02/13
Train Insane - powerloops - MaiOnHigh,Empty Scene Day,94,70.965,TakaNii,Japan,SkyXKiller,2022/02/10
Train insane - powerloop to sharp turn - MaiOnHigh,Empty Scene Day,999,999.999,TakaNii,NO_DATA
Train Insane Race Track - MaiOnHigh,Empty Scene Day,122,137.874,TakaNii,Japan,SkyXKiller,2022/02/03
Train Insane - Reversed split-s - MaiOnhigh,Empty Scene Day,46,62.858,TakaNii,Japan,SkyXKiller,2022/02/13
Train insane - sharp turns - MaiOnHigh,Empty Scene Day,999,999.999,TakaNii,NO_DATA
Train Insane - slalom - MaiOnHigh,Empty Scene Day,82,34.295,TakaNii,Japan,SkyXKiller,2022/02/10
Train insane - Split-S ladder - MaiOnHigh,Empty Scene Day,52,123.182,TakaNii,Japan,SkyXKiller,2022/02/15
Train insane - Split-S - MaiOnHigh,Empty Scene Day,86,35.972,TakaNii,Japan,SkyXKiller,2022/02/15
Train Insane- Test1 - MaiOnHigh,Empty Scene Day,193,106.933,TakaNii,Japan,SkyXKiller,2022/02/15
Train Insane - Tunnels - MaiOnHigh,Empty Scene Day,50,60.541,TakaNii,Japan,SkyXKiller,2022/02/03
Train insane - wide slalom - MaiOnHigh,Empty Scene Day,999,999.999,TakaNii,NO_DATA
