2022 Freedom Spec Champioship,Dynamic Weather,999,999.999,WHALE,NO_DATA
2022 MultiGP Canadian Series by DCH FPV,Countryside,999,999.999,WHALE,NO_DATA
2022 MultiGP IO Freedom Spec,Dynamic Weather,73,93.807,WHALE,China,TBSSpec,2022/10/26
2022 MultiGP IO Intermediate,Dynamic Weather,156,61.199,WHALE,China,Five33Switchback,2022/05/30
2022 MultiGP IO Team,Dynamic Weather,999,999.999,WHALE,NO_DATA
2022 MultiGP IO World Cup,Dynamic Weather,123,66.350,WHALE,China,Five33Switchback,2022/06/18
2023 MultiGP GQ-AyyyKayyy,Dynamic Weather,79,30.714,WHALE,China,Five33Switchback,2023/03/06
2023 MultiGP GQ-BonerFPV,Dynamic Weather,58,25.489,WHALE,China,Five33Switchback,2023/03/02
2023 MultiGP GQ-Fastodon,Dynamic Weather,28,32.908,WHALE,China,Five33Switchback,2023/03/03
2023 MultiGP GQ-Hakko,Dynamic Weather,52,41.814,WHALE,China,Five33Switchback,2023/03/06
2023 MultiGP GQ-Hyper,Dynamic Weather,46,37.549,WHALE,China,Five33Switchback,2023/03/06
2023 MultiGp GQ-Leviathann,Dynamic Weather,90,33.097,WHALE,China,Five33Switchback,2023/03/08
2023 MultiGP GQ-NMGrower,Dynamic Weather,61,39.286,WHALE,China,Five33Switchback,2023/03/02
2023 MultiGP GQ-ROFL,Dynamic Weather,32,48.673,WHALE,China,Five33Switchback,2023/03/02
CDRA 2023  Champs Hyper,Empty Scene Day,999,999.999,WHALE,NO_DATA
DEP Open Pop-Up 2,Dynamic Weather,47,66.236,WHALE,China,Five33Switchback,2023/03/10
DEP Open Series 2 Race 1,Dynamic Weather,74,53.738,WHALE,China,Five33Switchback,2022/04/13
DEP Open Series 2 Race 7,Football Stadium,102,100.322,WHALE,China,Five33Switchback,2022/06/21
DEP Open Series 3 Race 1,Football Stadium,90,57.379,WHALE,China,Five33Switchback,2023/02/17
DEP Open Series 3 Race 2,Football Stadium,77,86.332,WHALE,China,Five33Switchback,2021/08/30
DEP Open Series 3 Race 3,Karting Track,100,94.451,WHALE,China,Five33Switchback,2021/08/31
DEP Open Series 3 Race 4,Football Stadium,97,65.737,WHALE,China,Five33Switchback,2021/12/14
DEP Open Series 3 Race 5,Football Stadium,152,94.087,WHALE,China,Five33Switchback,2021/08/30
DEP Open Series 3 Race 6,Football Stadium,159,126.233,WHALE,China,Five33Switchback,2021/08/30
DEP Open Series 3 Race 7,Football Stadium,177,113.920,WHALE,China,Five33Switchback,2021/12/15
DEP Open Series 4 Race 1,Football Stadium,188,111.936,WHALE,China,Five33Switchback,2021/08/30
DEP Open Series 4 Race 2,Football Stadium,195,134.136,WHALE,China,Five33Switchback,2021/12/15
DEP Open Series 4 Race 3,Football Stadium,150,84.768,WHALE,China,Five33Switchback,2021/08/31
DEP Open Series 4 Race 4,Football Stadium,147,108.247,WHALE,China,Five33Switchback,2021/08/31
DEP Open Series 4 Race 5,Football Stadium,194,81.865,WHALE,China,Five33Switchback,2021/08/31
DEP Open Series 4 Race 6,Football Stadium,144,83.681,WHALE,China,Five33Switchback,2021/08/31
DEP Open Series 4 Race 7,Football Stadium,999,999.999,WHALE,NO_DATA
DEP Open Series 5 Race 1,Football Stadium,999,999.999,WHALE,NO_DATA
DEP Open Series 5 Race 2,Football Stadium,173,102.511,WHALE,China,Five33Switchback,2021/11/08
DEP Open Series 5 Race 3,Football Stadium,999,999.999,WHALE,NO_DATA
DEP Open Series 5 Race 4,Football Stadium,999,999.999,WHALE,NO_DATA
DEP Open Series 5 Race 5,Football Stadium,138,109.857,WHALE,China,Five33Switchback,2021/12/10
DEP Open Series 5 Race 6,Football Stadium,999,999.999,WHALE,NO_DATA
DEP Open Series 5 Race 7,Football Stadium,134,120.017,WHALE,China,Five33Switchback,2022/01/04
DEP Open Series 6 Race 1,Football Stadium,999,999.999,WHALE,NO_DATA
DEP Open Series 6 Race 2,Football Stadium,999,999.999,WHALE,NO_DATA
DEP Spec Series 1 Race 5,Football Stadium,999,999.999,WHALE,NO_DATA
DF5,Football Stadium,999,999.999,WHALE,NO_DATA
IO 2023 Main Stage FAI Yawesome,Empty Scene Day,999,999.999,WHALE,NO_DATA
Mayhem 22 by SFPV,Empty Scene Day,999,999.999,WHALE,NO_DATA
MGP Champs 2022,Dynamic Weather,110,86.733,WHALE,China,TBSSpec,2022/10/24
MGP Champs 2022 sports track,Empty Scene Day,89,59.340,WHALE,China,Five33Switchback,2022/11/11
MGP GQ 2023 remix,Dynamic Weather,999,999.999,WHALE,NO_DATA
MGP Ice Rink Race 2022,Empty Scene Day,151,81.225,WHALE,China,Five33Switchback,2023/03/14
MGP Ice Storm 2023 by BonerFPV,Empty Scene Day,999,999.999,WHALE,NO_DATA
MultiGP 2022 Global Qualifier,Dynamic Weather,194,35.271,WHALE,China,Five33Switchback,2022/09/09
MultiGP 2023 Mayhem-NMGrower,Empty Scene Day,999,999.999,WHALE,NO_DATA
Quad Rivals 2021 Race 10 - 2021 is Dead,Empty Scene Day,999,999.999,WHALE,NO_DATA
Quad Rivals 2021 Race 1 - Season Warmup,Football Stadium,165,69.504,WHALE,China,Five33Switchback,2021/11/08
Quad Rivals 2021 Race 2 - Season Opener,Empty Scene Day,85,78.636,WHALE,China,Five33Switchback,2021/12/27
Quad Rivals 2021 Race 3 - Devils Ridge,Empty Scene Day,110,124.355,WHALE,China,Five33Switchback,2021/12/27
Quad Rivals 2021 Race 4 - Freedom Spec,Empty Scene Day,999,999.999,WHALE,NO_DATA
Quad Rivals 2021 Race 5 - Bring the Heat,Empty Scene Day,999,999.999,WHALE,NO_DATA
Quad Rivals 2021 Race 6 - Temperature Warning,Empty Scene Day,999,999.999,WHALE,NO_DATA
Quad Rivals 2021 Race 7 - Around the Trees in 20 Seconds,Empty Scene Day,105,111.993,WHALE,China,Five33Switchback,2021/11/08
Quad Rivals 2021 Race 8 - Rivalicious,Empty Scene Day,69,75.542,WHALE,China,Five33Switchback,2021/12/10
Quad Rivals 2021 Race 9 - Holiday Hootenanny,Empty Scene Day,54,82.565,WHALE,China,Five33Switchback,2022/01/04
RCTech.de EU Spec Series 2 Final,Empty Scene Day,183,85.174,WHALE,China,Five33Switchback,2021/09/14
RCTech.de EU Spec Series 2 Losers FInal,Empty Scene Day,125,83.549,WHALE,China,Five33Switchback,2021/09/14
RCTech.de EU Spec Series 2 Race 1,Football Stadium,999,999.999,WHALE,NO_DATA
RCTech.de EU Spec Series 2 Race 3,Empty Scene Day,110,88.037,WHALE,China,Five33Switchback,2021/09/14
RCTech.de EU Spec Series 2 Race 4,Empty Scene Day,158,89.250,WHALE,China,Five33Switchback,2021/09/14
RCTech.de EU Spec Series 2 Race 5,IndoorGoKart,999,999.999,WHALE,NO_DATA
RCTech.de EU Spec Series 2 Race 6,Empty Scene Day,999,999.999,WHALE,NO_DATA
ReddingFPVs DroneD,Dynamic Weather,999,999.999,WHALE,NO_DATA
TDRF 2022 Outdoor NK track 1,Empty Scene Day,999,999.999,WHALE,NO_DATA
TDRF Dutch nationals indoor race 1,Empty Scene Day,86,90.191,WHALE,China,Five33Switchback,2022/02/16
TDRF Dutch nationals indoor race 2,Empty Scene Day,63,117.560,WHALE,China,Five33Switchback,2022/02/16
TDRF Dutch nationals indoor race 3,Empty Scene Day,999,999.999,WHALE,NO_DATA
TDRF Dutch nationals indoor race 4,Empty Scene Day,62,83.305,WHALE,China,Five33Switchback,2022/03/27
Week 10 TT - MCKPractice2,Football Stadium,999,999.999,WHALE,NO_DATA
Week 12 TT - GQ22 by Chris M,Football Stadium,182,46.589,WHALE,China,Five33Switchback,2022/05/20
Week 13 TT - VRL Team Championship Refresh - by lephro,Empty Scene Day,999,999.999,WHALE,NO_DATA
Week 14 TT - BFPV S7R6 by Batman FPV,Football Stadium,131,124.959,WHALE,China,Five33Switchback,2022/03/07
Week 15 TT - Reddings Sunsation by BonerFPV,Dynamic Weather,127,140.319,WHALE,China,Five33Switchback,2022/03/28
Week 16 TT - CM18 by Chris M,Football Stadium,183,57.348,WHALE,China,Five33Switchback,2022/05/20
Week 18 TT - FPVQE Winter Series Championship,Football Stadium,95,98.275,WHALE,China,Five33Switchback,2022/05/19
Week 1 TT - Levice by TheFPVdoctor,Empty Scene Day,999,999.999,WHALE,NO_DATA
Week 20 TT - BDS by ChrisM,Football Stadium,68,44.246,WHALE,China,Five33Switchback,2022/06/21
Week 21 TT Up Down Up by SFPV,Dynamic Weather,43,111.761,WHALE,China,Five33Switchback,2022/06/21
Week 23 TT - Sundial Bridge by Boner,River2,999,999.999,WHALE,NO_DATA
Week 2 TT - Ruinous by NM Grower,Dynamic Weather,999,999.999,WHALE,NO_DATA
Week 5 TT - Cuernavaca LightPath by MorshaFPV,Empty Scene Night,55,69.580,WHALE,China,Five33Switchback,2021/11/18
Week 8 TT - DF1 by DragonFlyte,Dynamic Weather,999,999.999,WHALE,NO_DATA
Week 9 TT - CM17 by Chris M,Football Stadium,95,66.739,WHALE,China,Five33Switchback,2022/01/04
