RCTech_de EU Spec Series 3 Final,Empty Scene Day,157,97.746,YASOFPV,Turkey,Mode2Ghost,2020/05/16
RCTech.de EU Spec Series 3 Race 1,NEC Birmingham,10,53.563,YASOFPV,Turkey,Mode2Ghost,2020/05/12
RCTech.de EU Spec Series 3 Race 2,Empty Scene Day,3,57.853,YASOFPV,Turkey,Mode2Ghost,2020/11/25
RCTech.de EU Spec Series 3 Race 3,Empty Scene Day,6,67.523,YASOFPV,Turkey,Mode2Ghost,2020/05/16
RCTech.de EU Spec Series 3 Race 5,Empty Scene Day,12,90.029,YASOFPV,Turkey,Mode2Ghost,2020/05/17
RCTech.de EU Spec Series 3 Race 6,NEC Birmingham,8,65.320,YASOFPV,Turkey,Mode2Ghost,2020/05/18
TBS EU Spec Series 6 Final,Empty Scene Day,999,999.999,YASOFPV,NO_DATA
TBS EU Spec Series 6 Losers Final,Football Stadium,999,999.999,YASOFPV,NO_DATA
TBS EU Spec Series 6 Race 1,Future Hangar Empty,999,999.999,YASOFPV,NO_DATA
TBS EU Spec Series 6 Race 2,Empty Scene Day,133,77.948,YASOFPV,Turkey,TBSSpec,2021/01/07
TBS EU Spec Series 6 Race 4,NEC Birmingham,47,69.035,YASOFPV,Turkey,TBSSpec,2020/12/26
TBS EU Spec Series 6 Race 5,Dynamic Weather,24,78.297,YASOFPV,Turkey,TBSSpec,2021/01/07
TBS EU Spec Series 6 Race 6,Empty Scene Day,86,81.303,YASOFPV,Turkey,TBSSpec,2021/01/07
TBS EU Spec Series 6 Race 7,Empty Scene Day,90,60.438,YASOFPV,Turkey,TBSSpec,2021/01/07
