DEP Open Pop-Up 2,Dynamic Weather,999,999.999,abcd1234,NO_DATA
DEP Open Series 2 Race 1,Dynamic Weather,999,999.999,abcd1234,NO_DATA
DEP Open Series 2 Race 7,Football Stadium,999,999.999,abcd1234,NO_DATA
DEP Open Series 3 Race 1,Football Stadium,999,999.999,abcd1234,NO_DATA
DEP Open Series 3 Race 2,Football Stadium,99,94.130,abcd1234,Japan,Five33Switchback,2021/02/17
DEP Open Series 3 Race 3,Karting Track,37,82.200,abcd1234,Japan,Five33Switchback,2021/02/24
DEP Open Series 3 Race 4,Football Stadium,119,73.802,abcd1234,Japan,Five33Switchback,2021/03/01
DEP Open Series 3 Race 5,Football Stadium,999,999.999,abcd1234,NO_DATA
DEP Open Series 3 Race 6,Football Stadium,999,999.999,abcd1234,NO_DATA
DEP Open Series 3 Race 7,Football Stadium,63,89.206,abcd1234,Japan,Five33Switchback,2021/03/30
DEP Open Series 4 Race 1,Football Stadium,999,999.999,abcd1234,NO_DATA
DEP Open Series 4 Race 2,Football Stadium,47,97.328,abcd1234,Japan,Five33Switchback,2021/04/23
DEP Open Series 4 Race 3,Football Stadium,66,72.578,abcd1234,Japan,Five33Switchback,2021/04/27
DEP Open Series 4 Race 4,Football Stadium,57,87.865,abcd1234,Japan,Five33Switchback,2021/04/27
DEP Open Series 4 Race 5,Football Stadium,90,70.552,abcd1234,Japan,Five33Switchback,2021/04/29
DEP Open Series 4 Race 6,Football Stadium,53,68.836,abcd1234,Japan,Five33Switchback,2021/05/24
DEP Open Series 4 Race 7,Football Stadium,51,67.571,abcd1234,Japan,Five33Switchback,2021/06/06
DEP Open Series 5 Race 1,Football Stadium,999,999.999,abcd1234,NO_DATA
DEP Open Series 5 Race 2,Football Stadium,43,72.852,abcd1234,Japan,Five33Switchback,2021/11/09
DEP Open Series 5 Race 3,Football Stadium,29,73.703,abcd1234,Japan,Five33Switchback,2021/11/21
DEP Open Series 5 Race 4,Football Stadium,34,78.691,abcd1234,Japan,Five33Switchback,2021/11/24
DEP Open Series 5 Race 5,Football Stadium,30,80.739,abcd1234,Japan,Five33Switchback,2021/12/05
DEP Open Series 5 Race 6,Football Stadium,32,66.874,abcd1234,Japan,Five33Switchback,2021/12/20
DEP Open Series 5 Race 7,Football Stadium,29,92.317,abcd1234,Japan,Five33Switchback,2021/12/23
DEP Spec Series 1 Race 5,Football Stadium,82,100.594,abcd1234,Japan,Five33Switchback,2021/04/04
TBS EU Spec Series 10 Losers Final,Football Stadium,3,48.276,abcd1234,Japan,Five33Switchback,2022/02/12
TBS EU Spec Series 10 Race 1,Football Stadium,30,59.164,abcd1234,Japan,Five33Switchback,2021/12/15
TBS EU Spec Series 10 Race 2,Empty Scene Day,16,57.964,abcd1234,Japan,Five33Switchback,2021/12/14
TBS EU Spec Series 10 Race 3,Night Factory 2,14,63.574,abcd1234,Japan,Five33Switchback,2021/12/21
TBS EU Spec Series 10 Race 4,Dynamic Weather,12,59.865,abcd1234,Japan,Five33Switchback,2022/01/12
TBS EU Spec Series 10 Race 5 _2,IndoorGoKart,14,53.093,abcd1234,Japan,Five33Switchback,2022/01/26
TBS EU Spec Series 10 Race 6,Large Carpark,999,999.999,abcd1234,NO_DATA
TBS EU Spec Series 10 Race 7,Football Stadium,10,64.518,abcd1234,Japan,Five33Switchback,2022/02/15
TBS EU Spec Series 8 Final,Dynamic Weather,999,999.999,abcd1234,NO_DATA
TBS EU Spec Series 8 Losers Final,Dynamic Weather,35,58.500,abcd1234,Japan,Five33Switchback,2021/07/05
TBS EU Spec Series 8 Race 1,Dynamic Weather,999,999.999,abcd1234,NO_DATA
TBS EU Spec Series 8 Race 2,Empty Scene Night,999,999.999,abcd1234,NO_DATA
TBS EU Spec Series 8 Race 3,Football Stadium,44,61.349,abcd1234,Japan,Five33Switchback,2021/04/28
TBS EU Spec Series 8 Race 4,Empty Scene Day,999,999.999,abcd1234,NO_DATA
TBS EU Spec Series 8 Race 5,Future Hangar Empty,28,54.982,abcd1234,Japan,Five33Switchback,2021/05/26
TBS EU Spec Series 8 Race 6,Football Stadium,51,65.471,abcd1234,Japan,Five33Switchback,2021/06/16
TBS EU Spec Series 8 Race 7,Empty Scene Day,41,72.646,abcd1234,Japan,Five33Switchback,2021/06/17
TBS EU Spec Series 9 Final,Dynamic Weather,35,62.264,abcd1234,Japan,Five33Switchback,2021/11/15
TBS EU Spec Series 9 Losers Final,Dynamic Weather,26,62.181,abcd1234,Japan,Five33Switchback,2021/11/11
TBS EU Spec Series 9 Race 1,Football Stadium,11,52.734,abcd1234,Japan,Five33Switchback,2021/09/16
TBS EU Spec Series 9 Race 2,Dynamic Weather,35,54.890,abcd1234,Japan,Five33Switchback,2021/09/17
TBS EU Spec Series 9 Race 3,Empty Scene Day,23,57.641,abcd1234,Japan,Five33Switchback,2021/09/27
TBS EU Spec Series 9 Race 4,Football Stadium,21,63.476,abcd1234,Japan,Five33Switchback,2021/10/02
TBS EU Spec Series 9 Race 5,Empty Scene Day,999,999.999,abcd1234,NO_DATA
TBS EU Spec Series 9 Race 6,Empty Scene Day,999,999.999,abcd1234,NO_DATA
TBS EU Spec Series 9 Race 7,NEC Birmingham,999,999.999,abcd1234,NO_DATA
