RCTech.de EU Spec Series 2 Final,Empty Scene Day,167,88.105,doggz,Canada,Five33Switchback,2021/01/10
RCTech.de EU Spec Series 2 Losers FInal,Empty Scene Day,196,113.747,doggz,Canada,AcrobotTruX-R197,2020/07/17
RCTech.de EU Spec Series 2 Race 1,Football Stadium,149,71.738,doggz,Canada,Five33Switchback,2021/01/31
RCTech.de EU Spec Series 2 Race 3,Empty Scene Day,79,83.857,doggz,Canada,AcrobotTruX-R197,2021/01/01
RCTech.de EU Spec Series 2 Race 4,Empty Scene Day,126,86.444,doggz,Canada,AcrobotTruX-R197,2021/01/01
RCTech.de EU Spec Series 2 Race 5,IndoorGoKart,999,999.999,doggz,NO_DATA
RCTech.de EU Spec Series 2 Race 6,Empty Scene Day,84,96.544,doggz,Canada,AcrobotTruX-R197,2021/01/02
TBS EU Spec Series 7 Final,Empty Scene Day,181,96.325,doggz,Canada,TBSOblivion,2021/03/06
TBS EU Spec Series 7 Race 1,Football Stadium,177,86.124,doggz,Canada,Five33Switchback,2021/01/10
TBS EU Spec Series 7 Race 2,Empty Scene Day,176,88.446,doggz,Canada,Five33Switchback,2021/01/17
TBS EU Spec Series 7 Race 3,Empty Scene Day,999,999.999,doggz,NO_DATA
TBS EU Spec Series 7 Race 4,Empty Scene Day,182,86.474,doggz,Canada,Five33Switchback,2021/01/30
TBS EU Spec Series 7 Race 5,IndoorGoKart,999,999.999,doggz,NO_DATA
TBS EU Spec Series 7 Race 6,Future Hangar Empty,173,94.730,doggz,Canada,Five33Switchback,2021/02/15
TBS EU Spec Series 7 Race 7,Empty Scene Day,142,96.179,doggz,Canada,Five33Switchback,2021/02/21
TBS EU Spec Series 8 Final,Dynamic Weather,999,999.999,doggz,NO_DATA
TBS EU Spec Series 8 Losers Final,Dynamic Weather,999,999.999,doggz,NO_DATA
TBS EU Spec Series 8 Race 1,Dynamic Weather,999,999.999,doggz,NO_DATA
TBS EU Spec Series 8 Race 2,Empty Scene Night,130,100.916,doggz,Canada,TBSOblivion,2021/03/26
TBS EU Spec Series 8 Race 3,Football Stadium,139,74.693,doggz,Canada,TBSOblivion,2021/04/25
TBS EU Spec Series 8 Race 4,Empty Scene Day,194,109.757,doggz,Canada,TBSOblivion,2021/06/19
TBS EU Spec Series 8 Race 5,Future Hangar Empty,139,79.321,doggz,Canada,TBSOblivion,2021/05/24
TBS EU Spec Series 8 Race 6,Football Stadium,999,999.999,doggz,NO_DATA
TBS EU Spec Series 8 Race 7,Empty Scene Day,153,91.985,doggz,Canada,TBSOblivion,2021/06/19
