DDR Race Series - Track 1 by Sniper X dec,Empty Scene Day,999,999.999,dutaach,NO_DATA
DDR Race Series - Track 2 by Toxic fpv jan,Empty Scene Day,140,90.362,dutaach,UnitedKingdom,Five33Switchback,2022/01/14
DDR Race Series - Track 3 by Straydog fpv feb,Empty Scene Day,163,110.794,dutaach,UnitedKingdom,Five33Switchback,2022/02/02
DDR Race Series - Track 4 by Boner fpv march,Empty Scene Day,999,999.999,dutaach,NO_DATA
DDR Race Series - Track 5 by NelisFPV fpv april,Empty Scene Day,153,91.269,dutaach,UnitedKingdom,Five33Switchback,2022/04/06
TBS EU Spec Series 10 Race 1,Football Stadium,198,110.589,dutaach,UnitedKingdom,Five33Switchback,2022/01/03
TBS EU Spec Series 10 Race 2,Empty Scene Day,999,999.999,dutaach,NO_DATA
TBS EU Spec Series 10 Race 3,Night Factory 2,999,999.999,dutaach,NO_DATA
TBS EU Spec Series 10 Race 4,Dynamic Weather,191,108.736,dutaach,UnitedKingdom,Five33Switchback,2022/01/14
TBS EU Spec Series 10 Race 5 _2,IndoorGoKart,147,101.114,dutaach,UnitedKingdom,Five33Switchback,2022/02/02
TBS EU Spec Series 10 Race 6,Large Carpark,198,155.054,dutaach,UnitedKingdom,Five33Switchback,2022/02/02
TBS EU Spec Series 10 Race 7,Football Stadium,999,999.999,dutaach,NO_DATA
