
RCTech.de EU Spec Series 2 Final,Empty Scene Day,41,70.398,iamwud,UnitedKingdom,Five33Switchback,2021/06/02
RCTech.de EU Spec Series 2 Losers FInal,Empty Scene Day,999,999.999,iamwud,NO_DATA
RCTech.de EU Spec Series 2 Race 1,Football Stadium,10,52.399,iamwud,UnitedKingdom,Five33Switchback,2021/08/21
RCTech.de EU Spec Series 2 Race 3,Empty Scene Day,11,57.110,iamwud,UnitedKingdom,Five33Switchback,2021/08/22
RCTech.de EU Spec Series 2 Race 4,Empty Scene Day,23,62.036,iamwud,UnitedKingdom,Five33Switchback,2021/08/24
RCTech.de EU Spec Series 2 Race 5,IndoorGoKart,999,999.999,iamwud,NO_DATA
RCTech.de EU Spec Series 2 Race 6,Empty Scene Day,999,999.999,iamwud,NO_DATA
TBS EU Spec Series 8 Final,Dynamic Weather,70,86.323,iamwud,UnitedKingdom,TBSSpec,2021/07/04
TBS EU Spec Series 8 Losers Final,Dynamic Weather,85,67.493,iamwud,UnitedKingdom,TBSSpec,2021/06/24
TBS EU Spec Series 8 Race 1,Dynamic Weather,999,999.999,iamwud,NO_DATA
TBS EU Spec Series 8 Race 2,Empty Scene Night,999,999.999,iamwud,NO_DATA
TBS EU Spec Series 8 Race 3,Football Stadium,999,999.999,iamwud,NO_DATA
TBS EU Spec Series 8 Race 4,Empty Scene Day,10,66.998,iamwud,UnitedKingdom,Five33Switchback,2021/09/01
TBS EU Spec Series 8 Race 5,Future Hangar Empty,10,50.304,iamwud,UnitedKingdom,Five33Switchback,2021/09/01
TBS EU Spec Series 8 Race 6,Football Stadium,37,64.067,iamwud,UnitedKingdom,Five33Switchback,2021/09/10
TBS EU Spec Series 8 Race 7,Empty Scene Day,17,67.010,iamwud,UnitedKingdom,Five33Switchback,2021/08/10
TBS EU Spec Series 9 Final ,Dynamic Weather,999,999.999,iamwud,NO_DATA
TBS EU Spec Series 9 Final,Dynamic Weather,999,999.999,iamwud,NO_DATA
TBS EU Spec Series 9 Losers Final,Dynamic Weather,19,59.599,iamwud,UnitedKingdom,Five33Switchback,2021/11/05
TBS EU Spec Series 9 Race 1,Football Stadium,64,60.178,iamwud,UnitedKingdom,TBSSpec,2021/09/09
TBS EU Spec Series 9 Race 2,Dynamic Weather,21,53.031,iamwud,UnitedKingdom,Five33Switchback,2021/09/25
TBS EU Spec Series 9 Race 3,Empty Scene Day,59,63.374,iamwud,UnitedKingdom,TBSSpec,2021/09/23
TBS EU Spec Series 9 Race 4,Football Stadium,56,69.279,iamwud,UnitedKingdom,TBSSpec,2021/10/01
TBS EU Spec Series 9 Race 5,Empty Scene Day,17,58.591,iamwud,UnitedKingdom,Five33Switchback,2021/10/14
TBS EU Spec Series 9 Race 6,Empty Scene Day,999,999.999,iamwud,NO_DATA
TBS EU Spec Series 9 Race 7,NEC Birmingham,15,60.504,iamwud,UnitedKingdom,Five33Switchback,2021/11/06
