
RCTech.de EU Spec Series 2 Final,Empty Scene Day,999,999.999,ibor24,NO_DATA
RCTech.de EU Spec Series 2 Losers FInal,Empty Scene Day,154,98.028,ibor24,Switzerland,Five33Switchback,2020/12/16
RCTech.de EU Spec Series 2 Race 1,Football Stadium,133,68.693,ibor24,Switzerland,Five33Switchback,2021/05/16
RCTech.de EU Spec Series 2 Race 3,Empty Scene Day,113,93.192,ibor24,Switzerland,Five33Switchback,2021/04/22
RCTech.de EU Spec Series 2 Race 4,Empty Scene Day,999,999.999,ibor24,NO_DATA
RCTech.de EU Spec Series 2 Race 5,IndoorGoKart,68,82.252,ibor24,Switzerland,TBSSpec,2021/08/01
RCTech.de EU Spec Series 2 Race 6,Empty Scene Day,999,999.999,ibor24,NO_DATA
RCTech_de EU Spec Series 3 Final,Empty Scene Day,999,999.999,ibor24,NO_DATA
RCTech.de EU Spec Series 3 Race 1,NEC Birmingham,999,999.999,ibor24,NO_DATA
RCTech.de EU Spec Series 3 Race 2,Empty Scene Day,999,999.999,ibor24,NO_DATA
RCTech.de EU Spec Series 3 Race 3,Empty Scene Day,999,999.999,ibor24,NO_DATA
RCTech.de EU Spec Series 3 Race 5,Empty Scene Day,999,999.999,ibor24,NO_DATA
RCTech.de EU Spec Series 3 Race 6,NEC Birmingham,999,999.999,ibor24,NO_DATA
TBS EU Spec Season 5 Race 1,Football Stadium,999,999.999,ibor24,NO_DATA
TBS EU Spec Series 10 Race 1,Football Stadium,99,74.749,ibor24,Switzerland,TBSSpec,2021/12/03
TBS EU Spec Series 10 Race 2,Empty Scene Day,86,75.342,ibor24,Switzerland,TBSSpec,2021/12/10
TBS EU Spec Series 10 Race 3,Night Factory 2,85,82.643,ibor24,Switzerland,TBSSpec,2021/12/17
TBS EU Spec Series 10 Race 4,Dynamic Weather,124,84.124,ibor24,Switzerland,TBSSpec,2022/01/06
TBS EU Spec Series 10 Race 5 _2,IndoorGoKart,98,79.737,ibor24,Switzerland,TBSSpec,2022/01/21
TBS EU Spec Series 10 Race 6,Large Carpark,51,48.552,ibor24,Switzerland,TinyHawk,2022/01/27
TBS EU Spec Series 10 Race 7,Football Stadium,101,134.482,ibor24,Switzerland,TBSSpec,2022/02/03
TBS EU Spec Series 4 FINAL,Dynamic Weather,157,108.177,ibor24,Switzerland,TBSSpec,2021/12/04
