2022 Freedom Spec Champioship,Dynamic Weather,999,999.999,jonFive,NO_DATA
2022 MultiGP Canadian Series by DCH FPV,Countryside,999,999.999,jonFive,NO_DATA
2022 MultiGP IO Freedom Spec,Dynamic Weather,90,103.032,jonFive,UnitedStates,Five33Switchback,2022/06/06
2022 MultiGP IO Intermediate,Dynamic Weather,138,62.617,jonFive,UnitedStates,Five33Switchback,2022/06/15
2022 MultiGP IO Mega Class by SFPV,Dynamic Weather,999,999.999,jonFive,NO_DATA
2022 MultiGP IO Team,Dynamic Weather,195,85.655,jonFive,UnitedStates,Five33Switchback,2022/05/27
2022 MultiGP IO World Cup,Dynamic Weather,182,76.828,jonFive,UnitedStates,Five33Switchback,2022/06/16
DDR Race Series - Track 1 by Sniper X dec,Empty Scene Day,999,999.999,jonFive,NO_DATA
DDR Race Series - Track 2 by Toxic fpv jan,Empty Scene Day,999,999.999,jonFive,NO_DATA
DDR Race Series - Track 3 by Straydog fpv feb,Empty Scene Day,125,96.378,jonFive,UnitedStates,SlamNasty,2022/02/02
DDR Race Series - Track 4 by Boner fpv march,Empty Scene Day,190,187.618,jonFive,UnitedStates,Five33Switchback,2022/03/11
DDR Race Series - Track 5 by NelisFPV fpv april,Empty Scene Day,164,93.659,jonFive,UnitedStates,Five33Switchback,2022/04/08
Mayhem 22 by SFPV,Empty Scene Day,107,77.795,jonFive,UnitedStates,Five33Switchback,2022/03/30
MGP Ice Rink Race 2022,Empty Scene Day,104,76.494,jonFive,UnitedStates,Five33Switchback,2022/05/18
MultiGP 2022 Global Qualifier,Dynamic Weather,999,999.999,jonFive,NO_DATA
