DEP Open Pop-Up 2,Dynamic Weather,999,999.999,kasapon,NO_DATA
DEP Open Series 2 Race 1,Dynamic Weather,142,68.295,kasapon,Japan,Five33Switchback,2021/04/23
DEP Open Series 2 Race 7,Football Stadium,139,126.657,kasapon,Japan,Five33Switchback,2021/04/27
DEP Open Series 3 Race 1,Football Stadium,169,69.680,kasapon,Japan,Five33Switchback,2021/03/22
DEP Open Series 3 Race 2,Football Stadium,127,104.410,kasapon,Japan,Five33Switchback,2021/03/23
DEP Open Series 3 Race 3,Karting Track,125,113.868,kasapon,Japan,Five33Switchback,2021/02/27
DEP Open Series 3 Race 4,Football Stadium,105,71.464,kasapon,Japan,Five33Switchback,2021/03/03
DEP Open Series 3 Race 5,Football Stadium,135,97.552,kasapon,Japan,Five33Switchback,2021/03/16
DEP Open Series 3 Race 6,Football Stadium,97,112.736,kasapon,Japan,Five33Switchback,2021/03/20
DEP Open Series 3 Race 7,Football Stadium,150,117.984,kasapon,Japan,Five33Switchback,2021/03/19
DEP Open Series 4 Race 1,Football Stadium,155,112.328,kasapon,Japan,Five33Switchback,2021/04/01
DEP Open Series 4 Race 2,Football Stadium,197,154.587,kasapon,Japan,Five33Switchback,2021/04/20
DEP Open Series 4 Race 3,Football Stadium,999,999.999,kasapon,NO_DATA
DEP Open Series 4 Race 4,Football Stadium,115,109.870,kasapon,Japan,Five33Switchback,2021/04/27
DEP Open Series 4 Race 5,Football Stadium,999,999.999,kasapon,NO_DATA
DEP Open Series 4 Race 6,Football Stadium,999,999.999,kasapon,NO_DATA
DEP Open Series 4 Race 7,Football Stadium,999,999.999,kasapon,NO_DATA
DEP Open Series 5 Race 1,Football Stadium,999,999.999,kasapon,NO_DATA
DEP Open Series 5 Race 2,Football Stadium,999,999.999,kasapon,NO_DATA
DEP Open Series 5 Race 3,Football Stadium,104,99.058,kasapon,Japan,SkyXKiller,2021/11/29
DEP Open Series 5 Race 4,Football Stadium,63,92.033,kasapon,Japan,SkyXKiller,2021/12/08
DEP Open Series 5 Race 5,Football Stadium,999,999.999,kasapon,NO_DATA
DEP Open Series 5 Race 6,Football Stadium,70,78.859,kasapon,Japan,SkyXKiller,2021/12/21
DEP Open Series 5 Race 7,Football Stadium,73,111.428,kasapon,Japan,SkyXKiller,2021/12/25
DEP Spec Series 1 Race 5,Football Stadium,167,119.341,kasapon,Japan,Five33Switchback,2021/01/09
EU Spec Season 4 Race 1,Football Stadium,192,105.525,kasapon,Japan,Five33Switchback,2021/03/24
TBS EU Spec Season 5 Race 1,Football Stadium,999,999.999,kasapon,NO_DATA
TBS EU Spec Series 10 Losers Final,Football Stadium,999,999.999,kasapon,NO_DATA
TBS EU Spec Series 10 Race 1,Football Stadium,100,74.342,kasapon,Japan,SkyXKiller,2021/12/13
TBS EU Spec Series 10 Race 2,Empty Scene Day,144,92.315,kasapon,Japan,SkyXKiller,2021/12/13
TBS EU Spec Series 10 Race 3,Night Factory 2,999,999.999,kasapon,NO_DATA
TBS EU Spec Series 10 Race 4,Dynamic Weather,140,85.886,kasapon,Japan,SkyXKiller,2022/01/18
TBS EU Spec Series 10 Race 5 _2,IndoorGoKart,55,65.957,kasapon,Japan,SkyXKiller,2022/02/03
TBS EU Spec Series 10 Race 6,Large Carpark,174,101.908,kasapon,Japan,SkyXKiller,2022/02/02
TBS EU Spec Series 10 Race 7,Football Stadium,44,73.331,kasapon,Japan,SkyXKiller,2022/02/16
TBS EU Spec Series 4 FINAL,Dynamic Weather,122,101.099,kasapon,Japan,Five33Switchback,2020/12/17
TBS EU Spec Series 4 Race 2,Empty Scene Day,999,999.999,kasapon,NO_DATA
TBS EU Spec Series 4 Race 3,IndoorGoKart,141,140.673,kasapon,Japan,Yakuza,2020/09/23
TBS EU Spec Series 4 Race 4,Empty Scene Day,999,999.999,kasapon,NO_DATA
TBS EU Spec Series 4 Race 5,Dynamic Weather,999,999.999,kasapon,NO_DATA
TBS EU Spec Series 4 Race 7,Football Stadium,176,87.434,kasapon,Japan,Five33Switchback,2020/12/18
TBS EU Spec Series 5 FINAL,Dynamic Weather,999,999.999,kasapon,NO_DATA
TBS EU Spec Series 5 Losers Final,Dynamic Weather,108,93.095,kasapon,Japan,Yakuza,2020/09/16
TBS EU Spec Series 5 Race 3,Dynamic Weather,150,96.927,kasapon,Japan,Five33Switchback,2020/12/20
TBS EU Spec Series 5 Race 4,Football Stadium,999,999.999,kasapon,NO_DATA
TBS EU Spec Series 5 Race 5,NEC Birmingham,162,97.850,kasapon,Japan,Five33Switchback,2020/08/25
TBS EU Spec Series 5 Race 6,Dynamic Weather,150,87.644,kasapon,Japan,Five33Switchback,2020/08/30
TBS EU Spec Series 5 Race 7,IndoorGoKart,130,95.219,kasapon,Japan,Five33Switchback,2020/12/22
Week 10 TT - MCKPractice2,Football Stadium,68,63.035,kasapon,Japan,SkyXKiller,2022/01/14
Week 12 TT - GQ22 by Chris M,Football Stadium,129,44.434,kasapon,Japan,SkyXKiller,2022/02/05
Week 1 TT - Levice by TheFPVdoctor,Empty Scene Day,999,999.999,kasapon,NO_DATA
Week 2 TT - Ruinous by NM Grower,Dynamic Weather,999,999.999,kasapon,NO_DATA
Week 5 TT - Cuernavaca LightPath by MorshaFPV,Empty Scene Night,62,75.516,kasapon,Japan,SkyXKiller,2021/11/12
Week 8 TT - DF1 by DragonFlyte,Dynamic Weather,999,999.999,kasapon,NO_DATA
Week 9 TT - CM17 by Chris M,Football Stadium,166,81.546,kasapon,Japan,SkyXKiller,2022/01/08
