2022 MultiGP Canadian Series by DCH FPV,Countryside,999,999.999,mojofpv,NO_DATA
2022 MultiGP IO Freedom Spec,Dynamic Weather,35,89.496,mojofpv,Germany,Five33Switchback,2022/05/27
2022 MultiGP IO Intermediate,Dynamic Weather,56,55.793,mojofpv,Germany,Five33Switchback,2022/06/20
2022 MultiGP IO Team,Dynamic Weather,199,103.164,mojofpv,Germany,TBSSpec,2022/06/20
2022 MultiGP IO World Cup,Dynamic Weather,193,84.517,mojofpv,Germany,Five33Switchback,2022/06/08
DDR Race Series - Track 1 by Sniper X dec,Empty Scene Day,118,75.261,mojofpv,Germany,Five33Switchback,2021/12/08
DDR Race Series - Track 2 by Toxic fpv jan,Empty Scene Day,90,72.665,mojofpv,Germany,TBSSpec,2022/01/02
DDR Race Series - Track 3 by Straydog fpv feb,Empty Scene Day,98,85.946,mojofpv,Germany,Five33Switchback,2022/02/03
DDR Race Series - Track 4 by Boner fpv march,Empty Scene Day,999,999.999,mojofpv,NO_DATA
DDR Race Series - Track 5 by NelisFPV fpv april,Empty Scene Day,130,80.907,mojofpv,Germany,Five33Switchback,2022/04/05
DEP Open Series 5 Race 1,Football Stadium,185,87.881,mojofpv,Germany,Five33Switchback,2021/10/24
DEP Open Series 5 Race 2,Football Stadium,199,123.293,mojofpv,Germany,Five33Switchback,2021/11/07
DEP Open Series 5 Race 3,Football Stadium,999,999.999,mojofpv,NO_DATA
DEP Open Series 5 Race 4,Football Stadium,92,96.425,mojofpv,Germany,Five33Switchback,2022/01/29
DEP Open Series 5 Race 5,Football Stadium,55,90.956,mojofpv,Germany,Five33Switchback,2022/04/06
DEP Open Series 5 Race 6,Football Stadium,124,89.088,mojofpv,Germany,Five33Switchback,2021/12/17
DEP Open Series 5 Race 7,Football Stadium,999,999.999,mojofpv,NO_DATA
Mayhem 22 by SFPV,Empty Scene Day,87,73.766,mojofpv,Germany,Five33Switchback,2022/04/02
MGP Ice Rink Race 2022,Empty Scene Day,999,999.999,mojofpv,NO_DATA
MultiGP 2022 Global Qualifier,Dynamic Weather,200,37.871,mojofpv,Germany,Five33Switchback,2022/04/14
TBS EU Spec Series 10 FINAL --- ChrisM,Football Stadium,999,999.999,mojofpv,NO_DATA
TBS EU Spec Series 10 Losers Final,Football Stadium,63,57.998,mojofpv,Germany,Five33Switchback,2022/02/14
TBS EU Spec Series 10 Race 1,Football Stadium,999,999.999,mojofpv,NO_DATA
TBS EU Spec Series 10 Race 2,Empty Scene Day,140,83.095,mojofpv,Germany,Five33Switchback,2022/01/28
TBS EU Spec Series 10 Race 3,Night Factory 2,999,999.999,mojofpv,NO_DATA
TBS EU Spec Series 10 Race 4,Dynamic Weather,141,83.761,mojofpv,Germany,Five33Switchback,2022/01/15
TBS EU Spec Series 10 Race 5 _2,IndoorGoKart,47,59.844,mojofpv,Germany,Five33Switchback,2022/04/02
TBS EU Spec Series 10 Race 6,Large Carpark,121,70.399,mojofpv,Germany,TBSSpec,2022/01/28
TBS EU Spec Series 10 Race 7,Football Stadium,27,67.807,mojofpv,Germany,Five33Switchback,2022/04/10
TBS EU Spec Series 11 Race 1,Dynamic Weather,45,67.512,mojofpv,Germany,TBSSpec,2022/06/09
TBS EU Spec Series 11 Race 2,Countryside,27,62.780,mojofpv,Germany,TBSSpec,2022/06/15
TBS EU Spec Series 11 Race 3,Dynamic Weather,16,63.173,mojofpv,Germany,TBSSpec,2022/06/16
