TBS EU Spec Series 12 Final,Dynamic Weather,65,111.719,pfgzmFT,RussianFederation,Five33Switchback,2023/02/20
TBS EU Spec Series 12 Losers Final,Dynamic Weather,38,90.007,pfgzmFT,RussianFederation,Five33Switchback,2023/02/12
TBS EU Spec Series 12 Race 1,Dynamic Weather,136,108.313,pfgzmFT,RussianFederation,TBSSpec,2022/12/10
TBS EU Spec Series 12 Race 2,NEC Birmingham,999,999.999,pfgzmFT,NO_DATA
TBS EU Spec Series 12 Race 3,Dynamic Weather,101,91.816,pfgzmFT,RussianFederation,TBSSpec,2022/12/30
TBS EU Spec Series 12 Race 4,Night Factory 2,75,93.016,pfgzmFT,RussianFederation,TBSSpec,2023/01/05
TBS EU Spec Series 12 Race 5,Dynamic Weather,91,90.932,pfgzmFT,RussianFederation,TBSSpec,2023/01/13
TBS EU Spec Series 12 Race 6,Dynamic Weather,115,81.096,pfgzmFT,RussianFederation,TBSSpec,2023/01/20
TBS EU Spec Series 12 Race 7,Dynamic Weather,77,90.670,pfgzmFT,RussianFederation,TBSSpec,2023/01/27
VRL S9 FINALS,Dynamic Weather,999,999.999,pfgzmFT,NO_DATA
VRL S9 T1,Dynamic Weather,125,113.783,pfgzmFT,RussianFederation,Five33Switchback,2023/01/17
VRL S9 T2,Dynamic Weather,111,86.984,pfgzmFT,RussianFederation,Five33Switchback,2023/01/27
VRL S9 T3,Dynamic Weather,113,81.550,pfgzmFT,RussianFederation,Five33Switchback,2023/02/01
VRL S9 T4,Dynamic Weather,113,108.856,pfgzmFT,RussianFederation,Five33Switchback,2023/02/08
VRL S9 T5,Dynamic Weather,105,119.225,pfgzmFT,RussianFederation,Five33Switchback,2023/02/25
VRL S9 T6,Dynamic Weather,999,999.999,pfgzmFT,NO_DATA
VRL S9 T7,Dynamic Weather,97,124.928,pfgzmFT,RussianFederation,SouthEastFPV,2023/05/12
VRL S9 T8,Dynamic Weather,133,191.218,pfgzmFT,RussianFederation,Five33Switchback,2023/03/17
VRL Season 9 Tryouts,Dynamic Weather,170,164.043,pfgzmFT,RussianFederation,TBSSpec,2023/01/03
