TBS EU Spec Season 5 Race 1,Football Stadium,100,64.716,pmalaia,Portugal,AttoFPVPhoton,2020/07/13
TBS EU Spec Series 5 FINAL,Dynamic Weather,61,88.478,pmalaia,Portugal,AttoFPVPhoton,2020/09/20
TBS EU Spec Series 5 Losers Final,Dynamic Weather,999,999.999,pmalaia,NO_DATA
TBS EU Spec Series 5 Race 3,Dynamic Weather,999,999.999,pmalaia,NO_DATA
TBS EU Spec Series 5 Race 4,Football Stadium,111,93.413,pmalaia,Portugal,TBSSpec,2020/08/12
TBS EU Spec Series 5 Race 5,NEC Birmingham,56,74.318,pmalaia,Portugal,TBSSpec,2020/08/18
TBS EU Spec Series 5 Race 6,Dynamic Weather,75,74.991,pmalaia,Portugal,TBSSpec,2020/08/20
TBS EU Spec Series 5 Race 7,IndoorGoKart,999,999.999,pmalaia,NO_DATA
TBS EU Spec Series 8 Final,Dynamic Weather,125,104.719,pmalaia,Portugal,TBSSpec,2021/07/10
TBS EU Spec Series 8 Losers Final,Dynamic Weather,129,76.875,pmalaia,Portugal,TBSSpec,2021/06/27
TBS EU Spec Series 8 Race 1,Dynamic Weather,148,95.207,pmalaia,Portugal,TBSSpec,2021/03/22
TBS EU Spec Series 8 Race 2,Empty Scene Night,999,999.999,pmalaia,NO_DATA
TBS EU Spec Series 8 Race 3,Football Stadium,135,74.399,pmalaia,Portugal,TBSSpec,2021/04/26
TBS EU Spec Series 8 Race 4,Empty Scene Day,130,90.369,pmalaia,Portugal,TBSSpec,2021/05/19
TBS EU Spec Series 8 Race 5,Future Hangar Empty,999,999.999,pmalaia,NO_DATA
TBS EU Spec Series 8 Race 6,Football Stadium,110,74.141,pmalaia,Portugal,TBSSpec,2021/06/04
TBS EU Spec Series 8 Race 7,Empty Scene Day,116,84.296,pmalaia,Portugal,TBSSpec,2021/06/24
