DEP Open Pop-Up 2,Dynamic Weather,63,72.190,propcounter,Germany,BMSJS-1,2021/10/13
DEP Open Series 2 Race 1,Dynamic Weather,197,77.000,propcounter,Germany,Five33Switchback,2021/09/21
DEP Open Series 2 Race 7,Football Stadium,999,999.999,propcounter,NO_DATA
DEP Open Series 3 Race 1,Football Stadium,55,56.760,propcounter,Germany,Five33Switchback,2021/12/30
DEP Open Series 3 Race 2,Football Stadium,999,999.999,propcounter,NO_DATA
DEP Open Series 3 Race 3,Karting Track,999,999.999,propcounter,NO_DATA
DEP Open Series 3 Race 4,Football Stadium,999,999.999,propcounter,NO_DATA
DEP Open Series 3 Race 5,Football Stadium,999,999.999,propcounter,NO_DATA
DEP Open Series 3 Race 6,Football Stadium,140,131.169,propcounter,Germany,Five33Switchback,2021/09/13
DEP Open Series 3 Race 7,Football Stadium,999,999.999,propcounter,NO_DATA
DEP Open Series 4 Race 1,Football Stadium,999,999.999,propcounter,NO_DATA
DEP Open Series 4 Race 2,Football Stadium,163,135.062,propcounter,Germany,BMSJS-1,2021/10/19
DEP Open Series 4 Race 3,Football Stadium,191,104.407,propcounter,Germany,BMSJS-1,2021/10/19
DEP Open Series 4 Race 4,Football Stadium,999,999.999,propcounter,NO_DATA
DEP Open Series 4 Race 5,Football Stadium,89,70.475,propcounter,Germany,BMSJS-1,2021/10/21
DEP Open Series 4 Race 6,Football Stadium,999,999.999,propcounter,NO_DATA
DEP Open Series 4 Race 7,Football Stadium,90,75.882,propcounter,Germany,BMSJS-1,2021/10/08
DEP Open Series 5 Race 1,Football Stadium,42,60.513,propcounter,Germany,BMSJS-1,2021/10/20
DEP Open Series 5 Race 2,Football Stadium,999,999.999,propcounter,NO_DATA
DEP Open Series 5 Race 3,Football Stadium,145,111.781,propcounter,Germany,Five33Switchback,2021/11/22
DEP Open Series 5 Race 4,Football Stadium,70,92.891,propcounter,Germany,Five33Switchback,2021/11/25
DEP Open Series 5 Race 5,Football Stadium,82,103.142,propcounter,Germany,Five33Switchback,2021/12/15
DEP Open Series 5 Race 6,Football Stadium,123,92.607,propcounter,Germany,Five33Switchback,2021/12/15
DEP Open Series 5 Race 7,Football Stadium,999,999.999,propcounter,NO_DATA
DEP Spec Series 1 Race 5,Football Stadium,115,106.954,propcounter,Germany,BMSJS-1,2021/10/18
TBS EU Spec Series 10 FINAL --- ChrisM,Football Stadium,999,999.999,propcounter,NO_DATA
TBS EU Spec Series 10 Losers Final,Football Stadium,999,999.999,propcounter,NO_DATA
TBS EU Spec Series 10 Race 1,Football Stadium,62,65.034,propcounter,Germany,Five33Switchback,2021/12/03
TBS EU Spec Series 10 Race 2,Empty Scene Day,26,61.665,propcounter,Germany,Five33Switchback,2021/12/10
TBS EU Spec Series 10 Race 3,Night Factory 2,999,999.999,propcounter,NO_DATA
TBS EU Spec Series 10 Race 4,Dynamic Weather,57,70.003,propcounter,Germany,TBSSpec,2022/01/10
TBS EU Spec Series 10 Race 5 _2,IndoorGoKart,999,999.999,propcounter,NO_DATA
TBS EU Spec Series 10 Race 6,Large Carpark,133,79.132,propcounter,Germany,TBSSpec,2022/01/29
TBS EU Spec Series 10 Race 7,Football Stadium,44,72.104,propcounter,Germany,TBSSpec,2022/02/07
TBS EU Spec Series 9 Final,Dynamic Weather,33,61.271,propcounter,Germany,BMSJS-1,2021/11/24
TBS EU Spec Series 9 Losers Final,Dynamic Weather,999,999.999,propcounter,NO_DATA
TBS EU Spec Series 9 Race 1,Football Stadium,176,81.828,propcounter,Germany,Five33Switchback,2021/09/23
TBS EU Spec Series 9 Race 2,Dynamic Weather,142,71.394,propcounter,Germany,Five33Switchback,2021/09/19
TBS EU Spec Series 9 Race 3,Empty Scene Day,37,59.566,propcounter,Germany,BMSJS-1,2021/10/17
TBS EU Spec Series 9 Race 4,Football Stadium,166,98.242,propcounter,Germany,Five33Switchback,2022/02/17
TBS EU Spec Series 9 Race 5,Empty Scene Day,115,76.213,propcounter,Germany,BMSJS-1,2021/10/12
TBS EU Spec Series 9 Race 6,Empty Scene Day,33,66.940,propcounter,Germany,Five33Switchback,2021/12/01
TBS EU Spec Series 9 Race 7,NEC Birmingham,999,999.999,propcounter,NO_DATA
